# STATUS =
# OBJECT = PTF09cnd
# TELESCOPE = WHT-4.2m
# INSTRUMENT = ISIS
# DATE-OBS = 2009-09-15 00:00:00.00
# MJD = 55089.0
# EXPTIME = 0
# AIRMASS = --
# SLIT = 0
# DISPERSER = --
# SOURCE = 2018ApJ...855....2Q
# FILTER =
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = --
# PHOTOMETRY_CALIBRATED =
# TELLURIC_CORRECTED =
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# QUALITY = --
# MIN_WAVE = 3191.5308055
# MAX_WAVE = 8069.4012217
# COMMENT = Spectrum is the smoothed version. For the unbinned versions check the related files - clipped or raw.  [Data obtained from:R. Quimby] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]
   Wavelength       Flux      Error 
 3194.7148473  3.5626404  0.2255174 
 3197.9114864  3.5446756  0.2165563 
 3201.1081256  3.4627733  0.2085442 
 3204.3044575  3.4553952   0.203513 
 3207.5136939  3.4516089  0.1966818 
 3210.7229305  3.5062125  0.1930462 
 3213.9321669  3.5243621  0.1873611 
 3217.1540006  3.4762697  0.1852521 
 3220.3629298   3.476964  0.1803877 
 3223.5847636  3.4163139  0.1779425 
 3226.8065973  3.3035359  0.1733833 
 3230.0410283  3.2372813  0.1715087 
 3233.2625548  3.1985483  0.1663471 
 3236.4969858   3.169652  0.1646085 
 3239.7314169  3.1274991  0.1601054 
 3242.9784452  3.0695038   0.157954 
 3246.2251663  3.0728643  0.1534691 
 3249.4595973  2.9777699  0.1493257 
  3252.719223  2.9182496  0.1475182 
 3255.9659439   2.868715  0.1432756 
 3259.2255695  2.8427997  0.1415681 
 3262.4851952  2.6935177  0.1381148 
 3265.7445136  2.6207488  0.1362869 
 3269.0167364  2.5239744  0.1328341 
 3272.2760548  2.4986489  0.1315184 
 3275.5482777  2.4216857  0.1282912 
  3278.833098  2.3944116   0.124809 
 3282.1050136   2.349041  0.1237282 
 3285.3898337  2.2814503  0.1211304 
 3288.6743467  2.2527735  0.1198618 
 3291.9717642  2.2079909   0.117476 
  3295.256277  2.1695778  0.1167822 
 3298.5536945  2.1394236  0.1147262 
 3301.8508048  2.0713582  0.1123151 
 3305.1482223  2.0440416  0.1119083 
 3308.4579298  2.0153947  0.1102509 
 3311.7679445   1.976823  0.1099908 
  3315.077652  1.9830678  0.1078967 
 3318.4002642  1.9772815  0.1077602 
 3321.7099717  1.9544777  0.1063167 
 3325.0325837  1.9366744  0.1042547 
 3328.3548886  1.9112599  0.1041862 
  3331.690098  1.8687247  0.1029282 
     3335.025  1.8102933  0.1029853 
  3338.359902  1.7662491  0.1011513 
 3341.6951114  1.7575836   0.101163 
 3345.0426108  1.7187825  0.1000837 
 3348.3778202  1.6984783  0.0989534 
 3351.7253195  1.6752411   0.099019 
 3355.0854163  1.6817631  0.0972001 
  3358.433223  1.6314094  0.0973599 
 3361.7933195  1.6261479  0.0962222 
 3365.1534163  1.6003284  0.0952093 
 3368.5264175  1.5774013  0.0947073 
 3371.8865142  1.5585738   0.093601 
 3375.2592081  1.5864726  0.0936248 
 3378.6444994   1.635572  0.0924623 
 3382.0175006   1.656304  0.0907636 
 3385.4027919  1.6885818  0.0908101 
 3388.7880831  1.7346756  0.0897528 
 3392.1733744  1.7510966  0.0898945 
 3395.5715702  1.7998819  0.0887995 
 3398.9694587  1.8273002  0.0871439 
 3402.3673473  1.8735105  0.0872544 
 3405.7652358  1.9300685  0.0861832 
 3409.1757217  2.0014534  0.0862117 
 3412.5739175  2.0928106  0.0851936 
 3415.9970006  2.1533146  0.0836048 
 3419.4074864  2.2196617  0.0837186 
 3422.8305695  2.2946451  0.0828078 
 3426.2536527  2.3500462  0.0819919 
 3429.6767358  2.4235027  0.0821419 
 3433.1124163  2.4448566  0.0807883 
 3436.5354994  2.4911802   0.081046 
 3439.9711798  2.5609128  0.0802746 
 3443.4194575  2.6216023  0.0795671 
 3446.8554452  2.6935608   0.079835 
  3450.303723   2.754056  0.0785222 
 3453.7520006  2.7949288  0.0779376 
 3457.2128756   2.848063  0.0783174 
 3460.6737506  2.9329069  0.0777229 
 3464.1346256  2.9535413  0.0781775 
 3467.5955006  2.9846206  0.0776231 
 3471.0563756  3.0132842  0.0762796 
  3474.529848   3.055656  0.0766163 
 3478.0033202  3.0495605  0.0761419 
 3481.4890825  3.0583339  0.0755123 
 3484.9625548  3.0596223  0.0758963 
 3488.4486244  3.0663705  0.0753215 
 3491.9472913  3.0484667  0.0740504 
 3495.4333608  3.0662489  0.0743308 
 3498.9320277  3.0746257  0.0737104 
 3502.4306945  3.0603976  0.0731096 
 3505.9293614  3.0540986  0.0734256 
 3509.4406256   3.059824  0.0728567 
 3512.9515825  3.0563924  0.0726016 
 3516.4628467  3.0421522  0.0721444 
 3519.9741108  3.0242496  0.0718194 
 3523.4979723   2.965132  0.0724697 
 3527.0218337  2.9392214  0.0722454 
 3530.5456952  2.9036436  0.0720591 
 3534.0818467  2.8922193  0.0726751 
 3537.6183055  2.8892417  0.0716453 
 3541.1547642  2.8746095  0.0714219 
  3544.691223  2.8984253  0.0720214 
 3548.2399717  2.9093699  0.0716619 
 3551.7890277  2.8804746  0.0713611 
 3555.3380837  2.8766806  0.0718243 
 3558.8868325  2.8652787  0.0713423 
 3562.4484858  2.8532169  0.0709547 
 3566.0101392  2.8414593  0.0713562 
 3569.5840825  2.8259723  0.0700287 
 3573.1457358  2.8057585   0.069525 
 3576.7199864  2.7904222  0.0690042 
  3580.306527  2.8023553  0.0694159 
 3583.8807777  2.7814646  0.0688854 
 3587.4676256  2.8169036  0.0682418 
 3591.0541663  2.8015919  0.0687037 
 3594.6410142  2.7990513  0.0681679 
  3598.240152  2.7705047  0.0677122 
 3601.8395973  2.7158923  0.0682073 
 3605.4390425  2.6838696  0.0669917 
 3609.0507777  2.6991048  0.0665504 
  3612.650223    2.70836  0.0670874 
 3616.2619581  2.7060685  0.0666789 
  3619.886598  2.7213087  0.0662268 
 3623.4983331  2.7498012  0.0666689 
  3627.122973  2.7526977  0.0662044 
 3630.7599027  2.7594202  0.0657603 
 3634.3845425  2.7591655  0.0653296 
 3638.0214723  2.7874362  0.0657804 
  3641.658402  2.7920842  0.0652639 
 3645.2956392   2.775826  0.0647678 
 3648.9451663  2.7820637  0.0652213 
 3652.5950006  2.7853904  0.0638964 
 3656.2445277  2.8002355  0.0632271 
  3659.906652  2.7978966   0.062536 
 3663.5690837  2.8063099  0.0618503 
 3667.2312081  2.7909806     0.0622 
 3670.8933325  2.7719026  0.0615954 
 3674.5683614  2.7460077  0.0604014 
 3678.2430831  2.7562442  0.0598311 
 3681.9178048  2.7534842  0.0593568 
 3685.6054311  2.7335553  0.0589917 
   3689.29275  2.7390451  0.0586409 
 3692.9800689  2.7494357   0.059166 
 3696.6676952  2.7511377  0.0581185 
 3700.3676114  2.7480478  0.0577691 
 3704.0675277  2.7630992  0.0574065 
 3707.7674439  2.7503607  0.0570383 
 3711.4799575  2.7397184  0.0566302 
 3715.1927783  2.7210064  0.0562777 
 3718.9052919  2.7206461  0.0552436 
 3722.6304027  2.7125051  0.0557357 
 3726.3429163  2.6961391  0.0553786 
  3730.068027  2.6497319  0.0550755 
 3733.8060425  2.6314275  0.0547203 
 3737.5437506  2.6020482  0.0543875 
 3741.2814587  2.5922356  0.0533391 
 3745.0191669  2.5923057  0.0529817 
 3748.7694723  2.5806568  0.0526292 
 3752.5071805  2.5682073  0.0522445 
 3756.2700831  2.5540595  0.0526499 
 3760.0203886  2.5267887  0.0522873 
 3763.7832913  2.5192688   0.051909 
 3767.5461939  2.5094309  0.0509211 
 3771.3090967  2.5068085  0.0505985 
 3775.0845967  2.4709775  0.0503444 
 3778.8600967  2.4766765  0.0500319 
 3782.6355967  2.4820869  0.0497085 
 3786.4236939  2.4835737  0.0494273 
 3790.2117913  2.4971097  0.0491684 
 3793.9998886   2.501121  0.0495738 
 3797.7879858  2.4846313  0.0487163 
 3801.5886805  2.4781499  0.0484652 
  3805.389375  2.4828911   0.048211 
 3809.2026669  2.4961412  0.0479394 
 3813.0033614  2.5114322  0.0476863 
 3816.8166533  2.5184443  0.0474513 
 3820.6425425  2.5211535  0.0472272 
  3824.455527   2.534863  0.0469621 
 3828.2814163  2.5251658  0.0461651 
 3832.1073055  2.5215602  0.0458999 
 3835.9457919  2.5068245  0.0456268 
 3839.7842783  2.4989221  0.0453092 
 3843.6224575  2.4951098  0.0449771 
 3847.4609439  2.4637959  0.0453524 
 3851.3120277   2.481173  0.0450091 
 3855.1631114  2.4731166   0.044671 
 3859.0141952  2.4620183  0.0443639 
 3862.8775689  2.4639494  0.0440244 
   3866.74125  2.4576724  0.0437638 
 3870.6049311  2.4539967  0.0430246 
  3874.480902  2.4744999  0.0427411 
 3878.3571805  2.4925857    0.04251 
 3882.2334587   2.505584  0.0422818 
 3886.1094298  2.5089433  0.0420903 
 3889.9983055  2.4979961  0.0418971 
 3893.8871811  2.5006645  0.0416637 
 3897.7883467    2.49017  0.0414504 
 3901.6772223  2.4729769  0.0412273 
 3905.5786952  2.4479108  0.0409832 
 3909.4924581  2.4146545  0.0407299 
 3913.4065283  2.4243679  0.0404393 
 3917.3076939  2.4137461  0.0402059 
 3921.2343614  2.3909552  0.0400027 
 3925.1481244  2.3962364  0.0393235 
 3929.0747919  2.3809133  0.0391602 
  3933.001152   2.373765  0.0390265 
 3936.9404169  2.3710992  0.0388818 
 3940.8793744  2.3580489  0.0387556 
 3944.8186392  2.3605983   0.038611 
 3948.7575967  2.3724487  0.0384353 
 3952.7094587  2.3828163  0.0382644 
 3956.6610136  2.3639622  0.0381361 
  3960.625473  2.3434961  0.0379897 
 3964.5770277  2.3201971  0.0378469 
 3968.5411798  2.3060346  0.0376938 
 3972.5182364  2.2950368  0.0375775 
 3976.4823886  2.2903507  0.0374832 
 3980.4594452  2.2742167  0.0374056 
 3984.4487919  2.2873645  0.0373057 
 3988.4255413   2.289959  0.0372317 
 3992.4151952  2.2811401  0.0371871 
 3996.4171392  2.2784772   0.037127 
 4000.4064858  2.2749155  0.0370802 
 4004.4084298  2.2637093  0.0370494 
 4008.4106811   2.275703  0.0370068 
 4012.4252223  2.2783275  0.0369642 
 4016.4397636  2.2821281  0.0369096 
 4020.4543048  2.2805586  0.0368913 
 4024.4691533  2.2767613  0.0368446 
 4028.4962919  2.2735701  0.0367919 
 4032.5234305  2.2554896  0.0367787 
 4036.5631663  2.2376738  0.0367757 
 4040.5903048  2.2459834  0.0367418 
  4044.630348    2.24226  0.0367274 
 4048.6826811  2.2542293  0.0366929 
 4052.7224169  2.2603414  0.0366718 
 4056.7873473  2.2642419  0.0366369 
 4060.8396805  2.2828815  0.0365738 
 4064.9046108  2.2704599  0.0365385 
 4068.9695413  2.2875423  0.0364652 
 4073.0344717  2.2999897  0.0363695 
 4077.1119994  2.2931187  0.0363132 
  4081.189527  2.2925794  0.0361979 
 4085.2670548  2.2987761  0.0355818 
 4089.3571798  2.2881305  0.0354128 
 4093.4473048  2.2804916  0.0352259 
 4097.5374298  2.2475426   0.035083 
 4101.6275548   2.232851  0.0349218 
  4105.730277  2.2266099  0.0347367 
 4109.8455967   2.209651  0.0345756 
 4113.9483189   2.198087  0.0344141 
 4118.0636386  2.1946733  0.0342548 
 4122.1789581  2.1895988  0.0341064 
  4126.306875  2.2010157  0.0339441 
 4130.4347919  2.2073517  0.0338151 
 4134.5627087  2.2066455  0.0336679 
  4138.703223  2.2030652  0.0330937 
 4142.8308325  2.1942892  0.0329723 
 4146.9839439  2.2065673   0.032812 
 4151.1244581  2.2115846  0.0326576 
 4155.2775695  2.2130368   0.032534 
 4159.4306811  2.2092161  0.0324056 
 4163.5960825  2.2128978  0.0322776 
 4167.7617913  2.1966782  0.0325459 
    4171.9275  2.1853824  0.0324214 
 4176.0932087  2.1742918  0.0322995 
 4180.2712075  2.1740861  0.0317815 
 4184.4495136  2.1667893  0.0316412 
 4188.6404169  2.1602991  0.0315296 
 4192.8313202  2.1557767  0.0314236 
 4197.0219163  2.1555786  0.0313052 
 4201.2128195  2.1561811  0.0311824 
 4205.4163202  2.1439333  0.0310932 
 4209.6195136  2.1378636  0.0309786 
 4213.8356114  2.1197095  0.0308881 
  4218.051402  2.1046226  0.0304397 
    4222.2675  2.0991609  0.0307269 
  4226.483598  2.0942874  0.0306331 
 4230.7119858  2.0910101  0.0305456 
 4234.9406811  2.0917864  0.0304507 
 4239.1816663   2.085655  0.0303727 
 4243.4229587   2.072906   0.030295 
 4247.6639439  2.0545909  0.0298839 
 4251.9178337  2.0511935  0.0298127 
 4256.1714163  2.0402651  0.0297512 
 4260.4253061  2.0401409  0.0296614 
 4264.6788886   2.031786  0.0299226 
 4268.9453756  2.0356722  0.0298389 
 4273.2115555  2.0271511  0.0297767 
 4277.4903325  2.0301435   0.029363 
 4281.7694169  2.0224247  0.0293181 
 4286.0481939  2.0270281  0.0292727 
 4290.3398756  2.0340984  0.0292291 
 4294.6186527  2.0286534  0.0292194 
 4298.9226244  2.0299897  0.0292029 
 4303.2143061  2.0420249  0.0291757 
 4307.5182777  2.0478959  0.0291601 
 4311.8348467  2.0496218   0.029154 
 4316.1391256  2.0496509  0.0291772 
 4320.4556945  2.0462422   0.029162 
 4324.7722636  2.0271387  0.0287969 
 4329.1014298  2.0068181  0.0287997 
 4333.4309033  1.9954944  0.0291513 
 4337.7726669  1.9874991  0.0291675 
 4342.1018331  1.9801772  0.0291827 
 4346.4435967  1.9606129  0.0292297 
 4350.7979575   1.945315  0.0289489 
 4355.1400283  1.9282225  0.0290036 
 4359.4943892  1.9222814  0.0290488 
 4363.8613473   1.903628  0.0294582 
 4368.2283055  1.8989308  0.0294804 
 4372.5952636  1.8773988  0.0291658 
 4376.9622217  1.8672246  0.0291512 
  4381.341777  1.8627557  0.0291301 
 4385.7213325  1.8609054  0.0290968 
 4390.1137925  1.8739226  0.0290898 
 4394.5059452   1.876933  0.0290856 
  4398.898098  1.8755811   0.029115 
 4403.2902506  1.8759125  0.0291094 
 4407.6950006  1.8845037  0.0290834 
 4412.0997506  1.8769246   0.028784 
  4416.517098  1.8927585   0.029092 
 4420.9344452  1.8926733  0.0290639 
 4425.3517925  1.8976884  0.0290144 
 4429.7814298  1.9119904  0.0286323 
 4434.2113744  1.9259419  0.0285715 
 4438.6413189  1.9371639  0.0288181 
 4443.0838608   1.943813  0.0287472 
 4447.5264027  1.9370625  0.0283659 
 4451.9815419  1.9387811  0.0282907 
 4456.4240837   1.935799  0.0282305 
  4460.879223  1.9404469  0.0284711 
  4465.346652  1.9357698  0.0283884 
 4469.8143886  1.9429384  0.0279654 
  4474.282125  1.9461603  0.0278719 
 4478.7498614  1.9248049  0.0278208 
 4483.2301952  1.8970975  0.0277138 
 4487.7102217   1.892823  0.0276018 
 4492.2031527  1.8696339  0.0275356 
 4496.6960837   1.841148    0.02749 
 4501.2013048  1.8224007   0.027394 
 4505.6942358  1.8085092  0.0273368 
 4510.1997642  1.7952828  0.0272792 
 4514.7175825  1.7825128  0.0279509 
 4519.2231108  1.7703032  0.0289584 
 4523.7412364  1.7623838  0.0280014 
  4528.271652  1.7565753  0.0272713 
  4532.802375  1.7420019  0.0271973 
  4537.333098   1.735532  0.0278321 
 4541.8761108  1.7350883  0.0288575 
 4546.4068337  1.7336017  0.0297119 
 4550.9624439   1.727163  0.0302048 
 4555.5057642  1.7249434  0.0307364 
 4560.0613744  1.7138247  0.0313775 
 4564.6298892  1.6941912  0.0305173 
 4569.1854994    1.69254  0.0298138 
 4573.7540142  1.6833392  0.0293299 
 4578.3348189   1.676082  0.0280011 
 4582.9159311  1.6623515  0.0271279 
 4587.4967358  1.6563789  0.0263516 
