# STATUS =
# OBJECT = PTF10aagc
# TELESCOPE = Keck1
# INSTRUMENT = LRIS
# DATE-OBS = 2010-11-05 00:00:00.00
# MJD = 55505.0
# EXPTIME = 0
# AIRMASS = --
# SLIT = 0
# DISPERSER = --
# SOURCE = 2018ApJ...855....2Q
# FILTER =
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = --
# PHOTOMETRY_CALIBRATED =
# TELLURIC_CORRECTED =
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# QUALITY = --
# MIN_WAVE = 3311.5951841
# MAX_WAVE = 7553.8577431
# COMMENT = Spectrum is the smoothed version. For the unbinned versions check the related files - clipped or raw.  [Data obtained from:R. Quimby] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]
   Wavelength       Flux      Error 
 3314.9136091  3.8429344   0.258853 
 3318.2320341  3.8680272  0.2342536 
 3321.5504591  3.9042675  0.2077736 
 3324.8688841  3.9240081  0.1852148 
 3328.1873091  3.9420464  0.1693027 
 3331.5178129  3.9929485  0.1589903 
 3334.8483166  4.0056953  0.1473848 
 3338.1906046  4.0150447  0.1376624 
 3341.5211084  4.0186677  0.1303241 
 3344.8636909  4.0653629  0.1232006 
 3348.2183523  4.0750928  0.1192489 
 3351.5609348  4.0617528  0.1137265 
 3354.9155962  4.0713234  0.1104902 
 3358.2702575  4.0881305  0.1061256 
 3361.6249189  4.1049266  0.1021206 
 3364.9916591  4.1176071  0.0999718 
 3368.3581046  4.1372347  0.0962713 
 3371.7248448  4.1621666  0.0943999 
 3375.0915848  4.1944218  0.0909422 
 3378.4704038  4.1864061  0.0894055 
 3381.8492227  4.1813793  0.0862321 
 3385.2280416   4.180449  0.0833046 
 3388.6186448  4.1857686  0.0818579 
 3392.0095425   4.143074  0.0792414 
 3395.4004402  4.1155982  0.0779232 
 3398.7913379  4.0558772  0.0754222 
 3402.1940198  4.0432324   0.072883 
 3405.5969962  4.0117111   0.071614 
 3408.9999727   3.978971  0.0692098 
 3412.4026546   3.941143  0.0681826 
 3415.8177098   3.896806  0.0659407 
 3419.2327652  3.8567381   0.063841 
 3422.6596046  3.8216054  0.0628191 
 3426.0746598  3.7761281  0.0608787 
 3429.5017939  3.7343328   0.059954 
 3432.9407121  3.6948736  0.0581593 
 3436.3678462  3.6647048  0.0564547 
 3439.8070591  3.6366861  0.0557365 
 3443.2459773  3.6086986  0.0540464 
 3446.6851902  3.5687387  0.0534752 
 3450.1361871  3.5448842  0.0520138 
 3453.5874788  3.5130644  0.0506603 
 3457.0387704  3.4761791  0.0501553 
 3460.5018462  3.4518895  0.0489479 
 3463.9531379   3.427098  0.0476323 
 3467.4162136  3.3939762  0.0472365 
 3470.8916629  3.3996115  0.0461456 
 3474.3547386  3.3778887  0.0458059 
 3477.8301879  3.3656673  0.0447897 
 3481.3174212  3.3572595  0.0438124 
 3484.7928704  3.3420959  0.0433549 
 3488.2801038  3.3292866  0.0424164 
 3491.7673371  3.3186071  0.0415596 
 3495.2548652    3.32534  0.0412883 
 3498.7541773  3.3198476  0.0404884 
 3502.2537841  3.3115478  0.0402966 
 3505.7530962  3.3351228  0.0394902 
 3509.2644871  3.3561609  0.0387564 
 3512.7761727  3.3767395   0.038389 
 3516.2875636  3.3890641  0.0377102 
 3519.7989546  3.4145639  0.0370693 
 3523.3227189   3.418946  0.0369724 
 3526.8461886  3.4248574  0.0364094 
 3530.3696584  3.4280283  0.0358803 
 3533.9055015  3.4498839  0.0357936 
   3537.44105  3.4820256  0.0352305 
 3540.9765985  3.5066373  0.0344836 
 3544.5124416  3.5206091  0.0344408 
 3548.0600689  3.5354612  0.0338999 
 3551.6076962  3.5374589  0.0333833 
 3555.1553235  3.5448093  0.0333065 
 3558.7150296  3.5569727  0.0327373 
 3562.2750302  3.5607798  0.0326603 
 3565.8347364  3.5669019  0.0320983 
 3569.4065212  3.5607636  0.0315445 
 3572.9662273  3.5476482  0.0314438 
 3576.5380121  3.5163834  0.0307056 
 3580.1221704  3.4905522  0.0301486 
 3583.7060341  3.4664516  0.0300304 
 3587.2898977  3.4251332  0.0295106 
 3590.8737614  3.3903165  0.0289985 
 3594.4697038   3.363106  0.0289219 
 3598.0535675  3.3291378  0.0284007 
 3601.6615886  3.2938924  0.0279048 
 3605.2575311  3.2596734  0.0278246 
 3608.8655523  3.2108424   0.027391 
 3612.4735735  3.1832249  0.0269585 
 3616.0815948  3.1509857   0.026569 
 3619.7016948  3.1203489  0.0265462 
 3623.3217948  3.0875759  0.0259859 
 3626.9418948  3.0834143  0.0256179 
 3630.5740735  3.0832303  0.0256221 
 3634.2062523  3.0694318  0.0252942 
 3637.8384311  3.0601921  0.0249859 
 3641.4706098  3.0545363   0.025026 
 3645.1148675  3.0446646  0.0247248 
  3648.759125  3.0435438  0.0243975 
 3652.4154614  3.0454891  0.0244482 
 3656.0597189  3.0470059  0.0241272 
 3659.7160552  3.0352225  0.0238359 
 3663.3844704  3.0378644  0.0238674 
 3667.0405121  3.0436375  0.0235631 
 3670.7089273  3.0446098  0.0232803 
 3674.3773425  3.0380783  0.0230246 
 3678.0578364  3.0432451  0.0230762 
 3681.7383302  3.0551562  0.0227941 
 3685.4185296  3.0476248  0.0225628 
 3689.0990235  3.0464599  0.0226518 
 3692.7915962  3.0462804  0.0224183 
 3696.4841689  3.0437272  0.0221753 
 3700.1767416  3.0437548  0.0219181 
 3703.8810985  3.0392294  0.0219877 
   3707.58575  3.0306687  0.0217127 
 3711.2904015  3.0169692   0.021428 
 3715.0068371  3.0059674  0.0214866 
 3718.7235675  2.9728761  0.0212337 
 3722.4402977  2.9430659  0.0209766 
 3726.1567334   2.912008  0.0207135 
 3729.8855425  2.8864441  0.0207769 
 3733.6143515  2.8602664  0.0205009 
 3737.3549448   2.837384  0.0200154 
 3741.0837538   2.822449    0.01974 
 3744.8246416  2.7948289  0.0194797 
 3748.5773136  2.7757313  0.0192208 
