# STATUS =
# OBJECT = PTF10bfz
# TELESCOPE = Keck1
# INSTRUMENT = LRIS
# DATE-OBS = 2010-03-07 00:00:00.00
# MJD = 55262.00
# EXPTIME = 0
# AIRMASS =
# SLIT = 0
# DISPERSER =
# SOURCE =
# FILTER =
# RESOLUTION =
# FLUX_STANDARD = True
# EXTINCTION_CORRECTED = True
# PHOTOMETRY_CALIBRATED = True
# TELLURIC_CORRECTED = True
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# COMMENT =
    Wavelength       Flux
3000.000000 5.849349e-01
3010.000000 6.030766e-01
3020.000000 6.144344e-01
3030.000000 6.134595e-01
3040.000000 6.008791e-01
3050.000000 5.916627e-01
3060.000000 5.775457e-01
3070.000000 5.742210e-01
3080.000000 5.901713e-01
3090.000000 6.148877e-01
3100.000000 6.503382e-01
3110.000000 6.759835e-01
3120.000000 6.826406e-01
3130.000000 6.815991e-01
3140.000000 6.728996e-01
3150.000000 6.596578e-01
3160.000000 6.452286e-01
3170.000000 6.346991e-01
3180.000000 6.345656e-01
3190.000000 6.495398e-01
3200.000000 6.733574e-01
3210.000000 7.020973e-01
3220.000000 7.232085e-01
3230.000000 7.437311e-01
3240.000000 7.560936e-01
3250.000000 7.575455e-01
3260.000000 7.662652e-01
3270.000000 7.783759e-01
3280.000000 7.796735e-01
3290.000000 7.805127e-01
3300.000000 7.726344e-01
3310.000000 7.713199e-01
3320.000000 7.883070e-01
3330.000000 8.120328e-01
3340.000000 8.392086e-01
3350.000000 8.732562e-01
3360.000000 9.062419e-01
3370.000000 9.285207e-01
3380.000000 9.429294e-01
3390.000000 9.416350e-01
3400.000000 9.441738e-01
3410.000000 9.516656e-01
3420.000000 9.643162e-01
3430.000000 9.727542e-01
3440.000000 9.718237e-01
3450.000000 9.470238e-01
3460.000000 9.103133e-01
3470.000000 8.736783e-01
3480.000000 8.514036e-01
3490.000000 8.457959e-01
3500.000000 8.577974e-01
3510.000000 8.730270e-01
3520.000000 8.932824e-01
3530.000000 9.281376e-01
3540.000000 9.618770e-01
3550.000000 9.895827e-01
3560.000000 1.007752e+00
3570.000000 1.008488e+00
3580.000000 1.000735e+00
3590.000000 9.948590e-01
3600.000000 9.868515e-01
3610.000000 9.806090e-01
3620.000000 9.800152e-01
3630.000000 9.779640e-01
3640.000000 9.727775e-01
3650.000000 9.618440e-01
3660.000000 9.501454e-01
3670.000000 9.453139e-01
3680.000000 9.521948e-01
3690.000000 9.735682e-01
3700.000000 1.003411e+00
3710.000000 1.035491e+00
3720.000000 1.074207e+00
3730.000000 1.123210e+00
3740.000000 1.169734e+00
3750.000000 1.218661e+00
3760.000000 1.267007e+00
3770.000000 1.313921e+00
3780.000000 1.358278e+00
3790.000000 1.406312e+00
3800.000000 1.444690e+00
3810.000000 1.459837e+00
3820.000000 1.462107e+00
3830.000000 1.462764e+00
3840.000000 1.461543e+00
3850.000000 1.463217e+00
3860.000000 1.467982e+00
3870.000000 1.465409e+00
3880.000000 1.455576e+00
3890.000000 1.447030e+00
3900.000000 1.438283e+00
3910.000000 1.430570e+00
3920.000000 1.427446e+00
3930.000000 1.427737e+00
3940.000000 1.429879e+00
3950.000000 1.434525e+00
3960.000000 1.432972e+00
3970.000000 1.426004e+00
3980.000000 1.414549e+00
3990.000000 1.399192e+00
4000.000000 1.377557e+00
4010.000000 1.355950e+00
4020.000000 1.340631e+00
4030.000000 1.326905e+00
4040.000000 1.316052e+00
4050.000000 1.313878e+00
4060.000000 1.314327e+00
4070.000000 1.313965e+00
4080.000000 1.316901e+00
4090.000000 1.325208e+00
4100.000000 1.334467e+00
4110.000000 1.341176e+00
4120.000000 1.348623e+00
4130.000000 1.347274e+00
4140.000000 1.332286e+00
4150.000000 1.307152e+00
4160.000000 1.276676e+00
4170.000000 1.250037e+00
4180.000000 1.235066e+00
4190.000000 1.236187e+00
4200.000000 1.246734e+00
4210.000000 1.263106e+00
4220.000000 1.276290e+00
4230.000000 1.279122e+00
4240.000000 1.277728e+00
4250.000000 1.279203e+00
4260.000000 1.286232e+00
4270.000000 1.300043e+00
4280.000000 1.322538e+00
4290.000000 1.349508e+00
4300.000000 1.373365e+00
4310.000000 1.399620e+00
4320.000000 1.434712e+00
4330.000000 1.479026e+00
4340.000000 1.529677e+00
4350.000000 1.581885e+00
4360.000000 1.636312e+00
4370.000000 1.683091e+00
4380.000000 1.722722e+00
4390.000000 1.762403e+00
4400.000000 1.802852e+00
4410.000000 1.842048e+00
4420.000000 1.872542e+00
4430.000000 1.888894e+00
4440.000000 1.891801e+00
4450.000000 1.877946e+00
4460.000000 1.852230e+00
4470.000000 1.827251e+00
4480.000000 1.811100e+00
4490.000000 1.803061e+00
4500.000000 1.799638e+00
4510.000000 1.796293e+00
4520.000000 1.781715e+00
4530.000000 1.750693e+00
4540.000000 1.708177e+00
4550.000000 1.666084e+00
4560.000000 1.632551e+00
4570.000000 1.610793e+00
4580.000000 1.604871e+00
4590.000000 1.610068e+00
4600.000000 1.613811e+00
4610.000000 1.613760e+00
4620.000000 1.611247e+00
4630.000000 1.607502e+00
4640.000000 1.602750e+00
4650.000000 1.599049e+00
4660.000000 1.597440e+00
4670.000000 1.593504e+00
4680.000000 1.583104e+00
4690.000000 1.563665e+00
4700.000000 1.538600e+00
4710.000000 1.504857e+00
4720.000000 1.463266e+00
4730.000000 1.417861e+00
4740.000000 1.365479e+00
4750.000000 1.306221e+00
4760.000000 1.246894e+00
4770.000000 1.192146e+00
4780.000000 1.150108e+00
4790.000000 1.119212e+00
4800.000000 1.097015e+00
4810.000000 1.082171e+00
4820.000000 1.071155e+00
4830.000000 1.061623e+00
4840.000000 1.053937e+00
4850.000000 1.049885e+00
4860.000000 1.053476e+00
4870.000000 1.061607e+00
4880.000000 1.070955e+00
4890.000000 1.077982e+00
4900.000000 1.085367e+00
4910.000000 1.094273e+00
4920.000000 1.105562e+00
4930.000000 1.117634e+00
4940.000000 1.130854e+00
4950.000000 1.147095e+00
4960.000000 1.164008e+00
4970.000000 1.179459e+00
4980.000000 1.190026e+00
4990.000000 1.196957e+00
5000.000000 1.200759e+00
5010.000000 1.204704e+00
5020.000000 1.209009e+00
5030.000000 1.216635e+00
5040.000000 1.230865e+00
5050.000000 1.252006e+00
5060.000000 1.275160e+00
5070.000000 1.296194e+00
5080.000000 1.314202e+00
5090.000000 1.326381e+00
5100.000000 1.335119e+00
