       MJD    Upper     Mean    Lower   Cenwave  Zeropoint  Filter 
 55207.964     99.0     99.0     99.0   3608.04     3631.0       u 
 55209.215     99.0     99.0     99.0   3608.04     3631.0       u 
 55210.467     99.0     99.0     99.0   3608.04     3631.0       u 
 55211.718     99.0     99.0     99.0   3608.04     3631.0       u 
  55212.97     99.0     99.0     99.0   3608.04     3631.0       u 
 55214.222     99.0     99.0     99.0   3608.04     3631.0       u 
 55215.473     99.0     99.0     99.0   3608.04     3631.0       u 
 55216.725     99.0     99.0     99.0   3608.04     3631.0       u 
 55217.976     99.0     99.0     99.0   3608.04     3631.0       u 
 55219.228     99.0     99.0     99.0   3608.04     3631.0       u 
 55220.479     99.0     99.0     99.0   3608.04     3631.0       u 
 55221.731     99.0     99.0     99.0   3608.04     3631.0       u 
 55222.982     99.0     99.0     99.0   3608.04     3631.0       u 
 55224.234     99.0     99.0     99.0   3608.04     3631.0       u 
 55225.486     99.0     99.0     99.0   3608.04     3631.0       u 
 55226.737     99.0     99.0     99.0   3608.04     3631.0       u 
 55227.989     99.0     99.0     99.0   3608.04     3631.0       u 
  55229.24     99.0     99.0     99.0   3608.04     3631.0       u 
 55230.492     99.0     99.0     99.0   3608.04     3631.0       u 
 55231.743     99.0     99.0     99.0   3608.04     3631.0       u 
 55232.995     99.0     99.0     99.0   3608.04     3631.0       u 
 55234.247     99.0     99.0     99.0   3608.04     3631.0       u 
 55235.498     99.0     99.0     99.0   3608.04     3631.0       u 
  55236.75     99.0     99.0     99.0   3608.04     3631.0       u 
 55238.001     99.0     99.0     99.0   3608.04     3631.0       u 
 55239.253     99.0     99.0     99.0   3608.04     3631.0       u 
 55240.504     99.0     99.0     99.0   3608.04     3631.0       u 
 55241.756     99.0     99.0     99.0   3608.04     3631.0       u 
 55243.007     99.0     99.0     99.0   3608.04     3631.0       u 
 55244.259     99.0     99.0     99.0   3608.04     3631.0       u 
 55245.511     99.0     99.0     99.0   3608.04     3631.0       u 
 55246.762     99.0     99.0  -11.972   3608.04     3631.0       u 
 55248.014     99.0     99.0  -15.503   3608.04     3631.0       u 
 55249.265     99.0     99.0  -16.496   3608.04     3631.0       u 
 55250.517     99.0     99.0  -17.138   3608.04     3631.0       u 
 55251.768     99.0     99.0  -17.639   3608.04     3631.0       u 
  55253.02     99.0     99.0  -17.966   3608.04     3631.0       u 
 55254.272     99.0     99.0  -18.251   3608.04     3631.0       u 
 55255.523     99.0     99.0  -18.451   3608.04     3631.0       u 
 55256.775     99.0  -15.372  -18.625   3608.04     3631.0       u 
 55258.026     99.0  -17.157  -18.777   3608.04     3631.0       u 
 55259.278     99.0  -17.881  -18.927   3608.04     3631.0       u 
 55260.529     99.0  -18.415  -19.033   3608.04     3631.0       u 
 55261.781     99.0  -18.674  -19.179   3608.04     3631.0       u 
 55263.033  -16.666  -18.947  -19.288   3608.04     3631.0       u 
 55264.284  -18.358  -19.171  -19.398   3608.04     3631.0       u 
 55265.536  -18.945   -19.37  -19.533   3608.04     3631.0       u 
 55266.787  -19.253  -19.541  -19.697   3608.04     3631.0       u 
 55267.413  -19.336  -19.602  -19.818   3608.04     3631.0       u 
 55268.039  -19.399  -19.678  -19.926   3608.04     3631.0       u 
  55269.29  -19.478  -19.789  -20.083   3608.04     3631.0       u 
 55270.542  -19.546  -19.894  -20.207   3608.04     3631.0       u 
 55271.793  -19.607  -19.954  -20.335   3608.04     3631.0       u 
 55273.045  -19.659  -20.012  -20.441   3608.04     3631.0       u 
 55274.297  -19.705   -20.08  -20.533   3608.04     3631.0       u 
 55275.548  -19.748  -20.135  -20.607   3608.04     3631.0       u 
   55276.8   -19.79  -20.184   -20.68   3608.04     3631.0       u 
 55278.051  -19.833  -20.232  -20.728   3608.04     3631.0       u 
 55279.303  -19.869  -20.274  -20.776   3608.04     3631.0       u 
 55280.554  -19.898   -20.31  -20.823   3608.04     3631.0       u 
 55281.806  -19.926  -20.341  -20.866   3608.04     3631.0       u 
 55283.058  -19.951  -20.376  -20.907   3608.04     3631.0       u 
 55284.309  -19.974  -20.407  -20.941   3608.04     3631.0       u 
 55285.561  -19.995  -20.436  -20.968   3608.04     3631.0       u 
 55286.812  -20.016  -20.462  -20.992   3608.04     3631.0       u 
 55288.064  -20.036   -20.48  -21.011   3608.04     3631.0       u 
 55289.315  -20.053  -20.494  -21.027   3608.04     3631.0       u 
 55290.567  -20.064  -20.513  -21.042   3608.04     3631.0       u 
 55291.819  -20.069   -20.53  -21.057   3608.04     3631.0       u 
  55293.07  -20.073  -20.544  -21.073   3608.04     3631.0       u 
 55294.322  -20.076  -20.556  -21.089   3608.04     3631.0       u 
 55295.573  -20.086  -20.563  -21.103   3608.04     3631.0       u 
 55296.825   -20.09  -20.568  -21.113   3608.04     3631.0       u 
 55298.076  -20.097  -20.571   -21.12   3608.04     3631.0       u 
 55299.328  -20.103  -20.569  -21.124   3608.04     3631.0       u 
 55300.579  -20.108  -20.568  -21.122   3608.04     3631.0       u 
 55301.831  -20.112  -20.572  -21.118   3608.04     3631.0       u 
 55303.083  -20.115  -20.574  -21.111   3608.04     3631.0       u 
 55304.334  -20.116  -20.576  -21.107   3608.04     3631.0       u 
 55305.586  -20.116  -20.575  -21.099   3608.04     3631.0       u 
 55306.837  -20.115  -20.572  -21.088   3608.04     3631.0       u 
 55308.089  -20.113  -20.566  -21.076   3608.04     3631.0       u 
  55309.34  -20.111  -20.559  -21.067   3608.04     3631.0       u 
 55310.592  -20.107  -20.551  -21.053   3608.04     3631.0       u 
 55311.844  -20.102  -20.541  -21.034   3608.04     3631.0       u 
 55313.095  -20.096  -20.531  -21.017   3608.04     3631.0       u 
 55314.347  -20.089  -20.519  -20.999   3608.04     3631.0       u 
 55315.598  -20.083  -20.506  -20.978   3608.04     3631.0       u 
  55316.85  -20.065  -20.495  -20.954   3608.04     3631.0       u 
 55318.101   -20.04  -20.484  -20.926   3608.04     3631.0       u 
 55319.353  -20.024  -20.468  -20.903   3608.04     3631.0       u 
 55320.604  -20.015  -20.446  -20.876   3608.04     3631.0       u 
 55321.856  -20.005  -20.422  -20.845   3608.04     3631.0       u 
 55323.108  -19.994  -20.399  -20.812   3608.04     3631.0       u 
