# STATUS =
# OBJECT = PTF10nmn
# TELESCOPE = P200
# INSTRUMENT = DBSP
# DATE-OBS = 2010-08-09 00:00:00.00
# MJD = 55417.0
# EXPTIME = 0
# AIRMASS = --
# SLIT = 0
# DISPERSER = --
# SOURCE = 2018ApJ...855....2Q
# FILTER =
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = --
# PHOTOMETRY_CALIBRATED =
# TELLURIC_CORRECTED =
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# QUALITY = --
# MIN_WAVE = 3287.2489833
# MAX_WAVE = 10039.6809152
# COMMENT = Spectrum is the smoothed version. For the unbinned versions check the related files - clipped or raw.  [Data obtained from:R. Quimby] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]
    Wavelength        Flux       Error 
  3290.5413289  -0.1400947  -0.2301429 
     3293.8334  -0.1154283  -0.2252638 
  3297.1254711  -0.0299101  -0.2207595 
  3300.4178167   0.0475597  -0.2170159 
  3303.7211348   0.0665075  -0.2114333 
   3307.024453   0.1619037   -0.206668 
  3310.3277711   0.0849534  -0.2019933 
  3313.6423363  -0.0061036   -0.197138 
  3316.9571758  -0.1198178  -0.1930029 
  3320.2717409  -0.1139305  -0.1874235 
   3323.597553  -0.1188443  -0.1842812 
  3326.9121182  -0.1156219  -0.1812644 
  3330.2379302  -0.0820885  -0.1782061 
  3333.5752637  -0.0109896  -0.1755138 
  3336.9123228  -0.0582009    -0.17202 
  3340.2493818  -0.0567258  -0.1696944 
  3343.5864409  -0.0277994  -0.1674984 
   3346.934747  -0.0770081  -0.1655665 
  3350.2718061   -0.075602  -0.1637116 
  3353.6313591   -0.128409   0.1608583 
  3356.9796652  -0.0658758  -0.1583098 
  3360.3392182   0.0040349  -0.1555499 
  3363.6987711   0.0481661  -0.1524785 
  3367.0583242   0.0660722   -0.148801 
  3370.4291242   0.0418706  -0.1458935 
  3373.7999242   0.0503206  -0.1429981 
  3377.1707242   0.0784619  -0.1405357 
  3380.5527711   0.0868674  -0.1374191 
  3383.9348182   0.0873143  -0.1355236 
  3387.3168652   0.0920205  -0.1336295 
  3390.6989121   0.0961135  -0.1317979 
  3394.0922061   0.1322242   -0.130113 
     3397.4855   0.1216708   -0.130995 
  3400.8900409    0.116262  -0.1292886 
  3404.2833348   0.0665408   0.1268984 
  3407.6878758   0.0539727   0.1245022 
  3411.1036637   0.0401379   0.1237792 
  3414.5079302   0.0824283   0.1229139 
  3417.9237182   0.0919589    0.121283 
  3421.3395061   0.1650293   0.1205623 
  3424.7665409   0.1439582   0.1196385 
  3428.1935758   0.1254184    0.118903 
  3431.6203363   0.1047043   0.1176021 
  3435.0473711   0.1161219   0.1169026 
   3438.485653   0.1138574    0.116237 
  3441.9239348   0.0351634   0.1153501 
  3445.3622167  -0.0039625   0.1145644 
  3448.8114711   0.0073334   0.1137474 
      3452.261  -0.0338712   0.1119554 
  3455.7105289   -0.023275   0.1106726 
  3459.1710302  -0.0587422   0.1096521 
  3462.6318061   -0.038358  -0.1082171 
  3466.0925818  -0.0479556  -0.1056351 
  3469.5530833  -0.1301804    0.104168 
  3473.0251061  -0.1538968   0.1030956 
  3476.4971289  -0.0965596   0.1004037 
  3479.9801242  -0.0640527  -0.0983617 
   3483.452147   -0.053355  -0.0963064 
  3486.9354167  -0.0476724  -0.0936895 
  3490.4296591  -0.0479718  -0.0916236 
  3493.9241758   -0.050551  -0.0895593 
  3497.4071711  -0.0771194  -0.0873967 
  3500.9129348  -0.1029355  -0.0860775 
  3504.4071772  -0.0823399  -0.0844765 
  3507.9129409  -0.0678355  -0.0833779 
  3511.4184302  -0.0725298  -0.0825135 
  3514.9354409  -0.0682736  -0.0816181 
  3518.4521772  -0.0865054  -0.0817188 
  3521.9691879  -0.0757166  -0.0815846 
  3525.4859242  -0.0583325    0.081464 
  3529.0141818  -0.0902026   0.0818706 
  3532.5421652  -0.0926534    0.082562 
  3536.0816698  -0.0712526   0.0810125 
   3539.609653  -0.0698121   0.0807495 
  3543.1488833  -0.0661806   0.0806794 
  3546.6996348  -0.0269059   0.0807353 
  3550.2388652  -0.0009577   0.0800223 
  3553.7896167   0.0269687   0.0786632 
