# STATUS =
# OBJECT = PTF10nmn
# TELESCOPE = Keck1
# INSTRUMENT = LRIS
# DATE-OBS = 2011-07-03 00:00:00.00
# MJD = 55745.0
# EXPTIME = 0
# AIRMASS = --
# SLIT = 0
# DISPERSER = --
# SOURCE = 2018ApJ...855....2Q
# FILTER =
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = --
# PHOTOMETRY_CALIBRATED =
# TELLURIC_CORRECTED =
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# QUALITY = --
# MIN_WAVE = 3190.1363121
# MAX_WAVE = 10293.7154637
# COMMENT = Spectrum is the smoothed version. For the unbinned versions check the related files - clipped or raw.  [Data obtained from:R. Quimby] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]
    Wavelength       Flux      Error 
  3193.3274348   0.626648  0.2851558 
  3196.5295302  0.6863078  0.2791984 
   3199.720653  0.7247331  0.2732929 
  3202.9230228  0.7136978  0.2677975 
  3206.1251182  0.8010069  0.2629354 
  3209.3274879  0.8112476  0.2555694 
  3212.5408302  0.8109474  0.2501308 
   3215.754447  0.7803214  0.2448898 
  3218.9680637  0.7454718  0.2393121 
   3222.192653  0.7666154  0.2339529 
  3225.4062698  0.7978795   0.229058 
  3228.6308591  0.8175499  0.2241072 
  3231.8669698  0.7652522  0.2196078 
  3235.0915591  0.7251081  0.2138871 
  3238.3276698   0.606209  0.2099057 
   3241.574753  0.5570802  0.2061791 
  3244.8108637  0.5618858   0.202607 
   3248.057947  0.5679838  0.1986777 
  3251.3050302  0.5193334  0.1948115 
  3254.5523879  0.4929375  0.1916313 
  3257.8107182  0.5623178  0.1871606 
  3261.0693228  0.6449769  0.1850117 
   3264.327653  0.5835932  0.1825709 
  3267.5972302   0.531072  0.1801003 
  3270.8670818  0.5384145   0.178023 
  3274.1366591  0.5429689   0.175419 
  3277.4062363  0.5393332  0.1728595 
  3280.6873348  0.5694464  0.1695717 
  3283.9681591  0.5311151  0.1671391 
  3287.2489833  0.5814354  0.1652388 
  3290.5413289  0.6221147  0.1629214 
     3293.8334  0.6278436  0.1605405 
  3297.1254711  0.6530328  0.1585223 
  3300.4178167  0.6801938   0.154781 
  3303.7211348  0.7317445  0.1526618 
   3307.024453  0.6904265  0.1500279 
  3310.3277711  0.6662385  0.1472574 
  3313.6423363  0.6374664  0.1447537 
  3316.9571758   0.618441  0.1422865 
  3320.2717409  0.6254843  0.1390455 
   3323.597553  0.5973716  0.1361517 
  3326.9121182  0.6028226  0.1330008 
  3330.2379302  0.6047058  0.1299312 
  3333.5752637  0.5668086  0.1270569 
  3336.9123228  0.5509064  0.1247777 
  3340.2493818  0.5248006  0.1216279 
  3343.5864409  0.5216878  0.1201706 
   3346.934747  0.5397771  0.1186501 
  3350.2718061  0.5050572  0.1173086 
  3353.6313591  0.4877666  0.1165465 
  3356.9796652  0.5362839  0.1148233 
  3360.3392182  0.5788233  0.1145256 
  3363.6987711  0.5671784  0.1137505 
  3367.0583242  0.5728104  0.1133808 
  3370.4291242  0.5986218  0.1124347 
  3373.7999242   0.609013  0.1112559 
  3377.1707242  0.5732542  0.1094256 
  3380.5527711  0.5773381  0.1078651 
  3383.9348182  0.6294821  0.1065033 
  3387.3168652  0.6911126  0.1048277 
  3390.6989121  0.7065203  0.1024974 
  3394.0922061  0.7185289  0.1006267 
     3397.4855  0.7392544  0.0991129 
  3400.8900409  0.7679385  0.0975342 
  3404.2833348  0.7588375  0.0963359 
  3407.6878758  0.7497869  0.0944598 
  3411.1036637  0.7491779  0.0932617 
  3414.5079302  0.7519139  0.0926445 
  3417.9237182  0.7759906   0.091806 
  3421.3395061  0.7686559  0.0912653 
  3424.7665409  0.7712767    0.08997 
  3428.1935758  0.8031951  0.0896645 
  3431.6203363  0.7906923  0.0892806 
  3435.0473711  0.7429466  0.0893421 
   3438.485653  0.7178264  0.0883347 
  3441.9239348  0.7362776  0.0880649 
  3445.3622167  0.6988786  0.0873367 
  3448.8114711  0.7043113  0.0870123 
      3452.261  0.7424983  0.0858252 
  3455.7105289   0.721706  0.0856861 
  3459.1710302  0.7206126  0.0852609 
  3462.6318061  0.6966101  0.0853806 
  3466.0925818  0.6553693  0.0845465 
  3469.5530833  0.6191044  0.0845635 
  3473.0251061   0.597519  0.0840959 
  3476.4971289  0.6400679  0.0839443 
  3479.9801242  0.6194791  0.0827954 
   3483.452147  0.6000696  0.0825082 
  3486.9354167   0.608973  0.0817946 
  3490.4296591   0.593187  0.0814271 
  3493.9241758  0.5832736  0.0806923 
  3497.4071711  0.5866321  0.0802255 
  3500.9129348  0.5841595  0.0799218 
  3504.4071772  0.5834604  0.0790235 
  3507.9129409   0.595123  0.0777086 
  3511.4184302  0.6316261  0.0768059 
  3514.9354409  0.6032249  0.0762578 
  3518.4521772  0.6122268  0.0757159 
  3521.9691879  0.5469278  0.0755016 
  3525.4859242  0.5189778  0.0755366 
  3529.0141818  0.5243242  0.0760078 
  3532.5421652  0.4889046  0.0758989 
  3536.0816698  0.4995803  0.0765325 
   3539.609653  0.4779229  0.0773354 
  3543.1488833  0.4894889   0.077563 
  3546.6996348  0.5254923  0.0777454 
  3550.2388652  0.5249496   0.077756 
  3553.7896167  0.5194414  0.0780218 
  3557.3513409  0.5141985  0.0767919 
  3560.9018182  0.5170461  0.0762742 
  3564.4638167  0.5621185  0.0753801 
  3568.0367879  0.5845792  0.0734386 
  3571.5985121  0.6166762  0.0723431 
  3575.1714833  0.6215711  0.0711582 
  3578.7447289  0.6388453  0.0703057 
   3582.328947  0.6695504  0.0689693 
  3585.9131652  0.6782392  0.0681421 
  3589.4973833  0.6898744  0.0676751 
  3593.0818758   0.689633  0.0667251 
  3596.6773409  0.7219321    0.06671 
  3600.2728061  0.7127095   0.066779 
  3603.8795182  0.7265686  0.0662773 
  3607.4749833  0.7273656  0.0666336 
  3611.0819698  0.7275845  0.0667614 
  3614.6999289   0.730355  0.0670602 
  3618.3066409  0.7320854  0.0678312 
   3621.935847  0.7215252  0.0680692 
  3625.5538061  0.7714884  0.0682814 
  3629.1830121   0.770818  0.0688174 
  3632.8122182  0.7537947  0.0688262 
  3636.4414242  0.7292061  0.0685795 
  3640.0818772  0.7204306  0.0682063 
  3643.7223302   0.721153   0.068094 
