       MJD   Upper    Mean   Lower  Cenwave  Zeropoint  Filter 
 55402.951    99.0    99.0    99.0  4671.78     3631.0       g 
 55402.951    99.0    99.0    99.0  6141.12     3631.0       r 
 55402.951    99.0    99.0    99.0  7457.89     3631.0       i 
 55405.209    99.0    99.0    99.0  4671.78     3631.0       g 
 55405.209    99.0    99.0    99.0  6141.12     3631.0       r 
 55405.209    99.0    99.0    99.0  7457.89     3631.0       i 
 55407.467    99.0    99.0    99.0  4671.78     3631.0       g 
 55407.467    99.0    99.0    99.0  6141.12     3631.0       r 
 55407.467    99.0    99.0    99.0  7457.89     3631.0       i 
 55409.725    99.0    99.0    99.0  4671.78     3631.0       g 
 55409.725    99.0    99.0    99.0  6141.12     3631.0       r 
 55409.725    99.0    99.0    99.0  7457.89     3631.0       i 
 55411.984    99.0    99.0    99.0  4671.78     3631.0       g 
 55411.984    99.0    99.0    99.0  6141.12     3631.0       r 
 55411.984    99.0    99.0    99.0  7457.89     3631.0       i 
 55414.242    99.0    99.0    99.0  4671.78     3631.0       g 
 55414.242    99.0    99.0    99.0  6141.12     3631.0       r 
 55414.242    99.0    99.0    99.0  7457.89     3631.0       i 
   55416.5    99.0    99.0    99.0  4671.78     3631.0       g 
   55416.5    99.0    99.0    99.0  6141.12     3631.0       r 
   55416.5    99.0    99.0    99.0  7457.89     3631.0       i 
 55418.758    99.0    99.0    99.0  4671.78     3631.0       g 
 55418.758    99.0    99.0    99.0  6141.12     3631.0       r 
 55418.758    99.0    99.0    99.0  7457.89     3631.0       i 
 55421.016    99.0    99.0  24.377  4671.78     3631.0       g 
 55421.016    99.0    99.0  24.682  6141.12     3631.0       r 
 55421.016    99.0    99.0   24.88  7457.89     3631.0       i 
 55423.274    99.0   27.48  22.488  4671.78     3631.0       g 
 55423.274    99.0  27.642  22.788  6141.12     3631.0       r 
 55423.274    99.0  27.748  22.967  7457.89     3631.0       i 
 55425.533    99.0  22.622  21.484  4671.78     3631.0       g 
 55425.533    99.0  22.912  21.751  6141.12     3631.0       r 
 55425.533    99.0  23.065  21.983  7457.89     3631.0       i 
 55427.791   23.23  21.493  20.976  4671.78     3631.0       g 
 55427.791  23.419  21.757  21.227  6141.12     3631.0       r 
 55427.791  23.528  21.907  21.425  7457.89     3631.0       i 
 55430.049  21.488  20.944  20.634  4671.78     3631.0       g 
 55430.049  21.703  21.132  20.844  6141.12     3631.0       r 
 55430.049  21.909  21.336  21.027  7457.89     3631.0       i 
 55432.307  20.888  20.593  20.365  4671.78     3631.0       g 
 55432.307  21.038  20.763   20.54  6141.12     3631.0       r 
 55432.307  21.196  20.944  20.699  7457.89     3631.0       i 
 55433.249  20.708   20.48  20.265  4671.78     3631.0       g 
 55433.249  20.858  20.647  20.448  6141.12     3631.0       r 
 55433.249  21.006  20.823  20.603  7457.89     3631.0       i 
 55434.565  20.517  20.335  20.158  4671.78     3631.0       g 
 55434.565   20.66  20.506  20.344  6141.12     3631.0       r 
 55434.565  20.819  20.657  20.485  7457.89     3631.0       i 
 55436.275  20.345  20.197  20.056  4671.78     3631.0       g 
 55436.275  20.464  20.348  20.219  6141.12     3631.0       r 
 55436.275  20.621  20.481  20.338  7457.89     3631.0       i 
 55436.319  20.341  20.194  20.053  4671.78     3631.0       g 
 55436.319   20.46  20.344  20.217  6141.12     3631.0       r 
 55436.319  20.617  20.478  20.335  7457.89     3631.0       i 
 55436.824  20.292  20.152  20.024  4671.78     3631.0       g 
 55436.824  20.415  20.303  20.185  6141.12     3631.0       r 
 55436.824  20.571  20.439  20.303  7457.89     3631.0       i 
 55439.082   20.13  20.024  19.906  4671.78     3631.0       g 
 55439.082  20.237  20.148  20.068  6141.12     3631.0       r 
 55439.082  20.392  20.275  20.165  7457.89     3631.0       i 
  55441.34  20.014  19.931  19.831  4671.78     3631.0       g 
  55441.34  20.118  20.029  19.976  6141.12     3631.0       r 
  55441.34  20.255  20.148  20.065  7457.89     3631.0       i 
 55443.598  19.947  19.867  19.789  4671.78     3631.0       g 
 55443.598  20.022   19.95  19.903  6141.12     3631.0       r 
 55443.598  20.148  20.055  19.978  7457.89     3631.0       i 
 55444.149  19.934  19.858  19.776  4671.78     3631.0       g 
 55444.149  20.003  19.936  19.889  6141.12     3631.0       r 
 55444.149   20.13   20.04  19.964  7457.89     3631.0       i 
 55444.196  19.933  19.857  19.775  4671.78     3631.0       g 
 55444.196  20.001  19.935  19.888  6141.12     3631.0       r 
 55444.196  20.129  20.038  19.962  7457.89     3631.0       i 
 55445.856  19.902  19.833  19.762  4671.78     3631.0       g 
 55445.856  19.951  19.896  19.858  6141.12     3631.0       r 
 55445.856   20.08  19.996  19.919  7457.89     3631.0       i 
 55447.135   19.89  19.824  19.758  4671.78     3631.0       g 
 55447.135  19.922  19.876  19.836  6141.12     3631.0       r 
 55447.135  20.045   19.97  19.897  7457.89     3631.0       i 
 55447.136   19.89  19.824  19.758  4671.78     3631.0       g 
 55447.136  19.922  19.876  19.836  6141.12     3631.0       r 
 55447.136  20.045   19.97  19.897  7457.89     3631.0       i 
 55448.114  19.884  19.821  19.756  4671.78     3631.0       g 
 55448.114  19.906  19.864  19.825  6141.12     3631.0       r 
 55448.114  20.026  19.952  19.882  7457.89     3631.0       i 
   55448.9  19.886  19.822  19.759  4671.78     3631.0       g 
   55448.9  19.896  19.855   19.82  6141.12     3631.0       r 
   55448.9  20.012  19.941  19.873  7457.89     3631.0       i 
 55450.373  19.884  19.846  19.814  6141.12     3631.0       r 
 55450.373  19.891  19.828  19.771  4671.78     3631.0       g 
 55450.373   19.99  19.917  19.856  7457.89     3631.0       i 
   55450.9  19.881  19.846  19.813  6141.12     3631.0       r 
   55450.9  19.893  19.833  19.777  4671.78     3631.0       g 
   55450.9  19.985  19.912  19.849  7457.89     3631.0       i 
 55452.631  19.879  19.849  19.811  6141.12     3631.0       r 
 55452.631  19.911  19.855  19.803  4671.78     3631.0       g 
 55452.631   19.97  19.903  19.839  7457.89     3631.0       i 
 55453.149  19.881  19.852  19.812  6141.12     3631.0       r 
 55453.149  19.919  19.864  19.813  4671.78     3631.0       g 
 55453.149  19.969  19.902  19.838  7457.89     3631.0       i 
 55453.193  19.881  19.852  19.811  6141.12     3631.0       r 
 55453.193  19.919  19.864  19.814  4671.78     3631.0       g 
 55453.193  19.968  19.902  19.838  7457.89     3631.0       i 
 55454.889  19.896  19.864  19.821  6141.12     3631.0       r 
 55454.889  19.952  19.897  19.842  4671.78     3631.0       g 
 55454.889  19.969  19.903  19.844  7457.89     3631.0       i 
 55457.136  19.934   19.89  19.844  6141.12     3631.0       r 
 55457.136  19.982  19.914  19.853  7457.89     3631.0       i 
