# STATUS =
# OBJECT = PTF10vqv
# TELESCOPE = P200
# INSTRUMENT = DBSP
# DATE-OBS = 2010-10-17 00:00:00.00
# MJD = 55486.0
# EXPTIME = 0
# AIRMASS = --
# SLIT = 0
# DISPERSER = --
# SOURCE = 2018ApJ...855....2Q
# FILTER =
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = --
# PHOTOMETRY_CALIBRATED =
# TELLURIC_CORRECTED =
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# QUALITY = --
# MIN_WAVE = 3172.7217393
# MAX_WAVE = 9291.5075215
# COMMENT = Spectrum is the smoothed version. For the unbinned versions check the related files - clipped or raw.  [Data obtained from:R. Quimby] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]
   Wavelength        Flux      Error 
     3175.887  -0.2348005  0.1954601 
 3179.0667949  -0.2101147  0.1908738 
 3182.2465898  -0.1973827   0.186326 
 3185.4267393  -0.1119614  0.1806434 
 3188.6065342  -0.0774345  0.1769458 
 3191.8008632  -0.0382417  0.1747001 
 3194.9951924   0.0052951  0.1709712 
 3198.1898759   0.0175367  0.1672051 
 3201.3842051   0.0981792  0.1631379 
 3204.5930683   0.1182049   0.159433 
 3207.7873975    0.126554   0.154711 
 3210.9962607   0.1149186  0.1516691 
 3214.2051241   0.1431533  0.1492898 
 3217.4288759   0.1290441  0.1467648 
 3220.6377393    0.154896  0.1442593 
 3223.8611368   0.2163453  0.1418845 
 3227.0845342   0.2793929  0.1396086 
 3230.3079317   0.2863584  0.1367214 
 3233.5458632   0.3017749  0.1360935 
 3236.7837949     0.31495  0.1363294 
 3240.0217266   0.3355583  0.1343802 
 3243.2596581   0.3484942  0.1332009 
 3246.4975898   0.3960972  0.1304821 
 3249.7504102   0.3754385  0.1280935 
 3253.0028759    0.344773  0.1253761 
 3256.2553419   0.3268828  0.1225703 
 3259.5078076    0.337083  0.1194921 
 3262.7602734   0.3585475  0.1166174 
 3266.0272734   0.3111596  0.1132237 
 3269.2942734   0.3202245   0.110825 
 3272.5612734   0.3014629  0.1087447 
 3275.8428076   0.2975046  0.1089638 
 3279.1098076   0.2676615  0.1080801 
 3282.3913419    0.229787  0.1033606 
 3285.6728759   0.2373622  0.1014001 
 3288.9544102   0.2180371  0.0998862 
 3292.2501241   0.1995117  0.0984279 
 3295.5461924   0.1806421  0.0967381 
 3298.8422607   0.1640322  0.0954239 
 3302.1383291   0.1517619  0.0941877 
 3305.4343975   0.1127904  0.0930853 
     3308.745    0.144517  0.0917843 
 3312.0556025   0.1626233  0.0897796 
 3315.3662051    0.159692  0.0884403 
 3318.6768076   0.1530956  0.0872953 
 3322.0015898   0.1752745   0.086154 
 3325.3267266   0.1810757  0.0847412 
 3328.6518632   0.1818108  0.0835857 
     3331.977   0.2003988  0.0823565 
 3335.3021368   0.2045603  0.0811344 
 3338.6418076    0.227484  0.0795452 
 3341.9811241   0.2018028  0.0784794 
 3345.3207949   0.1822537  0.0776249 
     3348.675   0.2051818  0.0767911 
 3352.0146709   0.2006371  0.0761673 
 3355.3688759   0.2182227  0.0754466 
 3358.7227266   0.2181907  0.0746426 
 3362.0914658   0.2247321   0.073453 
 3365.4456709   0.2134639  0.0724131 
 3368.8144102   0.2078916  0.0714802 
 3372.1827949   0.2066233  0.0705478 
 3375.5515342   0.1908783  0.0694227 
 3378.9348076   0.1917928  0.0686015 
 3382.3031924   0.2144158  0.0677649 
 3385.6864658    0.191052  0.0667386 
 3389.0842734   0.1885887  0.0659441 
 3392.4671924    0.179208  0.0652034 
     3395.865   0.1681488  0.0643251 
 3399.2482734   0.1730299  0.0636682 
 3402.6602607   0.1886771  0.0632062 
 3406.0580683   0.1985959  0.0628317 
 3409.4704102   0.2102641  0.0623617 
 3412.8678632   0.2178699  0.0618718 
 3416.2802051   0.2356022  0.0614999 
 3419.7067266   0.2484503  0.0610318 
 3423.1190683    0.263262  0.0606103 
 3426.5455898   0.2885344  0.0600373 
 3429.9724658   0.3141236  0.0592103 
 3433.3993419   0.3102398  0.0584304 
 3436.8403975   0.3320162  0.0575995 
 3440.2672734   0.3437585  0.0564906 
 3443.7083291   0.3649983  0.0556495 
 3447.1642734   0.3771248  0.0548236 
 3450.6053291   0.3771015  0.0537726 
 3454.0612734   0.3793528  0.0531006 
 3457.5023291   0.3818527  0.0523204 
 3460.9728076    0.384912  0.0517327 
 3464.4283975   0.3792039  0.0511874 
 3467.8988759   0.4019877  0.0504689 
     3471.369   0.4094666  0.0499705 
 3474.8391241   0.4115672  0.0495288 
 3478.3096025   0.4235219  0.0493201 
 3481.7942607   0.4330922  0.0494263 
 3485.2647393   0.4470003  0.0714417 
 3488.7493975   0.4576144  0.0702317 
 3492.2485898   0.4705324  0.0689931 
 3495.7336025   0.5146316  0.0675816 
 3499.2327949   0.4919858  0.0657003 
 3502.7323419   0.5105194  0.0646179 
 3506.2315342   0.5178239  0.0635328 
 3509.7452607   0.5408111  0.0621702 
 3513.2448076   0.5335327  0.0614543 
 3516.7585342   0.5285617  0.0610991 
 3520.2867949   0.5195004  0.0605602 
 3523.8008759   0.4953422  0.0603609 
 3527.3291368   0.5138844  0.0601202 
 3530.8573975   0.5039467  0.0596359 
 3534.3856581   0.5041543  0.0596431 
 3537.9142734   0.5053263  0.0592102 
 3541.4570683    0.497029  0.0591247 
