# STATUS =
# OBJECT = PTF10vqv
# TELESCOPE = Keck1
# INSTRUMENT = LRIS
# DATE-OBS = 2013-10-06 13:00:07.00
# MJD = 56571.54174769996
# EXPTIME = 1800
# AIRMASS = 1.073
# SLIT = 0
# DISPERSER = 400/8500
# SOURCE = 2016ApJ...830...13P
# FILTER =
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = --
# PHOTOMETRY_CALIBRATED =
# TELLURIC_CORRECTED =
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# QUALITY = --
# MIN_WAVE = 3114.7119
# MAX_WAVE = 10245.3896
# COMMENT = host spectrum [Data obtained from:Perley, D.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]
 Wavelength          Flux        Error 
  3115.2771   1.85098e-16  2.25419e-16 
   3115.842   6.96359e-17  3.44458e-16 
  3116.4072    -1.155e-16  3.83294e-16 
  3116.9724   8.02114e-17  3.74495e-16 
  3117.5374  -2.58517e-17  4.65479e-16 
  3118.1025    3.3291e-17  3.17913e-16 
  3118.6677   2.38761e-17  3.27257e-16 
  3119.2329  -3.03875e-17  4.00482e-16 
  3119.7983  -8.40958e-17  3.78519e-16 
  3120.3635   1.19356e-16  3.15587e-16 
   3120.929   7.66378e-17  2.58744e-16 
  3121.4941   -3.2573e-17  3.78593e-16 
  3122.0596   7.53753e-17  3.69576e-16 
   3122.625   5.33373e-17  3.40452e-16 
  3123.1904   -4.2175e-18  3.59622e-16 
  3123.7561  -9.42555e-17  3.54042e-16 
  3124.3215  -2.91219e-17  3.96275e-16 
  3124.8872   2.74276e-17  2.56222e-16 
  3125.4526   4.03248e-18  3.47733e-16 
  3126.0183    5.2215e-17  4.04345e-16 
   3126.584   1.66752e-17  4.07449e-16 
  3127.1497   -4.0065e-17  3.76837e-16 
  3127.7153   1.61703e-16  2.70536e-16 
   3128.281   5.51109e-17  1.08477e-16 
  3128.8469  -8.44851e-17  4.30366e-16 
  3129.4126  -2.57003e-17  3.50905e-16 
  3129.9785   1.70641e-17  3.74489e-16 
  3130.5444  -5.27448e-18  3.62422e-16 
  3131.1104  -1.33605e-16  4.60221e-16 
  3131.6763   1.95577e-17   2.6785e-16 
  3132.2422   5.25823e-17  3.10018e-16 
  3132.8083   7.37934e-17    2.688e-16 
  3133.3743   6.52747e-17  3.57618e-16 
  3133.9404  -1.32476e-17  3.51063e-16 
  3134.5066  -2.03278e-17  1.99808e-16 
  3135.0728  -6.53091e-17  3.46766e-16 
  3135.6389   6.44371e-17  3.52255e-16 
  3136.2051  -2.67313e-17  4.33864e-16 
  3136.7712  -7.41508e-18  2.82667e-16 
  3137.3376  -1.34494e-16  4.71738e-16 
  3137.9038  -1.02231e-17  5.18583e-16 
  3138.4702  -1.24459e-18  5.09983e-16 
  3139.0366   6.22111e-18   4.5506e-16 
   3139.603   6.73481e-17  4.47766e-16 
  3140.1694   7.98587e-17  5.04278e-16 
  3140.7361   9.86743e-18  4.95353e-16 
  3141.3025   1.90938e-17  3.98025e-16 
  3141.8689   1.38118e-16  3.57656e-16 
  3142.4355   3.39395e-17  3.81227e-16 
  3143.0022   9.11829e-17  3.94376e-16 
  3143.5688  -3.70296e-17   5.6109e-16 
  3144.1355   1.24632e-17  3.41672e-16 
