 texplosion  fnickel    Pspin  log(Bfield)      Mns  thetaPB   mejecta    kappa  kappagamma     vejecta  temperature    alpha  cutoff_wavelength  log(nhhost)      A_V         MJD0   kenergy   mnickel             TSD   log(L0)  Peak_mag     Peak_MJD  log(E_rad)  log(Peak_lum)  Rise_Time    E_fold  tau_1  delta_m15     r_peak     frac 
   -7.20105   0.0349  2.22569     13.69728  1.94756  0.60648   8.60591   0.1905     0.01673  7498.75449   8277.42843  0.26049         2391.41734     20.92698  0.46958  56018.12695    2.8867   0.30037   3611444.16232  45.30573  16.83186     56107.44    51.52642        44.5879   59.43725   64.1407   65.0     0.0823  -22.01558  0.99286 
   -6.15836  0.13085  2.00373      13.5303  1.58358  0.94536   11.5391  0.11371     0.02088  7728.99647    8274.9203  0.03318          3624.9434     20.96137  0.50828  56019.16964   4.11193   1.50987   5134886.82668  45.15428  16.81448     56106.06     51.5188       44.56953   57.75749  67.39513   67.0    0.08275  -22.03823  0.96274 
   -6.56386  0.01312  1.85074     13.72224  1.68427  0.50757  14.13434  0.08739     0.01048  6791.28129   8387.56319  0.36739           3368.315     21.06216  0.64104  56018.76414   3.88871   0.18545   1925034.22882  45.67613  16.80787     56107.44     51.7628       44.84729   45.61205  65.12237   71.5     0.0826  -22.11779   0.9963 
   -6.05774  0.00659  1.83518     13.51995  1.65105  0.48872   7.10118   0.2145     0.01345  7975.92008   7495.57502  1.24446           2057.946     20.83676  0.38149  56019.27026   2.69476   0.04678   4710142.03234  45.28621  16.85111    56103.211    51.63589       44.73481   54.13155  59.32358   68.0    0.09209  -21.96054  0.99896 
   -6.93349  0.01655  1.76882     14.10793  2.01414  0.15583    8.8159  0.17189     0.01005  7374.69349   9153.90031   0.6484         2188.43577     21.06153  0.64012  56018.39451   2.86011    0.1459    355967.69563  46.52616   16.8122     56107.44    51.61378       44.68001   57.76381   64.6681   64.5    0.08343  -22.20886  0.99784 
   -5.71748  0.05923  1.91968      13.9313   1.9966  0.44084  15.02687  0.09958     0.01781  7557.10467   9594.53853  0.25719         2638.20534     21.13288  0.75441  56019.61052   5.11925   0.89006    937483.67694  46.03071  16.79749  56103.75509    51.53065        44.5987   57.14461  63.71263   62.5    0.07464  -22.27898  0.98564 
   -6.63182  0.13857  2.04316     13.41307  1.47417  1.06022   9.11839  0.17028     0.01741   7433.9721   7668.35024  0.64445         2705.06802      20.7868  0.34004  56018.69618   3.00599   1.26351   8527717.13035  44.88596  16.92063    56098.293    51.74565       44.85119   45.08825   61.0194   68.0    0.08749  -21.92115   0.9631 
    -7.0394  0.05143  1.68907     13.51226   1.5555  0.51286   9.08696   0.1641     0.01412  8092.05696   8440.03106  0.11628         3381.36605     20.99635  0.55091   56018.2886   3.54947    0.4673   3894593.17676  45.41496     16.91  56100.74244    51.91137       45.06194   35.14425  54.63915   64.0    0.08987  -22.15525  0.99082 
    -6.4928  0.02019  1.71867     13.44429   1.5765  0.66525   6.84929  0.24413     0.01543  7291.35398   8260.22653   0.4165         3380.67477     20.97108  0.51977   56018.8352   2.17215   0.13829   5588845.18348  45.24883  16.80083    56103.228    51.60489        44.6921   54.91002  59.35976   68.0    0.08794  -22.10796  0.99725 
   -6.45973  0.01285  2.08634     13.37876   1.7634  1.10724  11.08561  0.14641      0.0113  7773.13992   8049.70234  0.70699         2629.28883     20.86612  0.40818  56018.86827   3.99558   0.14244  12457318.06315    44.781  16.82635  56100.74244    51.37801       44.43284   57.76381  65.81775   66.0    0.09223  -21.98769  0.99643 
