# STATUS =
# OBJECT = PTF12dam
# TELESCOPE = WHT-4.2m
# INSTRUMENT = ISIS
# DATE-OBS = 2012-05-25 00:00:00.00
# MJD = 56072.00
# EXPTIME = 0
# AIRMASS =
# SLIT = 0
# DISPERSER =
# SOURCE =
# FILTER =
# RESOLUTION =
# FLUX_STANDARD = True
# EXTINCTION_CORRECTED = True
# PHOTOMETRY_CALIBRATED = True
# TELLURIC_CORRECTED = True
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# COMMENT =
    Wavelength       Flux
3000.000000 nan
3010.000000 nan
3020.000000 nan
3030.000000 nan
3040.000000 nan
3050.000000 nan
3060.000000 nan
3070.000000 nan
3080.000000 nan
3090.000000 nan
3100.000000 nan
3110.000000 nan
3120.000000 nan
3130.000000 nan
3140.000000 nan
3150.000000 nan
3160.000000 nan
3170.000000 2.711333e+00
3180.000000 2.678858e+00
3190.000000 2.654871e+00
3200.000000 2.654409e+00
3210.000000 2.653602e+00
3220.000000 2.640980e+00
3230.000000 2.617251e+00
3240.000000 2.598167e+00
3250.000000 2.596785e+00
3260.000000 2.617481e+00
3270.000000 2.643793e+00
3280.000000 2.676117e+00
3290.000000 2.719505e+00
3300.000000 2.761575e+00
3310.000000 2.793735e+00
3320.000000 2.808922e+00
3330.000000 2.806954e+00
3340.000000 2.783255e+00
3350.000000 2.732939e+00
3360.000000 2.653546e+00
3370.000000 2.574538e+00
3380.000000 2.531927e+00
3390.000000 2.532517e+00
3400.000000 2.555606e+00
3410.000000 2.565625e+00
3420.000000 2.530506e+00
3430.000000 2.448540e+00
3440.000000 2.341970e+00
3450.000000 2.242866e+00
3460.000000 2.173610e+00
3470.000000 2.147772e+00
3480.000000 2.151429e+00
3490.000000 2.163579e+00
3500.000000 2.184864e+00
3510.000000 2.228207e+00
3520.000000 2.279765e+00
3530.000000 2.318329e+00
3540.000000 2.342030e+00
3550.000000 2.341455e+00
3560.000000 2.319211e+00
3570.000000 2.285828e+00
3580.000000 2.235910e+00
3590.000000 2.179889e+00
3600.000000 2.144886e+00
3610.000000 2.139682e+00
3620.000000 2.154212e+00
3630.000000 2.175978e+00
3640.000000 2.201376e+00
3650.000000 2.231984e+00
3660.000000 2.263586e+00
3670.000000 2.285342e+00
3680.000000 2.292767e+00
3690.000000 2.288840e+00
3700.000000 2.270286e+00
3710.000000 2.236648e+00
3720.000000 2.193536e+00
3730.000000 2.139820e+00
3740.000000 2.091010e+00
3750.000000 2.059379e+00
3760.000000 2.046179e+00
3770.000000 2.025511e+00
3780.000000 2.004067e+00
3790.000000 1.973277e+00
3800.000000 1.942428e+00
3810.000000 1.920436e+00
3820.000000 1.913022e+00
3830.000000 1.916696e+00
3840.000000 1.926306e+00
3850.000000 1.937527e+00
3860.000000 1.946459e+00
3870.000000 1.955361e+00
3880.000000 1.966252e+00
3890.000000 1.978795e+00
3900.000000 1.980376e+00
3910.000000 1.968154e+00
3920.000000 1.941662e+00
3930.000000 1.906283e+00
3940.000000 1.863209e+00
3950.000000 1.822274e+00
3960.000000 1.782825e+00
3970.000000 1.744342e+00
3980.000000 1.706150e+00
3990.000000 1.674896e+00
4000.000000 1.647008e+00
4010.000000 1.620986e+00
4020.000000 1.599576e+00
4030.000000 1.597075e+00
4040.000000 1.608210e+00
4050.000000 1.627834e+00
4060.000000 1.648197e+00
4070.000000 1.657953e+00
4080.000000 1.654345e+00
4090.000000 1.639698e+00
4100.000000 1.626670e+00
4110.000000 1.622857e+00
4120.000000 1.632164e+00
4130.000000 1.638085e+00
4140.000000 1.627214e+00
4150.000000 1.591972e+00
4160.000000 1.534066e+00
4170.000000 1.466335e+00
4180.000000 1.413966e+00
4190.000000 1.391470e+00
4200.000000 1.394617e+00
4210.000000 1.410091e+00
4220.000000 1.422655e+00
4230.000000 1.425292e+00
4240.000000 1.423487e+00
4250.000000 1.422295e+00
4260.000000 1.422651e+00
4270.000000 1.426876e+00
4280.000000 1.431981e+00
4290.000000 1.434994e+00
4300.000000 1.433765e+00
4310.000000 1.429821e+00
4320.000000 1.427143e+00
4330.000000 1.422953e+00
4340.000000 1.415893e+00
4350.000000 1.410877e+00
4360.000000 1.409308e+00
4370.000000 1.409326e+00
4380.000000 1.410111e+00
4390.000000 1.410871e+00
4400.000000 1.412313e+00
4410.000000 1.410787e+00
4420.000000 1.400618e+00
4430.000000 1.381321e+00
4440.000000 1.348625e+00
4450.000000 1.307040e+00
4460.000000 1.264244e+00
4470.000000 1.231057e+00
