# STATUS =
# OBJECT = PTF12dam
# TELESCOPE = Lick-3m
# INSTRUMENT = KAST
# DATE-OBS = 2012-05-20 00:00:00.00
# MJD = 56067.0
# EXPTIME = 0
# AIRMASS = --
# SLIT = 0.0
# DISPERSER = --
# SOURCE = 2018ApJ...855....2Q
# FILTER =
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = --
# PHOTOMETRY_CALIBRATED =
# TELLURIC_CORRECTED =
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# QUALITY = --
# MIN_WAVE = 3468.0364777
# MAX_WAVE = 5497.9733899
# COMMENT = Spectrum is the smoothed version. For the unbinned versions check the related files - clipped or raw.  [Data obtained from:R. Quimby] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]
   Wavelength       Flux      Error 
 3471.5030933  1.7327291  0.0183392 
 3474.9694385  1.7193754  0.0144648 
 3478.4471399  1.7081993   0.012874 
  3481.924571  1.6904784  0.0118876 
 3485.4133582  1.6822081  0.0113925 
 3488.8907891  1.6709629    0.01113 
 3492.3793061  1.6601011  0.0108452 
  3495.879179   1.640608  0.0106279 
  3499.367696  1.6122928  0.0102713 
 3502.8675689  1.6053545  0.0102346 
 3506.3782574  1.5869725  0.0100872 
 3509.8778601  1.5689915  0.0099419 
 3513.3888189  1.5530306  0.0098325 
 3516.9105933  1.5499437  0.0096059 
 3520.4212817  1.5459305  0.0096677 
 3523.9430561  1.5451976  0.0094823 
 3527.4651008  1.5483696  0.0095853 
 3530.9979609   1.538365  0.0094364 
  3534.530821  1.5361767  0.0095778 
 3538.0636811  1.5299907  0.0094609 
 3541.5968115  1.5218241  0.0094918 
 3545.1407574  1.5158366  0.0095485 
 3548.6847034  1.5228789  0.0096027 
 3552.2397351   1.525085  0.0096918 
 3555.7836811  1.5422286  0.0097665 
 3559.3389832  1.5594429  0.0098835 
 3562.9051008  1.5571487  0.0099759 
 3566.4601324  1.5506575  0.0101164 
 3570.0373359  1.5487189  0.0102234 
 3573.6034534  1.5431418  0.0103828 
 3577.1806567  1.5300705  0.0105015 
 3580.7578601  1.5086373  0.0106754 
 3584.3350635  1.4856915   0.010803 
 3587.9233527   1.477133  0.0109865 
 3591.5116418  1.4787053  0.0111201 
 3595.0999311  1.4610329  0.0113088 
 3598.6993061  1.4674155  0.0114454 
 3602.2986811  1.4965307  0.0116344 
 3605.8980561  1.5159227  0.0117713 
 3609.4974311  1.5196387  0.0119559 
 3613.1078918  1.5228788  0.0120902 
 3616.7294385  1.5217606  0.0122658 
 3620.3398992  1.5280617  0.0122408 
  3623.961446  1.5208775  0.0125563 
 3627.5829926  1.5282836  0.0125126 
  3631.215625  1.5431879  0.0128202 
 3634.8482574  1.5368961  0.0127539 
 3638.4808899  1.5392293  0.0130497 
 3642.1246082  1.5501643  0.0129572 
 3645.7569702  1.5670692  0.0130692 
 3649.4117742   1.576564  0.0131153 
 3653.0554926  1.5826074  0.0131944 
 3656.7102966  1.5824578  0.0134262 
 3660.3651008  1.5905755  0.0132624 
 3664.0307202  1.5962583  0.0134682 
 3667.6966101  1.5787672  0.0132668 
    3671.3625  1.5761516  0.0132539 
 3675.0283899  1.5742126  0.0132045 
 3678.7050952  1.5785795  0.0131486 
  3682.382071   1.585326  0.0128958 
 3686.0701324  1.5846348  0.0129806 
 3689.7581939  1.5770154  0.0128729 
 3693.4459851  1.5788496  0.0127555 
 3697.1340466   1.569639  0.0126115 
 3700.8331939  1.5522842  0.0122954 
  3704.532071  1.5420951  0.0123022 
  3708.242304  1.5270973  0.0121175 
 3711.9522668   1.518301  0.0117691 
    3715.6625  1.5091662  0.0117381 
 3719.3727332  1.4934305  0.0115195 
 3723.0937817  1.4711037  0.0111481 
 3726.8151008  1.4692283  0.0110841 
 3730.5472351  1.4677939  0.0107127 
 3734.2796399  1.4506286  0.0104534 
 3738.0117742  1.4398742  0.0103616 
 3741.7552649  1.4400753  0.0099816 
 3745.4984851  1.4463487  0.0097061 
 3749.2419758  1.4512682  0.0095919 
  3752.985196  1.4655483  0.0092119 
 3756.7397723   1.475168  0.0089275 
 3760.4940784  1.4974694   0.008797 
 3764.2594702  1.5143532  0.0084249 
 3768.0251324  1.5109622  0.0081391 
 3771.7905242  1.5130877  0.0079987 
 3775.5672723  1.5116649  0.0076422 
 3779.3326641  1.5103011  0.0073599 
 3783.1202277   1.510069    0.00709 
 3786.8969758  1.5171466  0.0068853 
 3790.6845391   1.516416  0.0066196 
 3794.4831885  1.5058146  0.0063633 
 3798.2710223   1.490628   0.006176 
 3802.0696716  1.4681146  0.0059318 
  3805.868321  1.4525917  0.0056996 
 3809.6780561  1.4343523  0.0054288 
 3813.4880615   1.419136  0.0056514 
 3817.3088824  1.4093893  0.0051777 
 3821.1186176  1.3977029  0.0051635 
 3824.9394385  1.3808771  0.0052643 
 3828.7713452  1.3600819  0.0054608 
 3832.5924365  1.3364086  0.0052725 
 3836.4243433  1.3207823  0.0048442 
 3840.2673359  1.3164608   0.004452 
 3844.1103284  1.3153417  0.0041821 
  3847.953321  1.3231819  0.0045042 
 3851.7963135  1.3309031  0.0041287 
 3855.6503918   1.337431  0.0041823 
 3859.5044702  1.3456331  0.0040032 
 3863.3699048  1.3551226  0.0041156 
 3867.2350689  1.3628256  0.0043156 
 3871.1002332  1.3679078  0.0046124 
 3874.9653973  1.3774465  0.0048276 
 3878.8416473  1.3857217   0.004769 
 3882.7178973  1.3985192  0.0046427 
 3886.6052332  1.4001004  0.0044251 
 3890.4925689  1.4039932  0.0046056 
 3894.3799048  1.4034097  0.0047791 
 3898.2780561  1.3974701  0.0047474 
 3902.1764777  1.3857464  0.0048274 
 3906.0748992  1.3741058  0.0050461 
 3909.9844067  1.3647771  0.0052402 
 3913.8939141  1.3602372  0.0054482 
 3917.8145074  1.3606946  0.0056694 
 3921.7240149  1.3506857  0.0057917 
 3925.6446082  1.3551672  0.0060288 
 3929.5760168  1.3564591  0.0062768 
  3933.507696   1.351831  0.0065859 
  3937.439375  1.3377963  0.0068565 
  3941.371054  1.3257012  0.0071364 
 3945.3138189  1.3154618  0.0072875 
 3949.2563135  1.3103024  0.0075746 
 3953.2101641  1.2887007  0.0078687 
 3957.1640149  1.2638936   0.008169 
 3961.1286811  1.2497042  0.0084749 
 3965.0825317  1.2421769  0.0088586 
 3969.0474683  1.2313579  0.0091772 
 3973.0232202  1.2238324  0.0093341 
 3976.9881567  1.2099235  0.0096504 
  3980.964179  1.2060133  0.0099688 
 3984.9510168  1.1953971  0.0102886 
  3988.938125  1.1818682  0.0106089 
 3992.9252332  1.1715128  0.0109292 
 3996.9231567  1.1695815  0.0112487 
 4000.9102649  1.1642605  0.0115668 
 4004.9192742  1.1673093  0.0116847 
 4008.9174683  1.1785672  0.0119938 
 4012.9264777  1.1885544  0.0122995 
 4016.9468433  1.1983994  0.0127257 
 4020.9558527  1.2041938  0.0130233 
 4024.9762183  1.2147964  0.0133152 
 4029.0073992  1.2162967  0.0136008 
 4033.0388508  1.2202154  0.0138794 
 4037.0700317  1.2228988  0.0141503 
 4041.1125689  1.2259722  0.0144128 
   4045.14375  1.2300479  0.0146664 
 4049.1971027  1.2362798  0.0149109 
 4053.2396399  1.2383304  0.0149156 
 4057.2929926  1.2504355  0.0151394 
 4061.3574311  1.2591106  0.0153538 
  4065.411054  1.2636842  0.0155587 
 4069.4865784  1.2696557  0.0157539 
 4073.5510168  1.2742541  0.0159394 
 4077.6268115  1.2699858  0.0161154 
 4081.7023359  1.2570202  0.0162815 
  4085.788946  1.2482613  0.0164379 
 4089.8644702  1.2341713  0.0165845 
 4093.9624365  1.2312602  0.0167212 
 4098.0490466  1.2289997  0.0168479 
 4102.1578284  1.2320668  0.0171896 
 4106.2555242  1.2410548  0.0185047 
 4110.3643061  1.2546198  0.0173676 
 4114.4733582  1.2657152  0.0182563 
 4118.5821399  1.2640232  0.0196591 
 4122.7020074  1.2635258  0.0208554 
 4126.8329609  1.2597805  0.0204664 
 4130.9528284  1.2494925  0.0194355 
 4135.0837817  1.2415553  0.0182337 
  4139.225821   1.237378  0.0175455 
 4143.3567742  1.2355944  0.0189221 
 4147.5098992  1.2258301  0.0176145 
 4151.6519385  1.2272466  0.0173761 
 4155.8050635  1.2044518  0.0173608 
 4159.9581885  1.1947496  0.0173355 
 4164.1223992  1.1799245  0.0173002 
 4168.2866101  1.1601931  0.0172548 
  4172.450821  1.1389683  0.0173989 
 4176.6261176  1.1283261  0.0173268 
 4180.8014141  1.1188755  0.0170311 
 4184.9877966  1.1097136  0.0169383 
 4189.1630933  1.1175038  0.0168353 
 4193.3605615  1.1180068  0.0167221 
 4197.5469439   1.118034  0.0165988 
 4201.7441418  1.1142951  0.0164653 
  4205.952696  1.1052296  0.0163218 
   4210.16125  1.0868793  0.0161681 
  4214.369804  1.0704762  0.0157824 
 4218.5783582   1.050571  0.0156033 
 4222.7977277  1.0374526  0.0155876 
 4227.0284534  1.0274248  0.0153848 
 4231.2480933  1.0307455  0.0151722 
 4235.4788189  1.0347972  0.0149503 
