# STATUS =
# OBJECT = PTF12dam
# TELESCOPE = Lick-3m
# INSTRUMENT = KAST
# DATE-OBS = 2012-05-21 10:13:26.00
# MJD = 56068.425995400175
# EXPTIME = --
# AIRMASS = --
# SLIT = --
# DISPERSER = --
# SOURCE = 2019MNRAS.482.1545S
# FILTER =
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = --
# PHOTOMETRY_CALIBRATED =
# TELLURIC_CORRECTED =
# FLUX_UNITS = erg cm(-2) sec(-1) Ang(-1)
# WAVE_UNITS = Angstrom
# QUALITY = --
# MIN_WAVE = 3448.0
# MAX_WAVE = 10240.0
# COMMENT = SNR: 19.7772;
 Wavelength          Flux       Error 
     3450.0       1.02073    0.094559 
     3452.0      0.992149   0.0954986 
     3454.0      0.961528   0.0951159 
     3456.0      0.895446   0.0965586 
     3458.0      0.999105   0.0968985 
     3460.0      0.973326   0.0974499 
     3462.0      0.971327   0.0975352 
     3464.0      0.931701    0.098447 
     3466.0        0.9329   0.0988333 
     3468.0      0.899181    0.100113 
     3470.0      0.919697    0.099184 
     3472.0      0.928882   0.0981302 
     3474.0      0.928645   0.0992227 
     3476.0      0.956636   0.0994273 
     3478.0      0.918849   0.0989449 
     3480.0      0.890306    0.100287 
     3482.0      0.930558    0.100705 
     3484.0      0.892465    0.101492 
     3486.0      0.950825    0.100626 
     3488.0       0.90606    0.100074 
     3490.0      0.845708   0.0991918 
     3492.0      0.822308   0.0997727 
     3494.0      0.888118   0.0992972 
     3496.0      0.900426   0.0992572 
     3498.0      0.885611     0.09867 
     3500.0      0.737271   0.0985456 
     3502.0       0.89641   0.0984763 
     3504.0      0.899277   0.0982389 
     3506.0      0.859747   0.0979694 
     3508.0      0.833975   0.0985764 
     3510.0      0.872941   0.0994026 
     3512.0      0.881734   0.0995349 
     3514.0      0.864626   0.0991482 
     3516.0      0.834183   0.0992262 
     3518.0      0.749593   0.0984853 
     3520.0      0.731055   0.0982839 
     3522.0      0.868799   0.0975492 
     3524.0       0.83275   0.0966719 
     3526.0       0.88782    0.096172 
     3528.0      0.872273   0.0966069 
     3530.0      0.873524   0.0963163 
     3532.0       0.77382   0.0954506 
     3534.0       0.87488   0.0939454 
     3536.0      0.917856   0.0953093 
     3538.0      0.876202   0.0948919 
     3540.0      0.773738   0.0943948 
     3542.0      0.842894   0.0940103 
     3544.0      0.938082   0.0936542 
     3546.0      0.887119     0.09332 
     3548.0      0.837458   0.0930706 
     3550.0      0.804003   0.0920572 
     3552.0      0.863315   0.0911405 
     3554.0      0.911528   0.0903835 
     3556.0      0.955136   0.0910686 
     3558.0      0.936826   0.0905694 
     3560.0      0.849734   0.0907366 
     3562.0      0.894268   0.0901637 
     3564.0      0.933979   0.0898377 
     3566.0      0.854967    0.088737 
     3568.0      0.779733   0.0895508 
     3570.0      0.884839   0.0894316 
     3572.0      0.747772   0.0898228 
     3574.0      0.764135   0.0890386 
     3576.0      0.779039   0.0896412 
     3578.0      0.880002   0.0897629 
     3580.0      0.856984   0.0885619 
     3582.0      0.851382   0.0875328 
     3584.0      0.825529   0.0874589 
     3586.0       0.75636   0.0875274 
     3588.0      0.729199   0.0873944 
     3590.0      0.813715   0.0873069 
     3592.0      0.820069   0.0867738 
     3594.0      0.869683   0.0851717 
     3596.0      0.839492   0.0850378 
     3598.0      0.870629   0.0852082 
     3600.0      0.854086   0.0843654 
     3602.0      0.860341   0.0834358 
     3604.0      0.842113   0.0839355 
     3606.0      0.829898     0.08226 
     3608.0      0.799621   0.0818698 
     3610.0      0.837278   0.0816062 
     3612.0      0.847132   0.0819137 
     3614.0      0.922552   0.0814762 
     3616.0      0.906625    0.080477 
     3618.0      0.818043   0.0800539 
     3620.0      0.782001   0.0791672 
     3622.0      0.902655   0.0785334 
     3624.0       0.81481   0.0784832 
     3626.0      0.859326    0.078108 
     3628.0      0.800882   0.0780667 
     3630.0      0.780239   0.0772605 
     3632.0      0.854229   0.0771204 
     3634.0      0.943484   0.0767429 
     3636.0      0.928104   0.0762172 
     3638.0      0.893644   0.0756188 
     3640.0       0.92294   0.0751476 
     3642.0      0.923865   0.0744983 
     3644.0      0.983747   0.0753603 
     3646.0      0.949163   0.0751706 
     3648.0      0.847531   0.0751966 
     3650.0      0.892875    0.074208 
     3652.0      0.928355   0.0729505 
     3654.0      0.917678       0.072 
     3656.0      0.908089   0.0729284 
     3658.0       0.86234   0.0716467 
     3660.0      0.967095   0.0719565 
     3662.0      0.862779   0.0718417 
     3664.0      0.929088   0.0714676 
     3666.0      0.936354   0.0709428 
     3668.0      0.794266    0.071316 
     3670.0        0.8998     0.07057 
     3672.0      0.880986    0.070556 
     3674.0      0.980974   0.0710544 
     3676.0      0.935186   0.0710899 
     3678.0      0.824744   0.0721315 
     3680.0      0.912827   0.0785735 
     3682.0      0.919478   0.0800483 
     3684.0      0.882091   0.0768014 
     3686.0      0.878106   0.0742415 
