 texplosion  fnickel    Pspin  log(Bfield)      Mns  thetaPB   mejecta    kappa  kappagamma      vejecta  temperature    alpha  cutoff_wavelength  log(nhhost)      A_V         MJD0  kenergy  mnickel             TSD   log(L0)  Peak_mag     Peak_MJD  log(E_rad)  log(Peak_lum)  Rise_Time    E_fold  tau_1  delta_m15     r_peak     frac 
  -10.52656  0.03129  3.12984     14.04232  1.67083  0.67957   4.29646  0.21008     0.05187    8570.6766   8103.28426  0.78413         3526.01264     19.26602  0.01025  56228.56944  1.88264  0.13444   1250691.44357  45.40358  19.19169    56289.061    51.18851        44.4174   34.39608   44.7149   48.5    0.16064  -21.59665  0.99255 
  -11.43774   0.0062  3.45532     14.10914  1.96631   0.5899   3.79736  0.26634     0.01944   8125.56127   3104.43409   1.3921         3162.54307     19.61722  0.02301  56227.65826   1.4956  0.02354   1318767.01805  45.36535  19.21426    56289.076    51.14059       44.39191   30.95647   44.7149   46.0    0.19833  -21.58776  0.99873 
   -9.64737  0.49945  3.86402     14.03078  1.86251  1.10196   8.52003  0.11256     0.21295   8827.86223   6485.54833   0.9229         3250.53368     18.26494  0.00102  56229.44863  3.96077  4.25529   2240990.83252  45.01442  19.19281      56287.9     51.1436       44.40376   39.55549  39.55549   76.0    0.14033  -21.57501   0.7651 
  -14.78925  0.45545  2.34653     13.66452  1.46766  0.43741   3.16427  0.23922     0.01829   8132.83082   9443.98054  1.94494         2652.11771     16.83568    4e-05  56224.30675  1.24849  1.44118   3517685.05456  45.14836  19.18791      56287.9    51.19196       44.39341   36.11588  48.15451   47.5    0.15455  -21.59697   0.9422 
  -13.19949  0.01148  3.01354      13.7646  1.57831  1.06269   8.71025  0.10924     0.01268   8578.23033   9994.40548  0.83562         3338.75894     19.01593  0.00576  56225.89651  3.82343  0.09997     3935117.166  44.91393  19.20687    56289.076    51.21028       44.43038   34.39608   46.4347   38.0    0.18675  -21.59055  0.99432 
  -12.07932  0.02411  2.76863       13.874  1.64435  0.96321   5.19377  0.29724     0.01454   9113.82032   3810.36476  0.99318         2976.52152     16.99333    5e-05  56227.01668  2.57342  0.12521   2090912.37994  45.27997  19.21543  56290.17891    51.27295       44.53403   37.83568  41.27529   42.5    0.20234  -21.60219  0.99444 
  -12.23787  0.10176  3.06571     13.70307  1.76226  1.19119   5.59098  0.09197     0.01255   6900.56709   4709.80124  1.39833         3457.79888     20.44391   0.1544  56226.85813  1.58813  0.56894   6036725.54492  44.76105  19.20549      56291.8    51.26799       44.52654   34.39608  42.99509   58.0    0.16295  -21.66967  0.97183 
   -9.59419   0.0766  2.55455     13.89751  1.51711  1.35621   6.96829   0.2241     0.05497   9050.92321    6161.4295  0.97711         3339.98053     17.25855   0.0001  56229.50181  3.40517  0.53379   1473833.96247  45.46678  19.17924  56287.89226    51.12719       44.42181   34.39608  37.83568   51.5    0.14289   -21.6127  0.97788 
  -12.68608  0.25122  3.11947      13.5902  1.70143  1.18596   2.03786  0.27442     0.05573    8618.6145   4966.94769  0.87246         3218.46191     16.02946    1e-05  56226.40992  0.90298  0.51195  10148274.51715   44.5051  19.19725    56290.061    51.14502       44.41489   37.83568  41.27529   60.0    0.15128  -21.58401  0.97136 
  -11.42264  0.02369  3.93196     14.25701  2.17652  0.48556   9.05148  0.08629     0.01144   8050.69268   4443.41385  0.93679         3305.46646     17.11624    7e-05  56227.67336  3.49956  0.21442    956709.15289  45.43661  19.20729  56292.46556    51.22677       44.43238   34.39608  49.87431   51.0    0.17247  -21.53924  0.98728 
  -10.27371  0.04895  2.75575     14.16493   1.8268   0.6197   5.50716  0.32851     0.01314   9233.21216    8379.5603   0.6391         3220.81533     18.75104  0.00313  56228.82229  2.80066   0.2696    602735.16078  45.86993  19.20521    56291.061    51.17933       44.41783   36.11588   44.7149   37.0    0.21065  -21.58404  0.99001 
   -9.95665  0.47025  2.84862     14.28945  1.93876  0.56895   5.70059  0.27016     0.01132   8029.41864     9279.752  1.15399           3558.549     20.14802  0.07812  56229.13935  2.19238  2.68069    385222.20036  46.06139  19.21537      56290.9    51.12302       44.37899   39.55549  41.27529   39.0    0.18999  -21.64808  0.91095 
   -8.52007   0.0196  2.73111     14.20781  1.96285  0.81796   8.00292   0.2532      0.0148   9988.02374   5907.96588  0.65022         3192.10217     16.10304    1e-05  56230.57593   4.7625  0.15686    522107.55044  45.97129  19.20037      56287.9    51.12342       44.38235   37.83568  41.27529   40.0      0.202  -21.61946  0.99488 
   -6.56113  0.32001  2.78787     14.10582  1.78175  1.37298  10.07627  0.13079     0.11733   8490.71341   8564.49675  1.10745         3424.75194     18.06293  0.00064  56232.53487  4.33327  3.22451    789884.76992  45.73158  19.18559    56289.076    51.13683        44.4034   37.83568  39.55549   52.0    0.14768  -21.57263   0.8872 
  -10.85454   0.1162  3.47437     13.99063  1.75281  0.65501   2.59545  0.31619      0.3027   8571.04621   4471.06871  1.37337         3171.50444     18.17963  0.00084  56228.24146  1.13739   0.3016   2051331.88714  45.11879  19.19325  56287.89226    51.14428       44.40937   39.55549  39.55549   75.0    0.13871  -21.58499  0.98071 
  -13.75242  0.00339  3.18518     14.24408  1.96812  0.29489   4.02556  0.24289     0.01179   7701.27837   8819.91513   1.0186         3401.09328     17.82951  0.00038  56225.34358  1.42423  0.01365    602520.70898  45.77666  19.21269    56290.075    51.13374       44.39809   36.11588  41.27529   43.0    0.18905  -21.56029  0.99936 
  -11.22756  0.41692  3.59537     13.91582  1.93647  1.04385   5.91596  0.18788     0.01336   8761.72441   9842.14614   1.3597         3045.96245     16.02987    1e-05  56227.86844  2.70914  2.46648   3425102.27882  44.90969  19.21069    56290.061    51.31347       44.42307   36.11588  55.03372   37.5    0.18843  -21.60743  0.87143 
   -9.95537  0.03688  2.71313     14.03524  1.91898  1.17435    5.6141  0.30904     0.01432   8772.86322   7933.53528   0.7547         3318.25191     19.77043  0.03275  56229.14063  2.57745  0.20707   1115167.83154  45.63764  19.20113    56289.076    51.27721       44.40254   36.11588  51.59411   39.0    0.19668  -21.60577  0.99309 
  -10.77285  0.32528  2.24382     13.76353  1.18979   0.6611   4.97676  0.28895     0.01066   8258.13399   9180.88731  1.33811         3434.05414     19.56311  0.02032  56228.32315  2.02459  1.61884   1652713.50576  45.42414  19.21114    56290.061     51.2593        44.3954   36.11588  51.59411   39.0    0.20215  -21.60757  0.92801 
   -9.66856  0.01754  3.57499     14.53485  1.93339  0.26804   6.88783  0.15038     0.01507   8171.67147   7663.55384  1.39428         3383.06981     18.68722   0.0027  56229.42744  2.74367  0.12081    195427.17068  46.15763  19.18646    56290.061    51.28522        44.5591   34.39608  41.27529   43.0    0.18888  -21.55648  0.99299 
  -15.08419  0.01944  2.58725     13.44469  1.63153  1.32942   3.99385  0.18639     0.01289   8176.94663   3936.64688  0.72355         3306.43463     18.88428  0.00426  56224.01181  1.59295  0.07765  13082714.65472  44.53907    19.227  56290.17891    51.14312       44.38126   34.39608   44.7149   53.0    0.18151  -21.57276  0.99669 
   -13.5583  0.17464  2.05581     13.42471  1.05096  1.37449   5.05224  0.21954      0.0124   8276.10096   3546.44914  0.97098         3118.60914       19.742  0.03067   56225.5377  2.06425  0.88234   5833673.61937  44.89852  19.21576      56291.8    51.14815       44.35861   40.13287  45.85732   46.5    0.19796  -21.58932  0.95866 
  -10.50413  0.00852  3.28337     14.12939  2.11243  1.10264   9.74281  0.13194     0.28117   8968.77648   3762.81564  0.73695          3273.9744     19.33358  0.01198  56228.59187  4.67496  0.08305   1165354.36671  45.49453  19.20952    56290.061     51.1884       44.45494   34.39608  41.27529   53.5    0.15766  -21.61002  0.99647 
  -14.39093  0.02598  2.96861     13.77722  1.70003  0.78273   3.09905  0.25395      0.0198   7574.70197   4041.74434  0.93881         3469.72026     19.71817  0.02903  56224.70507  1.06069   0.0805   3880871.97746  44.96527  19.19338    56290.061     51.2983       44.49833   32.67627   44.7149   52.5    0.18308  -21.57706  0.99594 
