# STATUS =
# OBJECT = PTF12mxx
# TELESCOPE = Keck1
# INSTRUMENT = LRIS
# DATE-OBS = 2012-12-18 00:00:00.00
# MJD = 56279.00
# EXPTIME = 0
# AIRMASS =
# SLIT = 0
# DISPERSER =
# SOURCE =
# FILTER =
# RESOLUTION =
# FLUX_STANDARD = True
# EXTINCTION_CORRECTED = True
# PHOTOMETRY_CALIBRATED = True
# TELLURIC_CORRECTED = True
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# COMMENT =
    Wavelength       Flux
3000.000000 2.343352e+00
3010.000000 2.385876e+00
3020.000000 2.474263e+00
3030.000000 2.553901e+00
3040.000000 2.578786e+00
3050.000000 2.545984e+00
3060.000000 2.499047e+00
3070.000000 2.464561e+00
3080.000000 2.438460e+00
3090.000000 2.423056e+00
3100.000000 2.423425e+00
3110.000000 2.445074e+00
3120.000000 2.461291e+00
3130.000000 2.455462e+00
3140.000000 2.416761e+00
3150.000000 2.359832e+00
3160.000000 2.306141e+00
3170.000000 2.256485e+00
3180.000000 2.223882e+00
3190.000000 2.197860e+00
3200.000000 2.166849e+00
3210.000000 2.130591e+00
3220.000000 2.090101e+00
3230.000000 2.075379e+00
3240.000000 2.091428e+00
3250.000000 2.121065e+00
3260.000000 2.159085e+00
3270.000000 2.192858e+00
3280.000000 2.226191e+00
3290.000000 2.271061e+00
3300.000000 2.309104e+00
3310.000000 2.327874e+00
3320.000000 2.337533e+00
3330.000000 2.336935e+00
3340.000000 2.323051e+00
3350.000000 2.305674e+00
3360.000000 2.282482e+00
3370.000000 2.257168e+00
3380.000000 2.237516e+00
3390.000000 2.221398e+00
3400.000000 2.195808e+00
3410.000000 2.167636e+00
3420.000000 2.136585e+00
3430.000000 2.099938e+00
3440.000000 2.054077e+00
3450.000000 2.008928e+00
3460.000000 1.965586e+00
3470.000000 1.941766e+00
3480.000000 1.945796e+00
3490.000000 1.973081e+00
3500.000000 1.998889e+00
3510.000000 2.010943e+00
3520.000000 1.992098e+00
3530.000000 1.948054e+00
3540.000000 1.889906e+00
3550.000000 1.842715e+00
3560.000000 1.806772e+00
3570.000000 1.793263e+00
3580.000000 1.789185e+00
3590.000000 1.789769e+00
3600.000000 1.789813e+00
3610.000000 1.790015e+00
3620.000000 1.786126e+00
3630.000000 1.788533e+00
3640.000000 1.791489e+00
3650.000000 1.792698e+00
3660.000000 1.799115e+00
3670.000000 1.804272e+00
3680.000000 1.816951e+00
3690.000000 1.830182e+00
3700.000000 1.836994e+00
3710.000000 1.819330e+00
3720.000000 1.775983e+00
3730.000000 1.723536e+00
3740.000000 1.678271e+00
3750.000000 1.652425e+00
3760.000000 1.649044e+00
3770.000000 1.651205e+00
3780.000000 1.641365e+00
3790.000000 1.629901e+00
3800.000000 1.619237e+00
3810.000000 1.609091e+00
3820.000000 1.612345e+00
3830.000000 1.626002e+00
3840.000000 1.638238e+00
3850.000000 1.644830e+00
3860.000000 1.647606e+00
3870.000000 1.640319e+00
3880.000000 1.628577e+00
3890.000000 1.620532e+00
3900.000000 1.612689e+00
3910.000000 1.600621e+00
3920.000000 1.586353e+00
3930.000000 1.570610e+00
3940.000000 1.554393e+00
3950.000000 1.539723e+00
3960.000000 1.523886e+00
3970.000000 1.508431e+00
3980.000000 1.488925e+00
3990.000000 1.478823e+00
4000.000000 1.478252e+00
4010.000000 1.494140e+00
4020.000000 1.533541e+00
4030.000000 1.573742e+00
4040.000000 1.607535e+00
4050.000000 1.623234e+00
4060.000000 1.617133e+00
4070.000000 1.589446e+00
4080.000000 1.549621e+00
4090.000000 1.511709e+00
4100.000000 1.462849e+00
4110.000000 1.416166e+00
4120.000000 1.385585e+00
4130.000000 1.359633e+00
4140.000000 1.341280e+00
4150.000000 1.332838e+00
4160.000000 1.325837e+00
4170.000000 1.307860e+00
4180.000000 1.276668e+00
4190.000000 1.250252e+00
4200.000000 1.220033e+00
4210.000000 1.187856e+00
4220.000000 1.171929e+00
4230.000000 1.159199e+00
4240.000000 1.146732e+00
4250.000000 1.132643e+00
4260.000000 1.128313e+00
4270.000000 1.138033e+00
4280.000000 1.160060e+00
4290.000000 1.196078e+00
4300.000000 1.234136e+00
4310.000000 1.257140e+00
4320.000000 1.265330e+00
4330.000000 1.255647e+00
4340.000000 1.236022e+00
4350.000000 1.214671e+00
4360.000000 1.197256e+00
4370.000000 1.187156e+00
4380.000000 1.184282e+00
4390.000000 1.180493e+00
4400.000000 1.170811e+00
4410.000000 1.149555e+00
4420.000000 1.113667e+00
4430.000000 1.074442e+00
4440.000000 1.044781e+00
4450.000000 1.037333e+00
4460.000000 1.050462e+00
4470.000000 1.072436e+00
4480.000000 1.099070e+00
4490.000000 1.117988e+00
4500.000000 1.116696e+00
4510.000000 1.108207e+00
4520.000000 1.096406e+00
4530.000000 1.091886e+00
4540.000000 1.098961e+00
4550.000000 1.117391e+00
4560.000000 1.148695e+00
4570.000000 1.181284e+00
4580.000000 1.203279e+00
4590.000000 1.216215e+00
