# STATUS =
# OBJECT = SCP06F6
# TELESCOPE = Keck1
# INSTRUMENT = LRIS
# DATE-OBS = 2006-05-28 00:00:00.00
# MJD = 53883.0
# EXPTIME = 0
# AIRMASS = --
# SLIT = 1
# DISPERSER = --
# SOURCE = 2009ApJ...690.1358B
# FILTER =
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = --
# PHOTOMETRY_CALIBRATED =
# TELLURIC_CORRECTED =
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# QUALITY = --
# MIN_WAVE = 3664.78759766
# MAX_WAVE = 8990.41503906
# COMMENT = --
    Wavelength                Flux 
 3665.40917969     7.428752951e-19 
 3666.03076172  -8.20541389538e-20 
 3666.65234375  -6.61583603413e-19 
 3667.27392578  -3.58567658137e-18 
 3667.89550781  -2.23748943576e-18 
 3668.51708984  -2.46005582125e-18 
 3669.13867188  -6.74810634998e-19 
 3669.76025391  -2.79073109389e-19 
 3670.38183594   1.25810190363e-19 
 3671.00341797  -4.50833790239e-20 
      3671.625   -2.4987130732e-18 
 3672.24633789  -3.38684593675e-18 
 3672.86791992   5.22495096268e-19 
 3673.48950195   -9.0460678584e-19 
 3674.11108398    9.3349575854e-19 
 3674.73266602   1.72473568367e-18 
 3675.35424805   7.57374737262e-19 
 3675.97583008   1.96094000272e-18 
 3676.59741211  -2.20886216232e-18 
 3677.21899414  -1.16437179367e-18 
 3677.84057617   1.79344874997e-18 
  3678.4621582   2.13135844085e-18 
 3679.08374023   3.22642335594e-18 
 3679.70532227   2.12803524274e-18 
  3680.3269043     7.677793252e-19 
 3680.94848633  -3.22861155885e-19 
 3681.57006836    1.1224388031e-18 
 3682.19165039   1.79176605781e-18 
 3682.81323242   1.00645288177e-18 
 3683.43481445   1.03236876056e-18 
 3684.05639648   1.11027097629e-18 
 3684.67797852   1.57506769159e-18 
 3685.29956055   9.06696244067e-19 
 3685.92114258   5.60213136333e-19 
 3686.54272461   9.00959332928e-19 
  3687.1640625   2.63133494081e-18 
 3687.78564453   1.78102449717e-18 
 3688.40722656    5.4634943417e-19 
 3689.02880859    1.1282540896e-18 
 3689.65039062   1.65637892542e-18 
 3690.27197266   3.71759410468e-18 
 3690.89355469   2.31784693034e-18 
 3691.51513672  -1.15249141212e-18 
 3692.13671875   3.13621367497e-19 
 3692.75830078   1.53019355695e-18 
 3693.37988281    1.7419712325e-18 
 3694.00146484   3.45281033358e-19 
 3694.62304688   3.15236334245e-19 
 3695.24462891   1.64566269718e-18 
 3695.86621094   5.25930739243e-18 
 3696.48779297   3.63677400934e-18 
   3697.109375   2.53358106246e-19 
 3697.73095703   2.76286265527e-18 
 3698.35253906  -7.19168789883e-20 
 3698.97412109   6.60629760769e-19 
 3699.59570312  -5.91630179781e-19 
 3700.21728516   1.28948927197e-20 
