 log(Bfield)      Mns    Pspin  cutoff_power  cutoff_wavelength  fnickel    kappa  kappagamma  mejecta  log(nhhost)  temperature  texplosion  thetaPB     vejecta      A_V        MJD_0   log(KE)     M_Ni  Peak_mag     Peak_MJD 
    14.10951  1.61061  2.56373       0.61447         2995.44825  0.01334  0.32895     0.31427  0.19581     18.37811    9417.5268   -17.37541  0.19509  1017.87845  0.00133  53511.62459  49.78304  0.13094   23.8885  53665.12531 
    13.83079  2.15989  3.07275       0.53508          5070.9659  0.00212  0.10412     0.05664  0.54639      16.3889   4264.08444   -16.97686  0.58283  1011.29141    1e-05  53512.02314  50.17735  0.05225  23.99273      53654.0 
    13.51128  2.01978  2.46001       0.41972         4000.13068  0.00303  0.15597     0.34295  0.45583     20.42298    9933.0227   -19.98697  1.53973  1111.85923  0.14713  53509.01303   50.2109   0.0668  23.95018      53666.0 
    13.45569  1.83584  2.66921       0.52879         5309.98503  0.00491  0.06617     0.05475  0.98952     16.21834    5768.3914   -19.23389  1.42996  1012.73688    1e-05  53509.76611  50.30838  0.16325  23.88017  53684.28571 
      13.621   1.8025  2.79421       0.11238         2140.12078   0.0049  0.16579      0.0716  0.44391     16.85311   6279.83683   -22.57444  0.89917  1053.75685    4e-05  53506.42556  50.15666  0.10618  23.91443  53665.12531 
    13.43476  1.51944   2.1789       0.44645         5359.68335  0.00759  0.01569     0.03524  0.22656     20.09588   6957.74098    -7.47083  1.01012  1045.32712  0.06928  53521.52917  49.89069  0.09055  23.95682  53657.46115 
    13.61379  1.75598  2.74068       0.66979         3564.56002  0.00216  0.19409     0.48969  0.19397      17.5656   3940.65317   -12.71395  0.70148  1022.32021   0.0002  53516.28605  49.78074  0.02092  23.91677  53665.12531 
    13.74976  1.80049  2.27993       0.84921         5766.54727  0.00637  0.07719     0.07795  0.72285     20.27077   7943.54478   -14.05249  0.42685  1025.95803  0.10363  53514.94751  50.25586  0.18281   24.0396  53661.29323 
    13.48106  1.69863  2.66696       0.23592          4017.8607  0.00723  0.04188     0.44392  0.98321     16.49786   3049.40416   -14.94267  1.34587  1002.22997    2e-05  53514.05733  50.29811  0.23964  23.86448  53665.12531 
    13.44375  1.80703  2.26248       0.46902         4089.40887  0.00333  0.10106     0.08927  0.30248     20.47359   3543.12057    -10.6154  1.32733  1119.58106  0.16532   53518.3846  50.08075   0.0537  23.98332  53665.12531 
    13.36725  1.55615  2.41313        0.6778         5464.61487  0.00281  0.05726      0.2769  1.07428     17.97424     4517.262   -21.80055  1.05275  1065.46613  0.00052  53507.19945  50.36772  0.09683  23.86281  53672.78947 
    13.55749  1.93878  2.91058       0.40003         5550.62183  0.00226  0.32211     0.40731   0.2176     18.13028   6594.35082   -22.27047  1.17952  1084.52201  0.00075  53506.72953  49.90087  0.02559   24.0343      53648.0 
    13.41312  1.73124   2.6021       0.40741         4287.50311  0.00157   0.0718     0.13209  0.79955     18.28566   6718.36494   -22.24165   1.4833  1012.24941  0.00107  53506.75835   50.2657  0.04739  23.95261      53654.0 
    13.61623  1.76774  2.59622       0.46505         5920.74061  0.02844  0.19722     0.05502  0.46029     18.67798   3236.29864   -20.80915  0.71125  1019.26818  0.00265  53508.19085  50.13815  0.63073  23.96438  53665.12531 
     13.6163  1.33111   1.6557        0.6918         5604.65476  0.00265  0.01854     0.01725  3.98176     20.52213   5785.09638   -22.67452  0.35699  1017.33368  0.18487  53506.32548  50.51795  0.14131  23.92568  53665.12531 
    13.45524  1.68678  2.51539       0.59189         3791.34833  0.00157  0.05385     0.07765  1.02532      17.9717   4437.90962   -18.59783  1.03982  1014.33459  0.00052  53510.40217  50.31641  0.05316  23.91264  53668.95739 
    13.97249  1.97576  2.76957        0.5136         5107.78498  0.00109  0.25443     0.40433  0.42633     17.32095    8500.3433   -24.43869  0.34009   1002.9859  0.00012  53504.56131  50.10189  0.02291  23.89584  53672.78947 
    13.28749  1.60243  2.09011        0.7357         4541.30839  0.00175  0.20741     0.24067  0.27479     20.42556   8799.53225   -16.34155  1.32335  1093.04387  0.14801  53512.65845  50.02077   0.0258  23.92564      53667.0 
    13.29056  1.67911  2.17105       0.76059         5450.36227  0.00256  0.04604     0.07089   1.4263     20.34414   3302.01107   -19.89243  1.56985  1017.73901  0.12271  53509.10757  50.37676  0.09873  23.91497  53649.79699 
    13.78691  1.70096  2.42072       0.66445         5747.58508  0.00626  0.11973     0.02897  0.36342     16.45161   9642.74007   -17.23639  0.31516  1086.89574    2e-05  53511.76361  50.12127  0.11746  23.89822  53657.46115 
    13.42326  1.83189  2.67459        0.7246         5420.35856  0.00236  0.22119     0.18379  0.39772      16.9699   9099.11488   -23.72888  1.47002  1005.60985    5e-05  53505.27112  50.08295  0.04745  23.96995      53674.0 
    13.40599  1.68671  2.52244       0.45465         4065.33302  0.00265  0.04952     0.48008   1.0695     16.84857   3407.97148    -19.7253  1.29171  1040.74249    4e-05   53509.2747  50.34651  0.09092  23.96302  53661.29323 
    13.70407  2.16747  3.12378       0.29934         3615.12657  0.00236  0.02239     0.22103   2.6339     19.41017   7167.09972   -11.68968  1.05186  1009.57331  0.01429  53517.31032  50.45974  0.11183  23.89818      53674.0 
    13.73327  1.80765  2.67667       0.51822         4070.10251  0.02678  0.21683     0.19371   0.4371     17.95472   7024.55624   -27.59505  0.50169  1008.05203   0.0005  53501.40495  50.11364  0.57389  23.92776  53665.12531 
    13.44328  1.43982  2.20284       0.34183         5747.14154  0.00103  0.02239     0.43255  3.50413     19.95391   8021.61617   -23.64792  0.80166  1034.67998  0.04996  53505.35208  50.51734  0.05312  23.90078  53665.12531 
    13.45114  1.95362  2.77175       0.45662         4922.91301  0.00141   0.0696     0.01062  1.38926     16.76299   3881.62223   -26.71723  1.48878  1012.33555    3e-05  53502.28277  50.36782  0.05373  23.92702      53670.0 
     13.4957  1.51995  1.91829       0.68197         4476.52894  0.00128  0.14736     0.20035  0.31011     20.56918   7826.41064    -17.4691  0.65764  1018.91144  0.20602   53511.5309  50.00852  0.02111  23.90615  53676.62155 
    13.59494  1.99062  2.72406       0.50786         5648.43332  0.00249  0.07002     0.06633  1.27911     19.74118   8311.17667   -21.60839  0.89973  1020.26161  0.03061  53507.39161  50.36078  0.09205  24.03389  53661.29323 
    13.26019  1.52413  1.84705       0.81749          4519.9574  0.00217  0.07991     0.11482  0.48711     20.63627   7635.12692   -14.31377  1.41112  1075.16906  0.24044  53514.68623  50.20027  0.04984  23.96334      53667.0 
     13.6236  1.85797  2.54209       0.24387         5221.21943  0.00193  0.02595     0.19247  2.60367     19.95685   9215.13003   -15.45796  1.02926  1017.33114   0.0503  53513.54204  50.46485  0.09103  23.85419  53661.29323 
    13.62456   1.7511  2.54754       0.23341         3638.85485  0.00144  0.23567     0.06834  0.19175      16.5394   4993.08209   -12.24959  0.70449  1065.73308    2e-05  53516.75041  49.80933  0.01375  24.02492  53668.95739 
    13.67674  1.94636  2.77282       0.07108          2765.3789  0.00379   0.2279     0.05221  0.38618     18.43022   6467.04033   -23.54568  0.87813  1047.55255   0.0015  53505.45432  50.10912  0.07451  23.91509  53661.29323 
    13.49858  1.85745  2.69768       0.27291         3083.89934  0.00118  0.12184     0.04586   0.5223     19.80728   8512.48296   -25.86873  1.28637  1046.13419  0.03565  53503.13127  50.19514  0.02841  23.93128      53674.0 
    13.37555   1.8705  2.15582       0.69249         5684.56487  0.00897  0.20118     0.11513  0.24228     20.56703   7163.24229   -14.48474  1.53068  1020.52272    0.205  53514.51526  49.90379  0.11574  23.99687  53661.29323 
    13.45173  1.93227   2.3362       0.51653         3507.28907  0.00102  0.02894     0.01737  2.69299     20.51342   8005.95265   -22.18187  1.26416  1065.56221   0.1812  53506.81813  50.50955  0.04889  23.90527      53667.0 
    13.24031  1.31405  2.07448       0.32136         5793.42296   0.0021  0.18828      0.2259  0.55543     19.43645   5564.16217   -30.24413  1.34664  1032.47201  0.01518  53498.75587  50.19952  0.05239  23.93306  53672.78947 
    13.93475  1.72923  2.19416       0.61052         5390.88628   0.0055  0.06062     0.31003   0.7171     20.39247   8057.49415   -20.23491  0.25262  1024.64442  0.13715  53508.76509    50.253  0.15722  23.91029      53678.0 
    13.45559  1.69296  2.13224       0.57026         5630.27958  0.00103  0.04311      0.0173  1.56208     20.38273   7896.82064   -18.74997  0.89606  1050.61282  0.13411  53510.25003  50.41894  0.04121  23.92602  53676.62155 
    14.18267  2.00563   2.8124       0.76528         5198.13716  0.00376  0.08413     0.02656  1.01342     16.75763   6042.65158   -19.51941  0.19849   1005.6238    3e-05  53509.48059  50.30674  0.12628  23.89509  53668.95739 
    13.73774  2.02071  2.66582       0.80775         3704.94233  0.00382  0.26498     0.07067  0.35599     20.14965   7199.68833   -19.59277  0.58644   1020.2074  0.07841  53509.40723   50.0593  0.07048  23.78922  53672.78947 
    13.58953   1.9163  2.81095       0.12486         3122.21221  0.00213  0.13554     0.03261  0.65401     18.28573   3788.04975   -31.72362  1.12251  1012.84641  0.00107  53497.27638  50.22222  0.05817  23.88157  53665.12531 
    13.55962  1.36478  2.18429        0.5915         3767.99739  0.01583  0.17161     0.45178  0.38458     17.71571   8674.81777   -14.07716  0.51287  1034.71606  0.00029  53514.92284  50.09708  0.30995  24.04227      53651.0 
    13.67633  1.54866  2.48696       0.29045         3501.11807  0.00302  0.24449      0.1664  0.29784      16.7727   8091.56323   -19.41397   0.5774  1003.30924    3e-05  53509.58603  49.97944  0.04801   23.9592  53657.46115 
    13.28639  1.22633  1.75225       0.58912          4710.1807  0.01015  0.09213     0.07021  0.59003     20.30403   9393.16206   -18.09461  0.88731  1011.73781  0.11188  53510.90539  50.19688  0.26168  23.86843      53670.0 
    13.49419  1.85008   2.7334       0.55364         5909.46966  0.00167   0.0386     0.16687  2.18856     16.13211    7240.0546   -18.85839  1.54594  1036.30262    1e-05  53510.14161  50.45717   0.0746  23.90117  53672.78947 
    13.51106  1.82574  2.76474       0.08562         5318.66645  0.00149   0.3081     0.24293  0.16194     17.50816   5610.88506   -15.60232  1.32611  1142.52473  0.00018  53513.39768  49.74089  0.01051  23.95448  53661.29323 
    13.65727  1.84969   2.2703       0.75695         5768.13599  0.00351  0.08826     0.10523   0.7948     20.38479   5221.27218   -21.54903  0.51369  1017.01101  0.13475  53507.45097  50.26854  0.10566  23.95238  53657.46115 
    13.32131  1.66093  2.12169       0.66781         5283.25607  0.00231  0.11593     0.07494  0.47924     20.40743    3471.8737   -20.57846   1.4931  1027.78795  0.14196  53508.42154  50.15665  0.05269  24.00617  53657.46115 
    13.47246  1.51068  2.11543        0.7145         2627.58625  0.00583  0.03103     0.13539   1.1942     20.42631   7889.10412    -13.5068  0.77248  1050.51952  0.14826   53515.4932  50.37434   0.2098  23.94705  53665.12531 
    13.67852  1.91062  2.90695       0.55761         4765.60685  0.00258  0.14165     0.49238  0.33695     17.30817   5728.34862    -15.3846  0.68101  1035.01683  0.00011   53513.6154  50.05271  0.04554  23.98676  53657.46115 
    13.19323  1.25614  2.02807       0.65829         5965.51606  0.00184  0.10566     0.27807  0.56486     17.03059   6549.33017   -14.20531   1.4734  1027.22659    6e-05  53514.79469  50.19932   0.0463  24.00001      53654.0 
    13.25721  1.44962  1.72228       0.77066         5556.94959  0.00194  0.06015     0.11746   1.0052     20.60191   6941.40731   -21.31126  1.17987  1047.99232  0.22215  53507.68874  50.34106   0.0651  23.83549  53676.62155 
    13.31702  1.56158  2.37261       0.64778         5202.16283  0.00196  0.11659     0.07268  0.53139     16.53332   9250.86947   -15.67656  1.54331  1057.03508    2e-05  53513.32344  50.20863  0.04756  23.95402  53661.29323 
    13.43797  1.51208  2.34321       0.47496         3814.56075  0.00262  0.04539     0.12278  0.50813     19.33271   8621.33542     -8.5625  1.02116  1056.50668  0.01195   53520.4375  50.19645  0.06185  23.98447      53651.0 
    13.53433  1.75841  2.58499       0.35062         3782.23366  0.01368  0.14378     0.06995  0.33604     19.75782   9048.09444   -18.54582  0.94283  1000.95591  0.03181  53510.45418  50.02268  0.24119  23.93343  53657.46115 
    13.92591  1.85925  2.70471       0.40846         5882.34625  0.00391   0.1583     0.04645  0.52738     18.17663   9823.07569   -20.53582  0.37304  1013.95283  0.00083  53508.46418  50.17052   0.0943  23.95849  53657.46115 
    14.00364  1.58284    2.357       0.69255         5930.92724  0.00348  0.22964     0.34953  0.22776     16.65988   5859.20866   -14.13188   0.1927  1026.54265    3e-05  53514.86812  49.87771  0.04174  23.88774  53676.62155 
    13.35448  1.66202  2.48578        0.6556         4561.08065  0.00648  0.14194     0.04695  0.46666     17.84086   6066.54446   -19.76708  1.45068   1003.3348  0.00039  53509.23292  50.12833  0.14491   23.9046  53668.95739 
    13.90094  1.76758  2.38313       0.63803          3671.1878  0.00195  0.03708     0.37361  2.80513     20.25976   8501.67195   -24.36476  0.34588  1014.25805  0.10104  53504.63524  50.47202  0.09402  23.99136  53661.29323 
    13.41974   1.7303   2.5609       0.37362         5729.63835  0.00587   0.3333     0.25552  0.18977      18.3555   9455.45136    -19.0302  1.35621  1077.47148  0.00126   53509.9698  49.81194  0.05496  23.95578  53680.45363 
    13.94319  1.20567  1.72746       0.87539         4006.14238  0.00747  0.09094     0.31592  0.83717     20.27462   6808.27962   -22.74329  0.13832  1036.38408  0.10456  53506.25671  50.29564  0.23042   23.8598  53676.62155 
    13.40142  1.72413  2.09503       1.10436         2024.74113  0.00831  0.16384     0.35512  0.61686      20.6085   6697.44323   -22.00105  1.44264  1028.72756  0.22554  53506.99895  50.22205   0.2194  23.88368  53672.78947 
    13.81559  1.72812  2.52883        0.3469         5800.42754  0.00106   0.2401     0.04193  0.42747     16.14738   9566.59428   -26.82443  0.43422  1009.16962    1e-05  53502.17557  50.10803   0.0224  23.87375  53668.95739 
    13.33097  1.46952  2.38219        0.4902         2793.50084  0.00256  0.18424     0.18668  0.31571     17.48784   8015.92463    -22.4657  1.15476  1053.83501  0.00017   53506.5343  50.04457  0.04288  23.86554  53676.62155 
     13.4678  1.69298  2.23077       1.33609         2008.19994  0.00117  0.03334     0.16589  3.57096      20.4932   5195.90703   -20.88955  1.03295  1017.27125  0.17295  53508.11045   50.5049  0.06077  23.93073  53661.29323 
    13.34791  1.75136  2.05652       0.69032         5966.73179  0.00251  0.06186     0.32469   1.0089     20.52741   6488.09732     -21.268   1.2422  1027.17834  0.18713    53507.732  50.32433  0.08406  23.90171  53672.78947 
    13.36209  1.65097  2.05877        0.7797         5637.12412  0.00134  0.10228     0.03996  0.56548     20.42203   3819.00254   -20.03021  1.14351  1003.77369  0.14681  53508.96979  50.17953  0.03359  23.84812      53678.0 
    13.39569  1.63884  2.38937       0.30254         5311.70741  0.00814  0.27581     0.03549  0.23909     16.62777   9816.87107   -20.21379  1.18814  1008.61414    2e-05  53508.78621  49.88709  0.10342  23.93806  53668.95739 
    13.37954  1.50021   2.1873       0.22703         5892.74039  0.00997  0.12296     0.03752  0.51006     19.93718   7283.41838   -15.14246   1.5425  1063.84263  0.04807  53513.85754  50.20347  0.23594  23.88699      53678.0 
    13.34627  1.64677  2.43923       0.39618          5613.4496   0.0016  0.07703     0.09261  0.71254      19.1915   6924.66393   -21.14068  1.50545  1007.70209  0.00863  53507.85932  50.23711  0.04548  23.95969      53667.0 
    13.51134  1.72647  2.51526       0.37621         4294.62144  0.01914  0.21124     0.05001  0.32198     20.01689   9047.89244   -23.66187  0.96869  1021.93394  0.05776  53505.33813   50.0252  0.32561  23.85797  53672.78947 
    13.30746  1.45195  2.19584       0.61564         5996.72626  0.00897   0.1419     0.34052  0.46929     19.81279   7752.89091   -16.49283  1.33509  1023.92286   0.0361  53512.50717  50.14755  0.20137  23.84483  53680.45363 
