                MJD               R_low                   R_med                  R_high               T_low               T_med              T_high                   L_low                   L_med                  L_high 
            53640.5                 0.0                     0.0                     0.0                 nan                 nan                 nan   6.725545663909606e+29   7.378550438375896e+29   8.497459957580345e+29 
 53643.321553884714                 0.0                     0.0                     0.0                 nan                 nan                 nan   6.725545663909606e+29   7.378550438375896e+29   8.497459957580345e+29 
  53646.14310776942                 0.0                     0.0                     0.0                 nan                 nan                 nan   6.725545663909606e+29   7.378550438375896e+29   8.497459957580345e+29 
 53648.964661654136                 0.0                     0.0                     0.0                 nan                 nan                 nan   6.725545663909606e+29   7.378550438375896e+29   8.497459957580345e+29 
  53651.78621553885                 0.0                     0.0                     0.0                 nan                 nan                 nan   6.725545663909606e+29   7.378550438375896e+29   8.497459957580345e+29 
  53654.60776942356                 0.0                     0.0                     0.0                 nan                 nan                 nan   6.725545663909606e+29   7.378550438375896e+29   8.497459957580345e+29 
  53657.42932330827                 0.0                     0.0                     0.0                 nan                 nan                 nan   6.725545663909606e+29   7.378550438375896e+29   8.497459957580345e+29 
 53660.250877192986                 0.0                     0.0                     0.0                 nan                 nan                 nan   6.725545663909606e+29   7.378550438375896e+29   8.497459957580345e+29 
  53663.07243107769                 0.0                     0.0                     0.0                 nan                 nan                 nan   6.725545663909606e+29   7.378550438375896e+29   8.497459957580345e+29 
  53665.89398496241                 0.0                     0.0                     0.0                 nan                 nan                 nan   6.725545663909606e+29   7.378550438375896e+29   8.497459957580345e+29 
 53668.715538847115                 0.0                     0.0                     0.0                 nan                 nan                 nan   6.725545663909606e+29   7.378550438375896e+29   8.497459957580345e+29 
  53671.53709273183                 0.0                     0.0                     0.0                 nan                 nan                 nan   6.725545663909606e+29   7.378550438375896e+29   8.497459957580345e+29 
  53674.35864661654                 0.0                     0.0                     0.0                 nan                 nan                 nan   6.725545663909606e+29   7.378550438375896e+29   8.497459957580345e+29 
  53677.18020050125                 0.0                     0.0                     0.0                 nan                 nan                 nan   6.725545663909606e+29   7.378550438375896e+29   8.497459957580345e+29 
 53680.001754385965                 0.0                     0.0                     0.0                 nan                 nan                 nan   6.725545663909606e+29   7.378550438375896e+29   8.497459957580345e+29 
  53682.82330827068                 0.0                     0.0                     0.0                 nan                 nan                 nan   6.725545663909606e+29   7.378550438375896e+29   8.497459957580345e+29 
  53685.64486215539                 0.0                     0.0                     0.0                 nan                 nan                 nan   6.725545663909606e+29   7.378550438375896e+29   8.497459957580345e+29 
   53688.4664160401                 0.0                     0.0                     0.0                 nan                 nan                 nan   6.725545663909606e+29   7.378550438375896e+29   8.497459957580345e+29 
 53691.287969924815                 0.0                     0.0                     0.0                 nan                 nan                 nan   6.725545663909606e+29   7.378550438375896e+29   8.497459957580345e+29 
  53694.10952380952                 0.0                     0.0                     0.0                 nan                 nan                 nan   6.725545663909606e+29   7.378550438375896e+29   8.497459957580345e+29 
  53696.93107769424                 0.0                     0.0                     0.0                 nan                 nan                 nan   6.725545663909606e+29   7.378550438375896e+29   8.497459957580345e+29 
  53699.75263157895                 0.0                     0.0                     0.0                 nan                 nan                 nan   6.725545663909606e+29   7.378550438375896e+29   8.497459957580345e+29 
  53702.57418546366                 0.0                     0.0                     0.0                 nan                 nan                 nan   6.725545663909606e+29   7.378550438375896e+29   8.497459957580345e+29 
  53705.39573934837                 0.0                     0.0                     0.0                 nan                 nan                 nan   6.725545663909606e+29   7.378550438375896e+29   8.497459957580345e+29 
  53708.21729323308                 0.0                     0.0                     0.0                 nan                 nan                 nan   6.725545663909606e+29   7.378550438375896e+29   8.497459957580345e+29 
 53711.038847117794                 0.0                     0.0                     0.0                 nan                 nan                 nan   6.725545663909606e+29   7.378550438375896e+29   8.497459957580345e+29 
  53713.86040100251                 0.0                     0.0                     0.0                 nan                 nan                 nan   6.725545663909606e+29   7.378550438375896e+29   8.497459957580345e+29 
 53716.681954887215                 0.0                     0.0                     0.0                 nan                 nan                 nan   6.725545663909606e+29   7.378550438375896e+29   8.497459957580345e+29 
  53719.50350877193                 0.0                     0.0                     0.0                 nan                 nan                 nan   6.725545663909606e+29   7.378550438375896e+29   8.497459957580345e+29 
 53722.325062656644                 0.0                     0.0                     0.0                 nan                 nan                 nan   6.725545663909606e+29   7.378550438375896e+29   8.497459957580345e+29 
  53725.14661654135                 0.0                     0.0                     0.0                 nan                 nan                 nan   6.725545663909606e+29   7.378550438375896e+29   8.497459957580345e+29 
