# STATUS =
# OBJECT = SSS120810
# TELESCOPE = ESO-NTT
# INSTRUMENT = EFOSC2-NTT
# DATE-OBS = 2012-09-07 05:31:04.00
# MJD = 56177.22
# EXPTIME = 0
# AIRMASS =
# SLIT = 0
# DISPERSER =
# SOURCE =
# FILTER =
# RESOLUTION =
# FLUX_STANDARD = True
# EXTINCTION_CORRECTED = True
# PHOTOMETRY_CALIBRATED = True
# TELLURIC_CORRECTED = True
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# COMMENT =
    Wavelength       Flux
3000.000000 nan
3010.000000 nan
3020.000000 nan
3030.000000 nan
3040.000000 nan
3050.000000 nan
3060.000000 nan
3070.000000 nan
3080.000000 nan
3090.000000 nan
3100.000000 nan
3110.000000 nan
3120.000000 nan
3130.000000 nan
3140.000000 nan
3150.000000 nan
3160.000000 nan
3170.000000 nan
3180.000000 8.512102e-01
3190.000000 8.341749e-01
3200.000000 8.567199e-01
3210.000000 9.705826e-01
3220.000000 1.149547e+00
3230.000000 1.370603e+00
3240.000000 1.575210e+00
3250.000000 1.549889e+00
3260.000000 1.472851e+00
3270.000000 1.496816e+00
3280.000000 1.478011e+00
3290.000000 1.448390e+00
3300.000000 1.392303e+00
3310.000000 1.770746e+00
3320.000000 2.049628e+00
3330.000000 2.190231e+00
3340.000000 2.074695e+00
3350.000000 2.042141e+00
3360.000000 1.865618e+00
3370.000000 1.622094e+00
3380.000000 1.292953e+00
3390.000000 1.367793e+00
3400.000000 1.376172e+00
3410.000000 1.318692e+00
3420.000000 1.281338e+00
3430.000000 1.294335e+00
3440.000000 1.314130e+00
3450.000000 1.374865e+00
3460.000000 1.428420e+00
3470.000000 1.465899e+00
3480.000000 1.497462e+00
3490.000000 1.493803e+00
3500.000000 1.481588e+00
3510.000000 1.473131e+00
3520.000000 1.433834e+00
3530.000000 1.386200e+00
3540.000000 1.388401e+00
3550.000000 1.407381e+00
3560.000000 1.394175e+00
3570.000000 1.402106e+00
3580.000000 1.427803e+00
3590.000000 1.496612e+00
3600.000000 1.527104e+00
3610.000000 1.532799e+00
3620.000000 1.547254e+00
3630.000000 1.574930e+00
3640.000000 1.638434e+00
3650.000000 1.573699e+00
3660.000000 1.538109e+00
3670.000000 1.515892e+00
3680.000000 1.489241e+00
3690.000000 1.457564e+00
3700.000000 1.441219e+00
3710.000000 1.460546e+00
3720.000000 1.520522e+00
3730.000000 1.473632e+00
3740.000000 1.444587e+00
3750.000000 1.406953e+00
3760.000000 1.378198e+00
3770.000000 1.372493e+00
3780.000000 1.372876e+00
3790.000000 1.390966e+00
3800.000000 1.444145e+00
3810.000000 1.510888e+00
3820.000000 1.562256e+00
3830.000000 1.605703e+00
3840.000000 1.617557e+00
3850.000000 1.635100e+00
3860.000000 1.634162e+00
3870.000000 1.645850e+00
3880.000000 1.677789e+00
3890.000000 1.725069e+00
3900.000000 1.765389e+00
3910.000000 1.778564e+00
3920.000000 1.755377e+00
3930.000000 1.700360e+00
3940.000000 1.649550e+00
3950.000000 1.619183e+00
3960.000000 1.574943e+00
3970.000000 1.569083e+00
3980.000000 1.535843e+00
3990.000000 1.485817e+00
4000.000000 1.404322e+00
4010.000000 1.358495e+00
4020.000000 1.363558e+00
4030.000000 1.393935e+00
4040.000000 1.426315e+00
4050.000000 1.462696e+00
4060.000000 1.484656e+00
4070.000000 1.466333e+00
4080.000000 1.437322e+00
4090.000000 1.410246e+00
4100.000000 1.407695e+00
4110.000000 1.387979e+00
4120.000000 1.379058e+00
4130.000000 1.375312e+00
4140.000000 1.373456e+00
4150.000000 1.381440e+00
4160.000000 1.409918e+00
4170.000000 1.414347e+00
4180.000000 1.416715e+00
4190.000000 1.422001e+00
4200.000000 1.398784e+00
4210.000000 1.396979e+00
4220.000000 1.374235e+00
4230.000000 1.344306e+00
4240.000000 1.339487e+00
4250.000000 1.319241e+00
4260.000000 1.309977e+00
4270.000000 1.296465e+00
4280.000000 1.272183e+00
4290.000000 1.259822e+00
4300.000000 1.236991e+00
4310.000000 1.210311e+00
4320.000000 1.182618e+00
4330.000000 1.179870e+00
4340.000000 1.192376e+00
4350.000000 1.192741e+00
4360.000000 1.201843e+00
4370.000000 1.197384e+00
4380.000000 1.212832e+00
4390.000000 1.236838e+00
4400.000000 1.268581e+00
4410.000000 1.305666e+00
4420.000000 1.336472e+00
4430.000000 1.373595e+00
4440.000000 1.411236e+00
4450.000000 1.449402e+00
4460.000000 1.495567e+00
4470.000000 1.546027e+00
