# STATUS =
# OBJECT = SSS120810
# TELESCOPE = ESO-NTT
# INSTRUMENT = EFOSC2-NTT
# DATE-OBS = 2012-08-18 05:43:06.00
# MJD = 56157.238263899926
# EXPTIME = 600.0
# AIRMASS = --
# SLIT = --
# DISPERSER = --
# SOURCE = --
# FILTER =
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = --
# PHOTOMETRY_CALIBRATED =
# TELLURIC_CORRECTED =
# FLUX_UNITS = erg cm(-2) sec(-1) Ang(-1)
# WAVE_UNITS = Angstrom
# QUALITY = --
# MIN_WAVE = 3648.7087
# MAX_WAVE = 9251.067
# COMMENT = Released as part of DR1
 Wavelength            Flux           Error 
  3648.7087   2.2043789e-16   1.3903227e-17 
  3654.2336    1.480303e-16   1.3098782e-17 
  3659.7588     1.85501e-16   1.3078306e-17 
  3665.2837   2.0952641e-16    1.286332e-17 
  3670.8088   1.7065588e-16   1.2502597e-17 
  3676.3337   1.3849378e-16  1.21764055e-17 
   3681.859   1.6232827e-16   1.2191632e-17 
  3687.3838   2.0763354e-16   1.2443986e-17 
  3692.9087   1.9035105e-16   1.2065529e-17 
  3698.4338   1.7194119e-16   1.1694714e-17 
  3703.9587   1.8969992e-16   1.1801907e-17 
   3709.484   1.8484853e-16   1.1407966e-17 
  3715.0088   1.7953835e-16   1.1412164e-17 
   3720.534   1.8270113e-16   1.1286033e-17 
  3726.0588   1.7322969e-16   1.1176698e-17 
  3731.5837   1.6327714e-16   1.1002562e-17 
   3737.109   2.0942954e-16   1.1175273e-17 
  3742.6338   1.7159812e-16    1.075253e-17 
   3748.159   1.8432046e-16   1.0638652e-17 
  3753.6838    1.972302e-16   1.0548949e-17 
   3759.209   1.8354718e-16   1.0375424e-17 
   3764.734   1.6928268e-16   1.0069256e-17 
  3770.2588   1.8051995e-16  1.00928285e-17 
   3775.784   1.8884993e-16   1.0078756e-17 
  3781.3088   1.9828319e-16   1.0043493e-17 
   3786.834   1.7273236e-16    9.667467e-18 
   3792.359   2.1008793e-16     9.91277e-18 
   3797.884   1.8852125e-16    9.660149e-18 
   3803.409    1.884107e-16    9.598024e-18 
   3808.934   1.9921229e-16    9.576421e-18 
   3814.459   1.8872287e-16   9.3810595e-18 
   3819.984    1.727993e-16    9.238303e-18 
   3825.509   1.8468569e-16    9.238116e-18 
   3831.034   2.0018312e-16    9.326834e-18 
   3836.559   1.8838504e-16    9.149145e-18 
   3842.084   2.1424188e-16   9.2555555e-18 
  3847.6091   1.9300207e-16    8.996628e-18 
   3853.134   1.6438088e-16    8.647942e-18 
   3858.659   1.6140671e-16   8.5094435e-18 
   3864.184   1.8653866e-16    8.620137e-18 
   3869.709   1.7460397e-16    8.569634e-18 
  3875.2341   1.7898406e-16   8.4096765e-18 
   3880.759    1.727434e-16    8.301966e-18 
  3886.2842   1.5984132e-16    8.191937e-18 
   3891.809   1.8062194e-16    8.353785e-18 
   3897.334   1.7548614e-16    8.238987e-18 
  3902.8591   1.8038531e-16    8.299581e-18 
   3908.384   1.7077422e-16   8.1593195e-18 
  3913.9092   1.7132458e-16     8.19531e-18 
   3919.434   1.7041633e-16   8.0474326e-18 
  3924.9592   1.6181698e-16    7.896598e-18 
  3930.4841   1.9208582e-16    8.045205e-18 
  3936.0093   1.8521609e-16    7.905619e-18 
  3941.5342   1.9940398e-16    8.055906e-18 
   3947.059   1.6355357e-16    7.755455e-18 
  3952.5842   1.8470067e-16    7.851549e-18 
  3958.1091   1.8236855e-16    7.774368e-18 
  3963.6343    1.872826e-16    7.710756e-18 
  3969.1592    1.820813e-16   7.5896245e-18 
  3974.6843   1.9525293e-16    7.723974e-18 
  3980.2092   1.7932985e-16    7.676622e-18 
  3985.7341   1.7034903e-16    7.537089e-18 
  3991.2593   1.7918422e-16    7.554902e-18 
  3996.7842   1.7783036e-16   7.5147415e-18 
  4002.3093   1.8521421e-16    7.548168e-18 
  4007.8342   1.8774361e-16     7.56429e-18 
  4013.3594    1.905289e-16    7.602795e-18 
  4018.8843   1.7998599e-16     7.48467e-18 
  4024.4092    1.764467e-16    7.335351e-18 
  4029.9343   1.6946588e-16    7.307111e-18 
  4035.4592   1.7647092e-16    7.333464e-18 
  4040.9844   2.0532616e-16    7.492833e-18 
  4046.5093   1.9436954e-16    7.439107e-18 
  4052.0344   1.9578567e-16    7.417321e-18 
  4057.5593    1.738022e-16    7.279931e-18 
  4063.0845   1.9469694e-16    7.360759e-18 
  4068.6094   1.8602036e-16    7.289414e-18 
  4074.1343   1.8572964e-16     7.22056e-18 
  4079.6594    2.079488e-16   7.3764865e-18 
  4085.1843   1.8136382e-16    7.150862e-18 
  4090.7095   1.8893431e-16    7.155425e-18 
  4096.2344   1.9162262e-16    7.121078e-18 
  4101.7593   1.7757444e-16    6.994656e-18 
  4107.2847    1.828871e-16    7.034009e-18 
  4112.8096   1.8571866e-16    7.058412e-18 
  4118.3345   1.8391056e-16    7.043117e-18 
  4123.8594   1.9226766e-16    7.010345e-18 
  4129.3843   1.8455035e-16    7.033565e-18 
  4134.9097   1.7255288e-16   6.8552436e-18 
  4140.4346   1.9914034e-16    7.042044e-18 
  4145.9595   1.8758517e-16   6.9185436e-18 
  4151.4844    1.817632e-16   6.8909654e-18 
  4157.0093   1.6746293e-16   6.8030134e-18 
  4162.5347   1.8722402e-16    6.957439e-18 
  4168.0596   1.8334625e-16    6.887269e-18 
  4173.5845   1.8975106e-16    6.931906e-18 
  4179.1094   1.8959375e-16   6.8953267e-18 
   4184.635   1.8494411e-16   6.8161233e-18 
  4190.1597   1.9495138e-16    6.835055e-18 
  4195.6846    1.922246e-16   6.7635945e-18 
  4201.2095   1.7007706e-16    6.614028e-18 
  4206.7344    1.759018e-16   6.6465265e-18 
    4212.26   1.8140477e-16   6.6466464e-18 
  4217.7847   1.6689133e-16   6.5239065e-18 
  4223.3096   1.7618505e-16    6.554512e-18 
  4228.8345   1.7168584e-16   6.5757943e-18 
    4234.36   1.6197125e-16    6.463919e-18 
   4239.885   1.7717756e-16   6.6280746e-18 
  4245.4097    1.694948e-16   6.5286744e-18 
  4250.9346   1.6315367e-16   6.4325498e-18 
  4256.4595   1.6499237e-16   6.4719926e-18 
   4261.985   1.6184619e-16    6.445467e-18 
    4267.51   1.5811162e-16   6.3695587e-18 
  4273.0347   1.6044469e-16   6.3701696e-18 
  4278.5596   1.6527679e-16     6.36624e-18 
  4284.0845    1.577931e-16   6.3495567e-18 
    4289.61   1.6638925e-16    6.323143e-18 
   4295.135    1.720512e-16   6.4219288e-18 
  4300.6597   1.6776214e-16   6.3888717e-18 
  4306.1846   1.5526643e-16    6.310655e-18 
    4311.71   1.6932538e-16   6.4104773e-18 
   4317.235   1.6745794e-16   6.3602025e-18 
    4322.76   1.5414243e-16    6.230839e-18 
  4328.2847   1.6768236e-16   6.3204097e-18 
  4333.8096   1.6421473e-16   6.3299632e-18 
   4339.335   1.5300388e-16    6.140806e-18 
    4344.86   1.6592227e-16    6.266565e-18 
   4350.385   1.5926186e-16   6.2210728e-18 
  4355.9097    1.605362e-16   6.2148123e-18 
   4361.435   1.5438729e-16   6.2832383e-18 
    4366.96   1.4703513e-16    6.096481e-18 
   4372.485   1.6142446e-16    6.285083e-18 
    4378.01   1.6472064e-16    6.204417e-18 
  4383.5347    1.511503e-16   6.1480927e-18 
    4389.06   1.5148053e-16    6.097531e-18 
   4394.585    1.562567e-16   6.1725628e-18 
    4400.11   1.5363717e-16   6.1204868e-18 
   4405.635   1.6738661e-16    6.221228e-18 
  4411.1597   1.5667828e-16   6.1824397e-18 
   4416.685   1.6538358e-16   6.2402683e-18 
    4422.21   1.4284095e-16   6.0701694e-18 
   4427.735   1.5885875e-16    6.212176e-18 
    4433.26   1.6101477e-16   6.2213987e-18 
   4438.785    1.716304e-16   6.3001053e-18 
    4444.31   1.6729466e-16    6.188262e-18 
   4449.835   1.5840562e-16   6.1152884e-18 
    4455.36   1.5747142e-16   6.1070803e-18 
   4460.885    1.691001e-16   6.2025133e-18 
