# STATUS =
# OBJECT = SSS120810
# TELESCOPE = ESO-NTT
# INSTRUMENT = EFOSC2-NTT
# DATE-OBS = 2012-10-15 06:54:48.00
# MJD = 56215.28805560013
# EXPTIME = 1800.0
# AIRMASS = --
# SLIT = --
# DISPERSER = --
# SOURCE = --
# FILTER =
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = --
# PHOTOMETRY_CALIBRATED =
# TELLURIC_CORRECTED =
# FLUX_UNITS = erg cm(-2) sec(-1) Ang(-1)
# WAVE_UNITS = Angstrom
# QUALITY = --
# MIN_WAVE = 3647.4006
# MAX_WAVE = 9248.542
# COMMENT = Released as part of DR1
 Wavelength            Flux          Error 
  3647.4006   3.9683953e-18   5.217464e-18 
  3652.9246   -5.934299e-18   5.475701e-18 
  3658.4482   8.7540425e-18  5.6547225e-18 
  3663.9722    4.410997e-18   5.698184e-18 
  3669.4958   1.2428682e-17   5.923028e-18 
  3675.0198   3.3261938e-17   6.367765e-18 
  3680.5435   4.6166444e-19  6.3343436e-18 
  3686.0674  1.10485216e-17  6.6357037e-18 
  3691.5913   1.4250537e-17  7.0069295e-18 
   3697.115     8.58382e-18   7.064281e-18 
   3702.639  -5.6744817e-18   7.012715e-18 
  3708.1626    4.887026e-19   6.962327e-18 
  3713.6865   8.9923615e-18   6.999985e-18 
  3719.2102  1.34615935e-17    7.28784e-18 
  3724.7341    8.203027e-18   7.304617e-18 
  3730.2578  -1.3077597e-17   7.457161e-18 
  3735.7817   1.5424022e-17  7.3992935e-18 
  3741.3054   1.5193448e-17   7.205549e-18 
  3746.8293   1.0228874e-17   6.916818e-18 
   3752.353   1.2445276e-17    6.67284e-18 
   3757.877    4.714574e-18  6.4211955e-18 
  3763.4006    8.728367e-18   6.461123e-18 
  3768.9246   2.0401905e-17  6.4737198e-18 
  3774.4482   -8.005927e-18   6.287747e-18 
  3779.9722   5.5704456e-18  6.2339594e-18 
  3785.4958   2.9167623e-17  6.4030153e-18 
  3791.0198   6.2721384e-18  6.0480233e-18 
  3796.5435   2.1329317e-17  6.1407076e-18 
  3802.0674   1.9392614e-17   6.122321e-18 
   3807.591   1.6436802e-17  6.0932825e-18 
   3813.115   9.2468296e-18   6.110315e-18 
  3818.6387   1.4052729e-18   6.183669e-18 
  3824.1626  -2.8551094e-18  6.2478606e-18 
  3829.6863    1.896781e-17  6.2383327e-18 
  3835.2102   1.8667942e-18  6.1200194e-18 
   3840.734     3.20565e-18   5.911547e-18 
  3846.2578   2.1851064e-17   5.999375e-18 
  3851.7815   1.8317342e-17   5.886701e-18 
  3857.3054  -1.0530657e-17   5.637041e-18 
  3862.8293   1.3885722e-17  5.5574245e-18 
   3868.353   6.0049102e-18  5.3998284e-18 
   3873.877   1.1874063e-17    5.32197e-18 
  3879.4006   1.1731087e-17  5.2389017e-18 
  3884.9246    1.770484e-17  5.1858633e-18 
  3890.4482   1.0872353e-17  5.1335205e-18 
  3895.9722   2.0787938e-18   5.225383e-18 
  3901.4958   6.3469337e-18  5.2960355e-18 
  3907.0198   6.5965354e-18  5.3363084e-18 
  3912.5435    6.531626e-18   5.276922e-18 
  3918.0674   2.1548081e-17  5.1247404e-18 
   3923.591   2.1033535e-17  4.9643704e-18 
   3929.115   -5.710245e-18  4.7566066e-18 
  3934.6387   8.2997905e-18  4.8503766e-18 
  3940.1626   1.0728204e-17  4.9258113e-18 
  3945.6863   1.2588971e-17  4.9320954e-18 
  3951.2102   1.0421681e-17   4.775204e-18 
   3956.734  1.02525745e-17  4.6611425e-18 
  3962.2578   8.4820175e-18  4.5182148e-18 
  3967.7815  -1.1232665e-18   4.473877e-18 
  3973.3054   5.8865324e-18    4.54681e-18 
   3978.829   5.2830636e-18  4.5244757e-18 
   3984.353     7.73442e-18  4.6293883e-18 
  3989.8767    9.832922e-18   4.563184e-18 
  3995.4006   1.0305197e-17   4.542767e-18 
  4000.9243    9.323605e-18    4.53669e-18 
  4006.4482   1.3799302e-17   4.711207e-18 
   4011.972    7.015243e-18  4.7172328e-18 
  4017.4958   2.1429654e-17   4.684484e-18 
  4023.0195   7.0197665e-18    4.52244e-18 
  4028.5435   1.9363314e-17  4.5575807e-18 
  4034.0671    1.690473e-17   4.540495e-18 
   4039.591   7.1113065e-18  4.5093346e-18 
