                MJD               R_low               R_med              R_high               T_low               T_med              T_high                   L_low                   L_med                  L_high 
           56233.13                 0.0                 0.0                 0.0                 nan                 nan                 nan  3.7664910589153693e+30  1.5084201907202557e+31    9.73902367293634e+31 
 56237.456666666665                 0.0                 0.0                 0.0                 nan                 nan                 nan  3.7664910589153693e+30  1.5084201907202557e+31    9.73902367293634e+31 
  56241.78333333333                 0.0                 0.0                 0.0                 nan                 nan                 nan  3.7664910589153693e+30  1.5084201907202557e+31    9.73902367293634e+31 
           56246.11                 0.0                 0.0                 0.0                 nan                 nan                 nan  3.7664910589153693e+30  1.5084201907202557e+31    9.73902367293634e+31 
  56250.43666666666                 0.0                 0.0                 0.0                 nan                 nan                 nan  3.7664910589153693e+30  1.5084201907202557e+31    9.73902367293634e+31 
  56254.76333333333                 0.0                 0.0                 0.0                 nan                 nan                 nan  3.7664910589153693e+30  1.5084201907202557e+31    9.73902367293634e+31 
           56259.09                 0.0                 0.0                 0.0                 nan                 nan                 nan  3.7664910589153693e+30  1.5084201907202557e+31    9.73902367293634e+31 
 56263.416666666664                 0.0                 0.0                 0.0                 nan                 nan                 nan  3.7664910589153693e+30  1.5084201907202557e+31    9.73902367293634e+31 
  56267.74333333333                 0.0                 0.0                 0.0                 nan                 nan                 nan  3.7664910589153693e+30  1.5084201907202557e+31    9.73902367293634e+31 
           56272.07                 0.0                 0.0                 0.0                 nan                 nan                 nan  3.7664910589153693e+30  1.5084201907202557e+31    9.73902367293634e+31 
  56276.39666666667                 0.0                 0.0                 0.0                 nan                 nan                 nan  3.7664910589153693e+30  1.5084201907202557e+31    9.73902367293634e+31 
  56280.72333333333                 0.0                 0.0                 0.0                 nan                 nan                 nan  3.7664910589153693e+30  1.5084201907202557e+31    9.73902367293634e+31 
 56285.049999999996                 0.0                 0.0                 0.0                 nan                 nan                 nan  3.7664910589153693e+30  1.5084201907202557e+31    9.73902367293634e+31 
  56289.37666666666                 0.0                 0.0                 0.0                 nan                 nan                 nan  3.7664910589153693e+30  1.5084201907202557e+31    9.73902367293634e+31 
  56293.70333333333                 0.0                 0.0                 0.0                 nan                 nan                 nan  3.7664910589153693e+30  1.5084201907202557e+31    9.73902367293634e+31 
           56298.03                 0.0                 0.0                 0.0                 nan                 nan                 nan  3.7664910589153693e+30  1.5084201907202557e+31    9.73902367293634e+31 
  56302.35666666667                 0.0                 0.0                 0.0                 nan                 nan                 nan  3.7664910589153693e+30  1.5084201907202557e+31    9.73902367293634e+31 
 56306.683333333334                 0.0                 0.0                 0.0                 nan                 nan                 nan  3.7664910589153693e+30  1.5084201907202557e+31    9.73902367293634e+31 
 56311.009999999995                 0.0                 0.0                 0.0                 nan                 nan                 nan  3.7664910589153693e+30  1.5084201907202557e+31    9.73902367293634e+31 
  56315.33666666666                 0.0                 0.0                 0.0                 nan                 nan                 nan  3.7664910589153693e+30  1.5084201907202557e+31    9.73902367293634e+31 
  56319.66333333333                 0.0                 0.0                 0.0                 nan                 nan                 nan  3.7664910589153693e+30  1.5084201907202557e+31    9.73902367293634e+31 
           56323.99                 0.0                 0.0                 0.0                 nan                 nan                 nan  3.7664910589153693e+30  1.5084201907202557e+31    9.73902367293634e+31 
 56328.316666666666                 0.0                 0.0                 0.0                 nan                 nan                 nan  3.7664910589153693e+30  1.5084201907202557e+31    9.73902367293634e+31 
  56332.64333333333                 0.0                 0.0                 0.0                 nan                 nan                 nan  3.7664910589153693e+30  1.5084201907202557e+31    9.73902367293634e+31 
           56336.97                 0.0                 0.0                 0.0                 nan                 nan                 nan  3.7664910589153693e+30  1.5084201907202557e+31    9.73902367293634e+31 
  56341.29666666666                 0.0                 0.0                 0.0                 nan                 nan                 nan  3.7664910589153693e+30  1.5084201907202557e+31    9.73902367293634e+31 
  56345.62333333333                 0.0                 0.0                 0.0                 nan                 nan                 nan  3.7664910589153693e+30  1.5084201907202557e+31    9.73902367293634e+31 
           56349.95                 0.0                 0.0                 0.0                 nan                 nan                 nan  3.7664910589153693e+30  1.5084201907202557e+31    9.73902367293634e+31 
 56354.276666666665                 0.0                 0.0                 0.0                 nan                 nan                 nan  3.7664910589153693e+30  1.5084201907202557e+31    9.73902367293634e+31 
  56358.60333333333                 0.0                 0.0                 0.0                 nan                 nan                 nan  3.7664910589153693e+30  1.5084201907202557e+31    9.73902367293634e+31 
           56362.93                 0.0                 0.0                 0.0                 nan                 nan                 nan  3.7664910589153693e+30  1.5084201907202557e+31    9.73902367293634e+31 
  56367.25666666666                 0.0                 0.0                 0.0                 nan                 nan                 nan  3.7664910589153693e+30  1.5084201907202557e+31    9.73902367293634e+31 
  56371.58333333333                 0.0                 0.0                 0.0                 nan                 nan                 nan  3.7664910589153693e+30  1.5084201907202557e+31    9.73902367293634e+31 
 56375.909999999996                 0.0                 0.0                 0.0                 nan                 nan                 nan  3.7664910589153693e+30  1.5084201907202557e+31    9.73902367293634e+31 
 56380.236666666664                 0.0                 0.0                 0.0                 nan                 nan                 nan  3.7664910589153693e+30  1.5084201907202557e+31    9.73902367293634e+31 
  56384.56333333333                 0.0                 0.0                 0.0                 nan                 nan                 nan  3.7664910589153693e+30  1.5084201907202557e+31    9.73902367293634e+31 
           56388.89                 0.0                 0.0                 0.0                 nan                 nan                 nan  3.7664910589153693e+30  1.5084201907202557e+31    9.73902367293634e+31 
  56393.21666666667                 0.0                 0.0                 0.0                 nan                 nan                 nan  3.7664910589153693e+30  1.5084201907202557e+31    9.73902367293634e+31 
  56397.54333333333                 0.0                 0.0                 0.0                 nan                 nan                 nan  3.7664910589153693e+30  1.5084201907202557e+31    9.73902367293634e+31 
 56401.869999999995                 0.0                 0.0                 0.0                 nan                 nan                 nan  3.7664910589153693e+30  1.5084201907202557e+31    9.73902367293634e+31 
  56406.19666666666                 0.0                 0.0                 0.0                 nan                 nan                 nan  3.7664910589153693e+30  1.5084201907202557e+31    9.73902367293634e+31 
  56410.52333333333                 0.0                 0.0                 0.0                 nan                 nan                 nan  3.7664910589153693e+30  1.5084201907202557e+31    9.73902367293634e+31 
           56414.85                 0.0                 0.0                 0.0                 nan                 nan                 nan  3.7664910589153693e+30  1.5084201907202557e+31    9.73902367293634e+31 
 56419.176666666666                 0.0                 0.0                 0.0                 nan                 nan                 nan  3.7664910589153693e+30  1.5084201907202557e+31    9.73902367293634e+31 
 56423.503333333334                 0.0                 0.0                 0.0                 nan                 nan                 nan  3.7664910589153693e+30  1.5084201907202557e+31    9.73902367293634e+31 
 56427.829999999994                 0.0                 0.0                 0.0                 nan                 nan                 nan  3.7664910589153693e+30  1.5084201907202557e+31    9.73902367293634e+31 
  56432.15666666666                 0.0                 0.0                 0.0                 nan                 nan                 nan  3.7664910589153693e+30  1.5084201907202557e+31    9.73902367293634e+31 
  56436.48333333333                 0.0                 0.0                 0.0                 nan                 nan                 nan  3.7664910589153693e+30  1.5084201907202557e+31    9.73902367293634e+31 
           56440.81                 0.0                 0.0                 0.0                 nan                 nan                 nan  3.7664910589153693e+30  1.5084201907202557e+31    9.73902367293634e+31 
 56445.136666666665                 0.0                 0.0                 0.0                 nan                 nan                 nan  3.7664910589153693e+30  1.5084201907202557e+31    9.73902367293634e+31 
  56449.46333333333                 0.0                 0.0                 0.0                 nan                 nan                 nan  3.7664910589153693e+30  1.5084201907202557e+31    9.73902367293634e+31 
