 log(Bfield)      Mns     Pspin  cutoff_power  cutoff_wavelength  fnickel    kappa  kappagamma   mejecta  log(nhhost)  temperature  texplosion  thetaPB     vejecta      A_V        MJD_0   log(KE)      M_Ni  Peak_mag     Peak_MJD 
    12.50783  1.91099  27.10928       0.06772         3682.38772  0.32767  0.09143      0.0114  46.67892     17.16904   4347.38903  -139.44513  0.81846  2116.18281    8e-05  56247.82587  51.37603  29.15675  21.10333  56465.00671 
    14.70585  1.57412   1.07926       0.45528         4277.23766  0.43387  0.20442     0.01214  97.08088     19.43055   6234.26124  -138.60327  0.20148  1793.00816  0.01497  56248.66773  51.28093  43.20142  20.96637  56473.29957 
    13.19649  1.53346  15.91329        2.1161         3165.95655  0.32111   0.0841     0.10893   31.7208     16.76941   5041.79847   -68.48539  0.04837  3399.60022    3e-05  56318.78561  51.75962  26.77867  20.99393  56484.35671 
    13.02107  1.65822  28.32118       1.68468         2829.88314  0.18952  0.05199     0.39625  58.00896     16.49312   3984.59019   -48.06245  1.34484   4691.1132    2e-05  56339.20855  52.08255  17.45916  20.97848  56459.47814 
    14.08067   1.6656  10.27164        4.2207         3163.99808  0.25545  0.07501     0.04739  64.60544     19.98408   4851.13079   -83.48714   0.3073  2829.10003  0.05356  56303.78386  51.65058  23.93117  20.93465  56514.76386 
    12.01546  1.86374  14.58421       0.73898         3298.26152  0.31839  0.10373     0.13388   71.9828     19.68329   3302.51821  -124.11705   0.3165  2376.34995  0.02679  56263.15395  51.50629  30.32563  20.95182  56495.41386 
    13.32606  1.27811    3.4389       1.48735          2367.4816  0.46837  0.16339     0.01097  21.96209     20.09217   9240.17183   -58.26017  0.50453  4330.58247  0.06869  56329.01083  51.94125  36.56949  20.75829  56528.58529 
    13.65751  1.38534  18.44075       0.29441         3712.36073  0.24036  0.07074     0.02658  70.45252     17.00582   6151.99162    -91.4739  1.30202  2897.36797    6e-05   56295.7971  51.67706  22.81809   20.9156  56495.41386 
    12.59931  1.51014   9.80535       1.28503         3367.72767  0.13736  0.02787     0.07543  93.39336     20.54649   3543.48494   -77.26608  1.01733  3113.86431  0.19553  56310.00492  51.75791  13.60018  20.99265    56487.121 
      14.664  1.65361   6.22422        4.2065         3473.92476  0.44363  0.10073     0.07108  14.62642      19.0533   4023.66489   -13.86008   1.5512  4065.07547  0.00628  56373.41092   51.8523     32.03  20.94502  56476.06386 
