# STATUS =
# OBJECT = iPTF13bjz
# TELESCOPE = P200
# INSTRUMENT = DBSP
# DATE-OBS = 2013-06-03 00:00:00.00
# MJD = 56446.00
# EXPTIME = 0
# AIRMASS =
# SLIT = 0
# DISPERSER =
# SOURCE =
# FILTER =
# RESOLUTION =
# FLUX_STANDARD = True
# EXTINCTION_CORRECTED = True
# PHOTOMETRY_CALIBRATED = True
# TELLURIC_CORRECTED = True
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# COMMENT =
    Wavelength       Flux
3000.000000 2.734042e+00
3010.000000 2.728996e+00
3020.000000 2.531262e+00
3030.000000 2.591519e+00
3040.000000 2.780289e+00
3050.000000 2.673286e+00
3060.000000 2.573150e+00
3070.000000 2.521383e+00
3080.000000 2.666652e+00
3090.000000 2.435021e+00
3100.000000 2.450028e+00
3110.000000 2.452534e+00
3120.000000 2.411538e+00
3130.000000 2.413733e+00
3140.000000 2.377666e+00
3150.000000 2.380476e+00
3160.000000 2.307995e+00
3170.000000 2.409040e+00
3180.000000 2.395760e+00
3190.000000 2.501642e+00
3200.000000 2.350782e+00
3210.000000 2.228624e+00
3220.000000 2.408415e+00
3230.000000 2.377127e+00
3240.000000 2.371611e+00
3250.000000 2.566652e+00
3260.000000 2.346339e+00
3270.000000 2.519809e+00
3280.000000 2.406319e+00
3290.000000 2.406089e+00
3300.000000 2.386258e+00
3310.000000 2.378346e+00
3320.000000 2.302168e+00
3330.000000 2.188435e+00
3340.000000 2.270976e+00
3350.000000 2.307427e+00
3360.000000 2.240877e+00
3370.000000 2.242769e+00
3380.000000 2.256728e+00
3390.000000 2.235518e+00
3400.000000 2.220247e+00
3410.000000 2.216168e+00
3420.000000 2.255300e+00
3430.000000 2.072370e+00
3440.000000 2.191796e+00
3450.000000 2.279637e+00
3460.000000 2.226639e+00
3470.000000 2.097453e+00
3480.000000 2.129572e+00
3490.000000 2.135746e+00
3500.000000 2.095778e+00
3510.000000 2.159199e+00
3520.000000 2.097528e+00
3530.000000 2.122898e+00
3540.000000 2.131039e+00
3550.000000 2.166316e+00
3560.000000 2.054309e+00
3570.000000 2.065736e+00
3580.000000 2.075659e+00
3590.000000 2.063282e+00
3600.000000 2.104801e+00
3610.000000 2.019696e+00
3620.000000 2.054045e+00
3630.000000 2.103201e+00
3640.000000 1.904493e+00
3650.000000 2.068065e+00
3660.000000 2.065926e+00
3670.000000 1.904500e+00
3680.000000 1.947404e+00
3690.000000 1.968312e+00
3700.000000 1.912578e+00
3710.000000 1.965026e+00
3720.000000 1.967725e+00
3730.000000 1.949611e+00
3740.000000 1.898472e+00
3750.000000 1.910186e+00
3760.000000 1.932286e+00
3770.000000 1.894597e+00
3780.000000 1.797047e+00
3790.000000 1.933664e+00
3800.000000 1.814507e+00
3810.000000 1.911704e+00
3820.000000 1.873269e+00
3830.000000 1.796505e+00
3840.000000 1.780043e+00
3850.000000 1.802045e+00
3860.000000 1.787974e+00
3870.000000 1.890363e+00
3880.000000 1.854869e+00
3890.000000 1.857899e+00
3900.000000 1.742122e+00
3910.000000 1.774611e+00
3920.000000 1.715953e+00
3930.000000 1.749610e+00
3940.000000 1.711004e+00
3950.000000 1.637689e+00
3960.000000 1.667354e+00
3970.000000 1.686519e+00
3980.000000 1.687700e+00
3990.000000 1.664529e+00
4000.000000 1.565683e+00
4010.000000 1.724039e+00
4020.000000 1.637288e+00
4030.000000 1.624721e+00
4040.000000 1.588077e+00
4050.000000 1.575241e+00
4060.000000 1.588139e+00
4070.000000 1.551406e+00
4080.000000 1.506956e+00
4090.000000 1.520106e+00
4100.000000 1.514419e+00
4110.000000 1.572252e+00
4120.000000 1.507645e+00
4130.000000 1.582943e+00
4140.000000 1.481321e+00
4150.000000 1.535323e+00
4160.000000 1.424441e+00
4170.000000 1.409331e+00
4180.000000 1.400233e+00
4190.000000 1.586357e+00
4200.000000 1.475934e+00
4210.000000 1.476860e+00
4220.000000 1.607086e+00
4230.000000 1.402719e+00
4240.000000 1.437069e+00
4250.000000 1.442908e+00
4260.000000 1.341030e+00
4270.000000 1.392447e+00
4280.000000 1.463600e+00
4290.000000 1.389266e+00
4300.000000 1.394118e+00
4310.000000 1.340218e+00
4320.000000 1.456539e+00
4330.000000 1.406315e+00
4340.000000 1.486654e+00
4350.000000 1.495818e+00
4360.000000 1.386666e+00
4370.000000 1.405798e+00
4380.000000 1.480264e+00
4390.000000 8.819098e-01
4400.000000 1.396835e+00
4410.000000 1.317785e+00
4420.000000 1.383669e+00
4430.000000 1.287965e+00
4440.000000 1.266185e+00
4450.000000 1.290561e+00
4460.000000 1.286476e+00
4470.000000 1.296470e+00
