# STATUS =
# OBJECT = iPTF13bjz
# TELESCOPE = Keck1
# INSTRUMENT = LRIS
# DATE-OBS = 2013-06-09 07:20:37.00
# MJD = 56452.305983799975
# EXPTIME = --
# AIRMASS = --
# SLIT = --
# DISPERSER = --
# SOURCE = 2021ApJS..255...29S
# FILTER =
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = --
# PHOTOMETRY_CALIBRATED =
# TELLURIC_CORRECTED =
# FLUX_UNITS = erg cm(-2) sec(-1) Ang(-1)
# WAVE_UNITS = Angstrom
# QUALITY = --
# MIN_WAVE = 3080.406
# MAX_WAVE = 10284.0547
# COMMENT = --
 Wavelength          Flux        Error 
  3082.3489   1.67164e-16  6.58804e-16 
  3084.2922   5.65449e-17  5.33827e-16 
  3086.2366   2.01441e-16  5.50112e-16 
  3088.1814   1.62611e-16  4.50645e-16 
   3090.127   1.22346e-16   4.2112e-16 
   3092.073   9.68734e-17  4.86117e-16 
  3094.0198   1.72543e-16  3.15407e-16 
  3095.9673   2.73748e-16  3.24655e-16 
  3097.9153   8.66529e-17  3.29924e-16 
   3099.864   1.48064e-16  3.70682e-16 
  3101.8132   1.28919e-16  3.22409e-16 
  3103.7632   6.35923e-17  3.55254e-16 
  3105.7139   6.74129e-17   3.1691e-16 
   3107.665   1.32959e-16  3.30531e-16 
  3109.6169   2.08118e-16  2.85904e-16 
  3111.5696   1.64121e-16  2.59336e-16 
  3113.5227   1.77554e-16  2.66765e-16 
  3115.4763   1.41939e-16   2.8108e-16 
  3117.4309   1.66746e-16  2.72322e-16 
  3119.3857   1.40133e-16  2.22167e-16 
  3121.3416   1.15408e-16  2.48789e-16 
  3123.2976   1.50917e-16  2.43999e-16 
  3125.2546   2.01406e-16  1.85929e-16 
  3127.2122   1.95362e-16  2.18384e-16 
  3129.1704   1.83303e-16  2.33044e-16 
  3131.1292   1.62619e-16  2.11174e-16 
  3133.0884    2.2457e-16  2.21322e-16 
  3135.0486   1.18873e-16  2.34809e-16 
  3137.0093   9.76984e-17  2.56763e-16 
  3138.9705   1.62279e-16   2.9414e-16 
  3140.9324   1.96969e-16   3.7639e-16 
  3142.8948   1.84419e-16  4.64059e-16 
  3144.8579   9.32932e-17  4.95732e-16 
  3146.8215   1.35079e-16   4.4537e-16 
  3148.7859   1.41438e-16  4.24811e-16 
   3150.751   1.23628e-16  3.71765e-16 
  3152.7166   1.44797e-16  3.22871e-16 
  3154.6826    1.5353e-16  2.64549e-16 
  3156.6494   1.79258e-16  2.61888e-16 
  3158.6169   1.56675e-16  2.37184e-16 
   3160.585   1.69384e-16  2.54113e-16 
  3162.5535   1.10883e-16  2.44583e-16 
  3164.5227   1.62109e-16  2.53866e-16 
  3166.4924   1.46467e-16  2.76191e-16 
  3168.4629   1.46063e-16   2.2414e-16 
  3170.4341   1.34872e-16  1.95819e-16 
  3172.4055   1.58265e-16  2.10224e-16 
  3174.3777   1.24663e-16  1.86906e-16 
  3176.3506   1.37072e-16  1.62229e-16 
  3178.3242   1.38719e-16   1.7211e-16 
  3180.2981   1.59412e-16  1.51551e-16 
  3182.2727   1.54892e-16  1.57726e-16 
   3184.248   1.57753e-16   1.6221e-16 
  3186.2239   1.66886e-16  1.69269e-16 
  3188.2002    1.5949e-16  1.84481e-16 
  3190.1772   1.56347e-16  1.50067e-16 
  3192.1548   1.52973e-16  1.55457e-16 
  3194.1331   1.59184e-16  1.40196e-16 
  3196.1118   1.36326e-16  1.64949e-16 
  3198.0913    1.4794e-16  1.47267e-16 
   3200.071   1.10369e-16  1.61695e-16 
  3202.0518   1.63138e-16   1.4881e-16 
  3204.0327   1.21447e-16  1.84253e-16 
  3206.0144   1.86414e-16  1.85734e-16 
  3207.9968   1.59813e-16  2.59874e-16 
  3209.9797   1.89065e-16  3.57048e-16 
  3211.9631   1.74252e-16  3.73076e-16 
  3213.9473   1.86093e-16  3.71596e-16 
  3215.9319   1.49598e-16  3.10854e-16 
   3217.917   1.53599e-16  2.98548e-16 
  3219.9028    1.8921e-16  2.51092e-16 
  3221.8892    1.4204e-16  2.45818e-16 
  3223.8762    1.2687e-16  2.40375e-16 
  3225.8638   1.63269e-16  2.16331e-16 
  3227.8518   1.51202e-16  2.37333e-16 
  3229.8403   1.55826e-16  2.23881e-16 
  3231.8296   1.45428e-16  2.32354e-16 
  3233.8196    1.5425e-16  2.25265e-16 
  3235.8098   1.77325e-16   2.0207e-16 
  3237.8008   1.76763e-16  1.99634e-16 
  3239.7925   1.74759e-16  1.69522e-16 
  3241.7844   1.77114e-16  1.74159e-16 
  3243.7771   1.61275e-16  1.58084e-16 
  3245.7703   1.66424e-16  1.46781e-16 
  3247.7642    1.8931e-16  1.36372e-16 
  3249.7585   1.55749e-16  1.31158e-16 
  3251.7534   1.97842e-16  1.30921e-16 
  3253.7488    1.7398e-16  1.36189e-16 
  3255.7449   1.68109e-16  1.89096e-16 
  3257.7415   1.67477e-16  2.05256e-16 
  3259.7388   1.79488e-16  2.33111e-16 
  3261.7363   1.71447e-16  2.34605e-16 
  3263.7346   1.86177e-16   2.2486e-16 
  3265.7334   1.89003e-16  2.11405e-16 
  3267.7329   1.86438e-16  2.13902e-16 
  3269.7329   1.73694e-16  2.18807e-16 
  3271.7334   1.69361e-16  1.99023e-16 
  3273.7344   1.71388e-16  1.73175e-16 
  3275.7361   1.78248e-16  1.60979e-16 
  3277.7383   1.67899e-16  1.62233e-16 
   3279.741   1.83328e-16  1.47775e-16 
  3281.7441   1.76763e-16  1.49742e-16 
   3283.748    1.9243e-16  1.67813e-16 
  3285.7522   1.80309e-16  1.80811e-16 
  3287.7571   1.38518e-16  2.04876e-16 
  3289.7627   1.66832e-16  2.04337e-16 
  3291.7688    2.0005e-16  2.51989e-16 
  3293.7751   2.03081e-16  2.93998e-16 
  3295.7822   1.75108e-16  2.99633e-16 
  3297.7898    1.7089e-16  2.86065e-16 
  3299.7981   1.94572e-16  2.52916e-16 
  3301.8066   1.81137e-16  2.34648e-16 
  3303.8159   1.52231e-16  2.03935e-16 
  3305.8257   1.53787e-16  1.89464e-16 
  3307.8362   1.84668e-16  1.85482e-16 
  3309.8469   1.88656e-16  1.92967e-16 
  3311.8584   1.99985e-16  2.00773e-16 
  3313.8701   1.79466e-16  2.06624e-16 
  3315.8828   2.06828e-16  2.15117e-16 
  3317.8958   1.95583e-16  2.51723e-16 
  3319.9092    1.9242e-16  2.44837e-16 
  3321.9231    1.9916e-16  2.14747e-16 
  3323.9377   2.05604e-16  2.07825e-16 
  3325.9529   1.90174e-16  1.83899e-16 
  3327.9685   2.23489e-16  1.72231e-16 
  3329.9846   1.80168e-16  1.56439e-16 
  3332.0015   2.12432e-16  1.49662e-16 
  3334.0186   1.98506e-16  1.41426e-16 
  3336.0364   1.91523e-16  1.25793e-16 
  3338.0547   1.70811e-16  1.32589e-16 
  3340.0735   1.80316e-16  1.29431e-16 
  3342.0928   1.98235e-16  1.27066e-16 
  3344.1125   2.01215e-16  1.21711e-16 
  3346.1328   1.83303e-16  1.16452e-16 
  3348.1538   1.84226e-16  1.09949e-16 
   3350.175    1.8283e-16  1.18582e-16 
   3352.197    1.8622e-16  1.11846e-16 
  3354.2195    1.9142e-16  1.08453e-16 
  3356.2422   1.75299e-16  1.02318e-16 
  3358.2656   1.76632e-16  1.15335e-16 
  3360.2898   1.78879e-16  1.13765e-16 
  3362.3142   1.75211e-16  1.13677e-16 
  3364.3391   1.76489e-16  1.20473e-16 
  3366.3645   1.66334e-16  1.78506e-16 
  3368.3906   1.80322e-16  2.44134e-16 
   3370.417   1.91328e-16  2.94384e-16 
  3372.4441   1.81556e-16  2.92443e-16 
  3374.4717   1.77235e-16  2.58428e-16 
  3376.4998   2.05923e-16  2.33556e-16 
  3378.5283   1.75884e-16  2.26193e-16 
  3380.5571   1.84448e-16  2.01608e-16 
  3382.5869   1.62439e-16  1.85616e-16 
  3384.6167   1.73696e-16  1.73954e-16 
  3386.6472   1.77921e-16  1.56901e-16 
  3388.6785   1.69419e-16  1.53033e-16 
    3390.71   1.61211e-16  1.45139e-16 
  3392.7419   1.70968e-16  1.41898e-16 
  3394.7744   1.68723e-16  1.42984e-16 
  3396.8076   1.77148e-16  1.41026e-16 
  3398.8411   1.66293e-16  1.33023e-16 
   3400.875   1.75443e-16  1.15676e-16 
  3402.9097   1.71248e-16  1.11134e-16 
  3404.9446   1.78211e-16  1.12685e-16 
    3406.98     1.758e-16  1.06187e-16 
  3409.0161   1.69777e-16   1.1084e-16 
  3411.0525   1.57466e-16  1.09074e-16 
  3413.0896   1.71141e-16  1.12023e-16 
   3415.127   1.85121e-16  1.21596e-16 
   3417.165   1.83537e-16  1.24767e-16 
  3419.2034   1.53618e-16  1.37789e-16 
  3421.2422   1.74459e-16  1.39382e-16 
  3423.2817   1.71481e-16  1.40439e-16 
  3425.3215   1.82392e-16  1.42146e-16 
  3427.3621   1.64465e-16  1.38354e-16 
  3429.4028   1.47771e-16  1.43694e-16 
  3431.4441   1.69845e-16  1.29289e-16 
  3433.4861   1.56054e-16  1.42246e-16 
  3435.5283    1.6614e-16  1.45498e-16 
   3437.571    1.6064e-16  1.55015e-16 
  3439.6143   1.52765e-16  1.43239e-16 
  3441.6582   1.44126e-16  1.33364e-16 
  3443.7024   1.61445e-16  1.22713e-16 
  3445.7471   1.50089e-16  1.19067e-16 
   3447.792   1.76368e-16   1.2735e-16 
  3449.8379   1.54453e-16  1.56474e-16 
  3451.8838   1.54351e-16  1.80137e-16 
  3453.9304    1.6368e-16  1.87433e-16 
  3455.9775   1.51074e-16  1.79307e-16 
  3458.0249   1.58992e-16  1.56779e-16 
   3460.073   1.66213e-16  1.49137e-16 
  3462.1216   1.81577e-16  1.37182e-16 
  3464.1704   1.65563e-16  1.25494e-16 
  3466.2197   1.54379e-16  1.27261e-16 
  3468.2695      1.72e-16  1.19404e-16 
  3470.3198   1.72684e-16  1.11879e-16 
  3472.3706   1.69244e-16  1.11176e-16 
  3474.4221   1.51809e-16  1.12737e-16 
  3476.4736   1.58373e-16  1.32707e-16 
  3478.5259   1.79254e-16  1.69014e-16 
  3480.5786    1.7438e-16  2.10833e-16 
  3482.6316   1.62869e-16  2.28981e-16 
  3484.6851   1.59559e-16  2.11828e-16 
   3486.739   1.80464e-16  1.98997e-16 
  3488.7937   1.72863e-16  1.80953e-16 
  3490.8484   1.67441e-16  1.64161e-16 
