       MJD    Upper     Mean    Lower   Cenwave  Zeropoint  Filter 
 56474.362     99.0     99.0     99.0   3608.04     3631.0       u 
 56475.614     99.0     99.0     99.0   3608.04     3631.0       u 
 56476.865     99.0     99.0     99.0   3608.04     3631.0       u 
 56478.117     99.0     99.0     99.0   3608.04     3631.0       u 
 56479.368     99.0     99.0     99.0   3608.04     3631.0       u 
  56480.62     99.0     99.0     99.0   3608.04     3631.0       u 
 56481.871     99.0     99.0     99.0   3608.04     3631.0       u 
 56483.123     99.0     99.0     99.0   3608.04     3631.0       u 
 56484.375     99.0     99.0     99.0   3608.04     3631.0       u 
 56485.626     99.0     99.0  -17.814   3608.04     3631.0       u 
 56486.878     99.0     99.0  -19.501   3608.04     3631.0       u 
 56488.129     99.0     99.0  -20.115   3608.04     3631.0       u 
 56489.381     99.0  -19.399  -20.469   3608.04     3631.0       u 
 56490.632     99.0  -20.184  -20.716   3608.04     3631.0       u 
 56491.884  -16.676  -20.556  -20.908   3608.04     3631.0       u 
 56493.136   -19.96  -20.757  -21.036   3608.04     3631.0       u 
 56494.387  -20.525  -20.907  -21.148   3608.04     3631.0       u 
 56495.639  -20.763  -21.039  -21.233   3608.04     3631.0       u 
  56496.89  -20.896  -21.131  -21.292   3608.04     3631.0       u 
 56498.142  -20.986  -21.191  -21.329   3608.04     3631.0       u 
 56499.393  -21.052  -21.235  -21.361   3608.04     3631.0       u 
 56500.645  -21.115  -21.261  -21.381   3608.04     3631.0       u 
 56501.897  -21.145  -21.277  -21.388   3608.04     3631.0       u 
 56503.148  -21.152  -21.279  -21.382   3608.04     3631.0       u 
   56504.4  -21.144  -21.274  -21.373   3608.04     3631.0       u 
 56505.651  -21.123   -21.26  -21.354   3608.04     3631.0       u 
 56506.277  -21.107  -21.244  -21.345   3608.04     3631.0       u 
 56506.903  -21.087  -21.228  -21.336   3608.04     3631.0       u 
 56508.154  -21.052  -21.183    -21.3   3608.04     3631.0       u 
 56509.406  -21.004  -21.131  -21.253   3608.04     3631.0       u 
 56510.657  -20.957  -21.068    -21.2   3608.04     3631.0       u 
 56511.909  -20.903  -21.004  -21.137   3608.04     3631.0       u 
 56513.161  -20.837  -20.931  -21.068   3608.04     3631.0       u 
 56514.412  -20.757  -20.862  -20.991   3608.04     3631.0       u 
