# STATUS =
# OBJECT = iPTF13ehe
# TELESCOPE = P200
# INSTRUMENT = DBSP
# DATE-OBS = 2014-01-06 00:00:00.00
# MJD = 56663.0
# EXPTIME = 0
# AIRMASS = --
# SLIT = 0
# DISPERSER = --
# SOURCE = 2015ApJ...814..108Y
# FILTER =
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = --
# PHOTOMETRY_CALIBRATED =
# TELLURIC_CORRECTED =
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# QUALITY = --
# MIN_WAVE = 3033.355
# MAX_WAVE = 10296.639
# COMMENT = [Marshal: lastmodified2014-01-06 11:02:08; specid6510] [Prev. spec info - createdby: upload-marshalspec; modifiedby: ofer]
 Wavelength         Flux       Error 
   3034.392   6.8767e-16  4.6361e-16 
   3035.427    1.535e-16  4.4776e-16 
   3036.464    5.429e-17  3.9837e-16 
     3037.5   7.6276e-16  3.8215e-16 
   3038.536   3.3759e-16  3.7952e-16 
   3039.573  -1.5474e-16  3.5382e-16 
   3040.609   2.0992e-16  3.5563e-16 
   3041.646  -2.5972e-16  3.2374e-16 
   3042.682   4.1405e-16  3.1117e-16 
   3043.719  -3.7562e-16  2.9509e-16 
   3044.755   2.7304e-16  2.9255e-16 
   3045.792  -3.0603e-16   2.684e-16 
   3046.829   1.4683e-16  2.6018e-16 
   3047.866    1.108e-16  2.6529e-16 
   3048.903   8.4048e-17  2.6068e-16 
    3049.94  -3.7378e-16  2.3883e-16 
   3050.977   1.2393e-16  2.2467e-16 
   3052.014   1.2087e-16  2.3246e-16 
   3053.052   3.4326e-16  2.2399e-16 
   3054.089   2.2169e-17  2.0965e-16 
   3055.126   2.3809e-16  2.0178e-16 
   3056.164  -1.1425e-16  1.9437e-16 
   3057.201  -3.1801e-16  1.8803e-16 
   3058.239    -2.62e-16   1.862e-16 
   3059.276  -5.1686e-16  1.8251e-16 
   3060.314  -5.6737e-16  1.7406e-16 
   3061.352  -3.2987e-16  1.7502e-16 
    3062.39   1.8615e-16  1.8608e-16 
   3063.427   9.5241e-17  1.7605e-16 
   3064.466  -3.7838e-16  1.6763e-16 
   3065.504  -8.1151e-17   1.598e-16 
   3066.542  -2.9229e-16   1.632e-16 
    3067.58  -1.2938e-16  1.6079e-16 
   3068.618   -1.262e-16  1.5053e-16 
   3069.657   3.9206e-16   1.516e-16 
   3070.695   7.5062e-17  1.4695e-16 
   3071.733   7.3945e-17  1.5223e-16 
   3072.772  -9.6607e-17  1.4183e-16 
    3073.81   8.9566e-17  1.4644e-16 
   3074.849   1.1173e-16  1.4047e-16 
   3075.888  -1.7729e-17  1.3357e-16 
   3076.927  -7.9449e-17  1.3773e-16 
   3077.965  -1.7302e-16  1.2891e-16 
   3079.004   1.0153e-17  1.2884e-16 
   3080.043   1.5857e-16  1.3121e-16 
   3081.083  -5.4906e-17   1.179e-16 
   3082.121  -1.0027e-16  1.2834e-16 
   3083.161   1.6596e-16  1.2842e-16 
     3084.2  -6.5948e-17  1.2285e-16 
   3085.239  -2.1365e-16  1.2129e-16 
   3086.279  -1.9655e-16  1.0969e-16 
   3087.319   -2.286e-16  1.0599e-16 
   3088.358   1.6999e-16  1.0175e-16 
   3089.397   5.4554e-18  1.0275e-16 
   3090.437  -7.2813e-17  9.5831e-17 
   3091.477  -9.1525e-18  9.8932e-17 
   3092.517   -1.143e-16  8.5803e-17 
   3093.556   2.5341e-17  8.8138e-17 
   3094.596  -8.4233e-17  8.7794e-17 
   3095.636   5.9782e-17  8.6221e-17 
   3096.676  -4.8681e-17  8.2994e-17 
   3097.717  -1.6386e-16  8.4879e-17 
   3104.999  -7.2338e-17  7.1937e-17 
   3106.039  -2.2572e-16  6.9371e-17 
    3107.08   -8.187e-17    6.68e-17 
   3108.121    2.842e-17  6.7919e-17 
   3109.162   1.8818e-17  7.0834e-17 
   3110.203   2.5548e-17  6.6827e-17 
   3111.243  -2.3443e-17  6.6603e-17 
   3112.285  -3.2267e-17   6.552e-17 
   3113.326   6.2757e-17  6.6649e-17 
   3114.367  -9.8697e-17  6.1324e-17 
   3115.408   9.5629e-18  6.3793e-17 
   3116.449   1.8127e-17  5.8313e-17 
   3117.491    8.961e-17  6.1166e-17 
   3118.532  -1.4412e-16  5.6211e-17 
   3119.574   1.4847e-16  6.0222e-17 
   3120.616   2.0438e-17  5.7549e-17 
   3121.657   4.2806e-17  5.4584e-17 
   3122.698   1.0424e-16  5.5599e-17 
    3123.74  -1.6602e-17  5.4068e-17 
   3124.782   2.9414e-17  5.1442e-17 
   3125.824   1.0565e-16  5.2163e-17 
   3126.867  -7.9571e-17  5.2659e-17 
   3127.908  -5.1249e-17    5.39e-17 
    3128.95  -4.3059e-17  4.9242e-17 
   3129.992   5.0261e-17  5.1062e-17 
   3131.035  -1.9952e-17  5.1003e-17 
   3132.076  -5.7533e-17  4.9624e-17 
   3133.119   3.7362e-17  4.8213e-17 
   3134.161   -2.088e-17  4.8199e-17 
   3135.204  -1.6107e-17  4.6061e-17 
   3136.246  -3.6991e-17  4.8951e-17 
   3137.289   2.3667e-17  4.7987e-17 
   3138.332     1.16e-17  4.7804e-17 
   3139.374    9.556e-17  4.6714e-17 
   3140.417    -3.85e-17  4.6374e-17 
    3141.46   1.7251e-17  5.2345e-17 
   3142.503   2.6669e-17   4.949e-17 
   3143.546  -7.3421e-17  5.1466e-17 
   3144.589  -3.4731e-17  5.1372e-17 
   3145.629  -9.8375e-17  4.7844e-17 
   3146.672   3.5667e-17  4.9576e-17 
   3147.715    2.612e-17  4.7134e-17 
   3148.759    1.709e-17  4.5895e-17 
   3149.802   6.7481e-17  4.1792e-17 
   3150.845  -4.2115e-17  4.2372e-17 
   3151.888   5.5963e-17  3.9411e-17 
   3152.932   1.0466e-17  3.7833e-17 
   3153.976  -1.1332e-18  3.8268e-17 
   3155.019   2.7384e-17  3.8759e-17 
   3156.063   8.8491e-18  3.5794e-17 
   3157.107   9.8265e-18  3.6014e-17 
    3158.15  -3.4253e-17  3.6112e-17 
   3159.195   5.0453e-17   3.653e-17 
   3160.238   4.4495e-17  3.6448e-17 
   3161.282   1.7701e-17  3.4766e-17 
   3162.327   4.3933e-17  3.3557e-17 
   3163.371   7.7587e-17  3.6787e-17 
   3164.415  -7.8683e-17  3.3222e-17 
   3165.459   1.2039e-17  3.5845e-17 
   3166.504   6.8012e-17  3.4155e-17 
   3167.548   -4.885e-17   3.319e-17 
   3168.593   1.1832e-17  3.2334e-17 
   3169.637   5.8277e-17  3.4894e-17 
   3170.682   -2.024e-17  3.1898e-17 
   3171.726  -1.4078e-17  3.2253e-17 
   3172.771  -4.0108e-17  3.2518e-17 
   3173.816   -7.223e-18  3.2453e-17 
    3174.86  -3.9915e-18  3.0456e-17 
   3175.906   2.8893e-17  2.9988e-17 
    3176.95  -4.2885e-17  3.1244e-17 
   3177.996  -3.5573e-17  2.9315e-17 
    3179.04   -3.944e-17  3.0342e-17 
   3180.086  -1.6582e-17  3.0067e-17 
   3181.131   1.4373e-17  3.0083e-17 
   3182.176  -2.0236e-17  2.9761e-17 
   3183.221   6.6458e-17  2.9602e-17 
   3184.267   -7.802e-18  2.8531e-17 
   3185.313   3.8577e-17  2.8522e-17 
   3186.358   6.5941e-18   2.807e-17 
   3187.404  -4.1295e-17   2.748e-17 
   3188.449   1.6653e-17  2.8732e-17 
   3189.495  -3.8218e-17  2.5641e-17 
    3190.54  -3.9327e-17   2.664e-17 
   3191.586   4.1877e-17  2.6582e-17 
   3192.633  -5.7776e-18  2.6733e-17 
   3193.679  -1.1987e-17  2.3955e-17 
   3194.724   2.0184e-17  2.5113e-17 
   3195.771  -1.0181e-17  2.4859e-17 
   3196.817   7.2802e-18  2.4535e-17 
   3197.863   3.0907e-17  2.4116e-17 
   3198.909   -2.744e-17  2.2646e-17 
   3199.956  -1.7118e-17  2.2453e-17 
   3201.002  -1.7313e-17  2.2733e-17 
   3202.048  -2.9833e-17  2.3128e-17 
   3203.095  -2.5559e-17  2.2366e-17 
   3204.141  -1.7876e-17  2.1676e-17 
   3205.188   1.3728e-17   2.197e-17 
   3206.235  -1.8858e-17  2.3338e-17 
   3207.281   4.4289e-17  2.4655e-17 
   3208.328    1.393e-17  2.6027e-17 
   3209.375  -3.3422e-17  2.7622e-17 
   3210.423   9.3204e-17  3.0169e-17 
   3211.469   4.4545e-18  3.0212e-17 
   3212.516    1.098e-17  2.9046e-17 
   3213.563   1.2688e-17  2.9158e-17 
    3214.61   6.9948e-19  2.8913e-17 
   3215.657    2.821e-17  2.7543e-17 
   3216.705  -5.4136e-17  2.5409e-17 
   3217.753    4.203e-17  2.6472e-17 
     3218.8    5.672e-17  2.5672e-17 
   3219.847   2.6345e-17  2.5943e-17 
   3220.895  -4.6107e-17  2.4476e-17 
   3221.943   7.7645e-18  2.3766e-17 
    3222.99   6.9993e-17  2.4948e-17 
   3224.038   -4.633e-19  2.4114e-17 
   3225.086  -7.0006e-18  2.4569e-17 
   3226.134  -2.8408e-17  2.3687e-17 
   3227.182   2.6349e-17  2.4841e-17 
    3228.23   3.8946e-17  2.3403e-17 
   3229.278   2.0134e-17  2.4645e-17 
   3230.325   7.4752e-18  2.3794e-17 
   3231.374   2.8316e-17  2.3841e-17 
   3232.422  -2.0216e-17  2.3771e-17 
    3233.47  -3.4624e-17  2.3144e-17 
   3234.519   1.1531e-18  2.3831e-17 
   3235.567  -2.2516e-17  2.2788e-17 
   3236.615  -2.6434e-19  2.3538e-17 
   3237.664  -3.1093e-17  2.2691e-17 
   3238.713  -5.2714e-17  2.2507e-17 
   3239.761   1.1405e-17  2.1429e-17 
    3240.81   2.6196e-19  2.0745e-17 
   3241.859  -3.4322e-17  2.1001e-17 
   3242.907  -1.0656e-17  2.1218e-17 
   3243.957   3.9005e-17  2.0244e-17 
   3245.005  -2.5055e-19   1.932e-17 
   3246.054  -1.9268e-17  1.9726e-17 
   3247.104  -6.9195e-18   1.937e-17 
   3248.152  -2.1162e-17   1.813e-17 
   3249.201  -4.5759e-17  1.7655e-17 
   3250.251  -1.2463e-17  1.6452e-17 
     3251.3   4.1613e-18  1.7155e-17 
    3252.35   1.6778e-17  1.7149e-17 
   3253.399   4.2758e-17  1.7017e-17 
   3254.448  -8.5322e-18  1.5737e-17 
   3255.498  -1.0161e-17  1.6435e-17 
   3256.547  -1.3653e-18  1.7122e-17 
   3257.597  -2.8302e-18  1.8037e-17 
   3258.647   8.4982e-18  1.7258e-17 
   3259.696   3.5396e-18  1.8201e-17 
   3260.746   2.6129e-17  1.7982e-17 
   3261.796  -1.3123e-17  1.8179e-17 
   3262.846  -4.0304e-19  1.6834e-17 
   3263.896  -1.9032e-17  1.6699e-17 
   3264.946   4.7906e-18   1.777e-17 
   3265.996  -1.7224e-17  1.6567e-17 
   3267.046   5.9655e-18  1.7074e-17 
   3268.097  -2.2294e-17   1.658e-17 
   3269.147   8.6416e-18  1.6221e-17 
   3270.197  -3.1902e-17  1.5531e-17 
   3271.247   3.1753e-17  1.5996e-17 
   3272.298  -1.9393e-17  1.5526e-17 
   3273.349  -1.7886e-17  1.5064e-17 
   3274.399  -1.3613e-17  1.5862e-17 
    3275.45  -1.1924e-18  1.5485e-17 
   3276.501   2.8883e-17  1.6383e-17 
   3277.552   1.8226e-18  1.5077e-17 
   3278.602   -5.984e-18  1.4982e-17 
   3279.653  -4.0535e-18   1.444e-17 
   3280.704   2.8668e-17  1.4932e-17 
   3281.755   5.3154e-18  1.4642e-17 
   3282.806  -9.7178e-18  1.4701e-17 
   3283.857    1.592e-17   1.502e-17 
   3284.908   1.3752e-18  1.6415e-17 
   3285.959   1.8261e-17  1.6271e-17 
   3287.007  -2.1755e-17  1.5931e-17 
   3288.059   6.7532e-18   1.599e-17 
    3289.11   5.7201e-18  1.6276e-17 
   3290.162  -1.1493e-17  1.6019e-17 
   3291.213   2.0357e-18  1.6217e-17 
   3292.264   2.0782e-17  1.6926e-17 
   3293.316  -6.2944e-18  1.8594e-17 
   3294.368  -3.7109e-17  1.8084e-17 
   3295.419   5.5811e-17  1.9806e-17 
   3296.471   1.4446e-17  1.8629e-17 
   3297.523  -5.1321e-18  1.8867e-17 
