# STATUS =
# OBJECT = iPTF15eov
# TELESCOPE = FTS
# INSTRUMENT = FLOYDS-S
# DATE-OBS = 2015-12-14 13:26:24.00
# MJD = 57370.56
# EXPTIME = 0
# AIRMASS =
# SLIT = 0
# DISPERSER =
# SOURCE =
# FILTER =
# RESOLUTION =
# FLUX_STANDARD = True
# EXTINCTION_CORRECTED = True
# PHOTOMETRY_CALIBRATED = True
# TELLURIC_CORRECTED = True
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# COMMENT =
    Wavelength       Flux
3000.000000 nan
3010.000000 nan
3020.000000 nan
3030.000000 nan
3040.000000 nan
3050.000000 nan
3060.000000 nan
3070.000000 nan
3080.000000 nan
3090.000000 nan
3100.000000 nan
3110.000000 nan
3120.000000 nan
3130.000000 nan
3140.000000 nan
3150.000000 nan
3160.000000 nan
3170.000000 nan
3180.000000 nan
3190.000000 1.604574e+00
3200.000000 1.334893e+00
3210.000000 1.093224e+00
3220.000000 1.310768e+00
3230.000000 1.372801e+00
3240.000000 1.485521e+00
3250.000000 1.573979e+00
3260.000000 1.425090e+00
3270.000000 1.581116e+00
3280.000000 1.538348e+00
3290.000000 1.400249e+00
3300.000000 1.597510e+00
3310.000000 1.539342e+00
3320.000000 1.229919e+00
3330.000000 1.338914e+00
3340.000000 1.415846e+00
3350.000000 1.512962e+00
3360.000000 1.713749e+00
3370.000000 1.480080e+00
3380.000000 1.730829e+00
3390.000000 1.970423e+00
3400.000000 1.575819e+00
3410.000000 1.326344e+00
3420.000000 1.362796e+00
3430.000000 1.264341e+00
3440.000000 1.429627e+00
3450.000000 1.702241e+00
3460.000000 1.658722e+00
3470.000000 1.379591e+00
3480.000000 1.316726e+00
3490.000000 1.642031e+00
3500.000000 1.638465e+00
3510.000000 1.595731e+00
3520.000000 1.339206e+00
3530.000000 1.434023e+00
3540.000000 1.496639e+00
3550.000000 1.392611e+00
3560.000000 1.621220e+00
3570.000000 1.852717e+00
3580.000000 1.623050e+00
3590.000000 1.162980e+00
3600.000000 1.281801e+00
3610.000000 1.569910e+00
3620.000000 1.236039e+00
3630.000000 1.517291e+00
3640.000000 1.569266e+00
3650.000000 1.407970e+00
3660.000000 1.485334e+00
3670.000000 1.267244e+00
3680.000000 1.613176e+00
3690.000000 1.664544e+00
3700.000000 1.308826e+00
3710.000000 1.412913e+00
3720.000000 1.466540e+00
3730.000000 1.475014e+00
3740.000000 1.461379e+00
3750.000000 1.392237e+00
3760.000000 1.372234e+00
3770.000000 1.596501e+00
3780.000000 1.694991e+00
3790.000000 1.586486e+00
3800.000000 1.569872e+00
3810.000000 1.792965e+00
3820.000000 1.736246e+00
3830.000000 1.669298e+00
3840.000000 1.615365e+00
3850.000000 1.595905e+00
3860.000000 1.683926e+00
3870.000000 1.748905e+00
3880.000000 1.652758e+00
3890.000000 1.568924e+00
3900.000000 1.630569e+00
3910.000000 1.490172e+00
3920.000000 1.620947e+00
3930.000000 1.662733e+00
3940.000000 1.484284e+00
3950.000000 1.315018e+00
3960.000000 1.295423e+00
3970.000000 1.404249e+00
3980.000000 1.403433e+00
3990.000000 1.366720e+00
4000.000000 1.207694e+00
4010.000000 1.363369e+00
4020.000000 1.717498e+00
4030.000000 1.814902e+00
4040.000000 1.445177e+00
4050.000000 1.196834e+00
4060.000000 1.476608e+00
4070.000000 1.770830e+00
4080.000000 1.553065e+00
4090.000000 1.713616e+00
4100.000000 1.837490e+00
4110.000000 1.630618e+00
4120.000000 1.560832e+00
4130.000000 1.672802e+00
4140.000000 1.588024e+00
4150.000000 1.846234e+00
4160.000000 1.859033e+00
4170.000000 1.777211e+00
4180.000000 1.544877e+00
4190.000000 1.659133e+00
4200.000000 1.792823e+00
4210.000000 1.781527e+00
4220.000000 1.740270e+00
4230.000000 1.440166e+00
4240.000000 1.436326e+00
4250.000000 1.414784e+00
4260.000000 1.505712e+00
4270.000000 1.582840e+00
4280.000000 1.523034e+00
4290.000000 1.622901e+00
4300.000000 1.799633e+00
4310.000000 1.658828e+00
4320.000000 1.533227e+00
4330.000000 1.571683e+00
4340.000000 1.614587e+00
4350.000000 1.642449e+00
4360.000000 1.688985e+00
4370.000000 1.669821e+00
4380.000000 1.809789e+00
4390.000000 1.733416e+00
4400.000000 1.585448e+00
4410.000000 1.812031e+00
4420.000000 1.877509e+00
4430.000000 1.838720e+00
4440.000000 1.636615e+00
4450.000000 1.783528e+00
4460.000000 1.860663e+00
4470.000000 1.764494e+00
