# STATUS =
# OBJECT = iPTF15eov
# TELESCOPE = FTN
# INSTRUMENT = FLOYDS-N
# DATE-OBS = 2015-12-18 09:50:24.00
# MJD = 57374.41000000015
# EXPTIME = --
# AIRMASS = --
# SLIT = --
# DISPERSER = --
# SOURCE = 2018arXiv181109544T
# FILTER =
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = --
# PHOTOMETRY_CALIBRATED =
# TELLURIC_CORRECTED =
# FLUX_UNITS = erg cm(-2) sec(-1) Ang(-1)
# WAVE_UNITS = Angstrom
# QUALITY = --
# MIN_WAVE = 3220.749
# MAX_WAVE = 10000.52
# COMMENT = --
       Wavelength           Flux 
  3222.4900814073   1.329538e-15 
  3224.2311628146   1.543304e-15 
  3225.9722442219   1.798592e-15 
  3227.7133256292   1.816642e-15 
  3229.4544070365   9.972866e-16 
  3231.1954884438   9.545428e-16 
  3232.9365698511   8.295393e-16 
  3234.6776512583   5.951663e-16 
  3236.4187326656   4.998256e-16 
  3238.1598140729   6.311261e-16 
  3239.9008954802   1.234574e-15 
  3241.6419768875   1.127498e-15 
  3243.3830582948   7.088419e-16 
  3245.1241397021   6.186387e-16 
  3246.8652211094    3.60599e-16 
  3248.6063025167   1.865503e-16 
   3250.347383924   5.792081e-16 
  3252.0884653313   3.398688e-16 
  3253.8295467386   6.059377e-16 
  3255.5706281459   8.670094e-16 
  3257.3117095532   1.152387e-15 
  3259.0527909605   1.166468e-15 
  3260.7938723677   8.743287e-16 
   3262.534953775   5.645561e-16 
  3264.2760351823   8.185081e-16 
  3266.0171165896    1.50094e-15 
  3267.7581979969   1.186493e-15 
  3269.4992794042   7.446789e-16 
  3271.2403608115   1.049703e-15 
  3272.9814422188   1.241906e-15 
  3274.7225236261   6.761172e-16 
  3276.4636050334   7.425349e-16 
  3278.2046864407   7.767988e-16 
   3279.945767848   8.710688e-16 
  3281.6868492553   8.958195e-16 
  3283.4279306626   1.031694e-15 
  3285.1690120699   6.093859e-16 
  3286.9100934771   5.922238e-16 
  3288.6511748844   5.620839e-16 
  3290.3922562917   4.533986e-16 
   3292.133337699   5.957442e-16 
  3293.8744191063   7.112688e-16 
  3295.6155005136   5.944934e-16 
  3297.3565819209   6.222206e-16 
  3299.0976633282   9.906201e-16 
  3300.8387447355   8.224494e-16 
  3302.5798261428   1.088335e-15 
  3304.3209075501   1.094204e-15 
  3306.0619889574   7.423039e-16 
  3307.8030703647   7.026877e-16 
   3309.544151772   8.149447e-16 
  3311.2852331793   7.179843e-16 
  3313.0263145865   3.473406e-16 
  3314.7673959938   5.510979e-16 
  3316.5084774011   8.544425e-16 
  3318.2495588084   7.505101e-16 
  3319.9906402157   6.490495e-16 
   3321.731721623   7.489752e-16 
  3323.4728030303   1.170912e-15 
  3325.2138844376   9.882082e-16 
  3326.9549658449   3.892586e-16 
  3328.6960472522   3.405065e-16 
  3330.4371286595   4.004523e-16 
  3332.1782100668    5.18948e-16 
  3333.9192914741   9.228577e-16 
  3335.6603728814   1.164438e-15 
  3337.4014542887   9.013153e-16 
  3339.1425356959   6.605541e-16 
  3340.8836171032   9.561218e-16 
  3342.6246985105   7.908138e-16 
  3344.3657799178   9.568677e-16 
  3346.1068613251    1.05733e-15 
  3347.8479427324    6.43976e-16 
  3349.5890241397   5.068105e-16 
   3351.330105547   4.198534e-16 
  3353.0711869543   4.914315e-16 
  3354.8122683616   6.973315e-16 
  3356.5533497689   7.830587e-16 
  3358.2944311762   4.892919e-16 
  3360.0355125835   2.949427e-16 
  3361.7765939908   3.740053e-16 
  3363.5176753981   5.716182e-16 
  3365.2587568053   6.429866e-16 
  3366.9998382126   2.600888e-16 
  3368.7409196199    7.29318e-16 
  3370.4820010272   1.125587e-15 
  3372.2230824345   7.298333e-16 
  3373.9641638418   5.348542e-16 
  3375.7052452491   6.262578e-16 
  3377.4463266564   6.638024e-16 
  3379.1874080637   7.276674e-16 
   3380.928489471   7.430601e-16 
  3382.6695708783   6.219874e-16 
  3384.4106522856   6.728984e-16 
  3386.1517336929   5.811843e-16 
  3387.8928151002   4.709721e-16 
  3389.6338965075   7.640721e-16 
  3391.3749779147   8.195056e-16 
   3393.116059322   4.110698e-16 
  3394.8571407293   5.399019e-16 
  3396.5982221366   4.962609e-16 
  3398.3393035439   7.601338e-16 
  3400.0803849512   8.073485e-16 
  3401.8214663585    6.70027e-16 
  3403.5625477658   7.498234e-16 
  3405.3036291731   7.200544e-16 
  3407.0447105804   6.693322e-16 
  3408.7857919877    7.79892e-16 
   3410.526873395   7.720913e-16 
  3412.2679548023   8.791363e-16 
  3414.0090362096   1.086067e-15 
  3415.7501176169   8.138409e-16 
  3417.4911990241   8.504906e-16 
  3419.2322804314   9.799488e-16 
  3420.9733618387   9.524564e-16 
   3422.714443246   1.000119e-15 
  3424.4555246533   1.020778e-15 
  3426.1966060606    5.32394e-16 
  3427.9376874679   4.054309e-16 
  3429.6787688752   7.391095e-16 
  3431.4198502825   9.051667e-16 
  3433.1609316898     8.3347e-16 
  3434.9020130971   7.535691e-16 
  3436.6430945044   7.131032e-16 
  3438.3841759117   8.636768e-16 
   3440.125257319    8.34088e-16 
  3441.8663387263   7.197035e-16 
  3443.6074201335   7.067939e-16 
  3445.3485015408   6.018207e-16 
  3447.0895829481   8.129193e-16 
  3448.8306643554   9.648685e-16 
  3450.5717457627   6.885837e-16 
    3452.31282717   4.645273e-16 
  3454.0539085773   3.603044e-16 
  3455.7949899846   7.270297e-16 
  3457.5360713919   8.621331e-16 
  3459.2771527992   5.026493e-16 
  3461.0182342065   5.009626e-16 
  3462.7593156138   6.395895e-16 
  3464.5003970211   5.762742e-16 
  3466.2414784284   4.387028e-16 
  3467.9825598356   4.842129e-16 
  3469.7236412429   6.341673e-16 
  3471.4647226502   6.031028e-16 
  3473.2058040575   5.561709e-16 
  3474.9468854648   3.966543e-16 
  3476.6879668721   2.703722e-16 
  3478.4290482794   5.563181e-16 
  3480.1701296867   5.851527e-16 
   3481.911211094   5.810116e-16 
  3483.6522925013   7.175264e-16 
  3485.3933739086   7.889269e-16 
  3487.1344553159   6.442172e-16 
  3488.8755367232   2.200729e-16 
  3490.6166181305   3.059671e-16 
  3492.3576995378   6.529566e-16 
   3494.098780945   7.936912e-16 
  3495.8398623523    4.87058e-16 
  3497.5809437596   3.182855e-16 
  3499.3220251669   5.398698e-16 
