# STATUS =
# OBJECT = iPTF16bad
# TELESCOPE = Keck1
# INSTRUMENT = LRIS
# DATE-OBS = 2016-06-07 11:48:27.00
# MJD = 57546.49197919993
# EXPTIME = --
# AIRMASS = --
# SLIT = --
# DISPERSER = --
# SOURCE = 2017ApJ...848....6Y
# FILTER =
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = --
# PHOTOMETRY_CALIBRATED =
# TELLURIC_CORRECTED =
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# QUALITY = Low
# MIN_WAVE = 3070.3474
# MAX_WAVE = 10285.7021
# COMMENT = [Marshal: lastmodified2016-06-07 12:54:09; specid8811]  [Prev. spec info - createdby: upload-marshalspec; modifiedby: upload-marshalspec]
 Wavelength          Flux        Error 
  3072.2744   1.45725e-17  2.19068e-16 
  3074.2026   7.07719e-17  7.15915e-17 
  3076.1316   1.59952e-16  5.04388e-17 
  3078.0613   6.26417e-17  1.26973e-16 
  3079.9922    7.5814e-17   1.0554e-16 
  3081.9236   1.06709e-16  1.72227e-16 
   3083.856   7.21545e-17  9.90298e-17 
  3085.7891   9.66017e-17  1.56405e-16 
  3087.7231   4.79062e-17  1.46425e-16 
  3089.6582  -2.42625e-18  1.87866e-16 
  3091.5938   1.56786e-16  1.38658e-16 
  3093.5305   5.16908e-17  1.06696e-16 
  3095.4678   7.46959e-17  1.29289e-16 
   3097.406   4.63671e-17   7.5895e-17 
   3099.345   2.41708e-17  1.29995e-16 
  3101.2849  -1.54184e-17  1.11495e-16 
  3103.2256   1.46768e-16  5.27975e-17 
   3105.167   7.96459e-17  4.59185e-17 
  3107.1094  -2.71927e-17   9.9249e-17 
  3109.0525   3.09677e-17  6.64532e-17 
  3110.9966   5.53771e-17  7.07931e-17 
  3112.9414   4.67774e-17  8.21663e-17 
  3114.8867   6.12754e-17  8.84036e-17 
  3116.8333   3.10506e-17  8.31201e-17 
  3118.7805    2.5377e-17  8.45848e-17 
  3120.7283   5.93667e-17  7.57742e-17 
   3122.677   7.28329e-17  3.83925e-17 
  3124.6267   6.19883e-17  7.40767e-17 
  3126.5769   6.11529e-17  4.95726e-17 
  3128.5281   6.93015e-17  4.83838e-17 
    3130.48   6.13876e-17  4.77374e-17 
  3132.4326   4.71816e-17  4.48663e-17 
  3134.3862   1.27957e-17  9.86397e-17 
  3136.3406   4.23008e-17  6.29461e-17 
  3138.2954   5.49883e-17  4.88569e-17 
  3140.2512   2.29305e-17  7.20835e-17 
   3142.208    6.5107e-17  6.66634e-17 
  3144.1653   1.01172e-17  1.32151e-16 
  3146.1233    3.1767e-17  1.28893e-16 
  3148.0823   2.04943e-17  1.42328e-16 
  3150.0417   1.89773e-17  1.21964e-16 
  3152.0022   7.00769e-17  9.20033e-17 
  3153.9634   2.02779e-17  9.81649e-17 
  3155.9253   1.95082e-17  9.25881e-17 
  3157.8879   9.29633e-17  7.98277e-17 
  3159.8513   8.02958e-17  7.71851e-17 
  3161.8154   6.80906e-17  6.03197e-17 
  3163.7803   5.16325e-17  7.69941e-17 
  3165.7458   3.90572e-17  6.25176e-17 
  3167.7124   5.63156e-17  7.58051e-17 
  3169.6794   1.85425e-17  7.28988e-17 
  3171.6472   5.98441e-17   5.2321e-17 
  3173.6157   5.64548e-17   4.5237e-17 
  3175.5852   6.42822e-17  5.26455e-17 
  3177.5552   3.44135e-17   5.0683e-17 
  3179.5259   6.99643e-17  5.41987e-17 
  3181.4973   4.50761e-17  4.75383e-17 
  3183.4695   4.68416e-17  4.96736e-17 
  3185.4424   6.84235e-17  3.74031e-17 
   3187.416   6.31492e-17  3.54984e-17 
  3189.3904   5.89888e-17  5.71379e-17 
  3191.3655   5.31427e-17  4.84564e-17 
  3193.3411   8.77406e-17   3.4142e-17 
  3195.3176   3.27288e-17   3.0557e-17 
  3197.2947   6.96964e-17  4.15285e-17 
  3199.2727   2.99367e-17  5.27549e-17 
  3201.2512   4.82478e-17  4.19212e-17 
  3203.2305   4.40448e-17  4.45389e-17 
  3205.2104   4.85302e-17   5.0498e-17 
  3207.1909   4.53992e-17  3.18326e-17 
  3209.1724   4.89866e-17  5.11577e-17 
  3211.1543   6.04562e-17  7.02634e-17 
  3213.1372   7.05674e-17  9.14524e-17 
  3215.1206   3.69475e-17  1.02673e-16 
  3217.1045   5.00288e-17  8.94486e-17 
  3219.0894   6.29927e-17  8.92649e-17 
  3221.0747   6.62962e-17  8.23412e-17 
  3223.0608   5.15264e-17  6.99777e-17 
  3225.0476   3.14201e-17  5.89935e-17 
  3227.0352    3.0897e-17  5.80497e-17 
  3229.0232   4.61715e-17  6.16856e-17 
   3231.012   6.87839e-17   5.7567e-17 
  3233.0015   5.15828e-17  6.54243e-17 
  3234.9917   5.27665e-17  5.74797e-17 
  3236.9824   7.50326e-17  4.35673e-17 
  3238.9739   4.44565e-17  6.00575e-17 
  3240.9658   4.83681e-17  5.55715e-17 
  3242.9585    6.0693e-17  3.72902e-17 
  3244.9519   3.96122e-17  4.06165e-17 
